Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Walter Bryan,1,4,4.0,--,0,--,--
Joe Arenas,1,0,0.0,--,0,--,--
Roy Barni,1,0,0.0,--,0,--,--
Bibbles Bawel,9,168,18.67,--,2,--,--
Chuck Bednarik,1,36,36.0,--,0,--,--
Eddie Bell,1,30,30.0,--,0,--,--
Frank Bernardi,1,18,18.0,--,0,--,--
Rex Berry,3,69,23.0,--,1,--,--
Tom Bienemann,2,8,4.0,--,0,--,--
Bill Bishop,1,5,5.0,--,0,--,--
Billy Bookout,2,39,19.5,--,0,--,--
Bobby Dillon,9,153,17.0,--,0,--,--
Tommy James,2,20,10.0,--,0,--,--
Don Burroughs,9,103,11.44,--,0,--,--
Joe Campanella,2,35,17.5,--,0,--,--
Marion Campbell,1,0,0.0,--,0,--,--
Russ Carroccio,1,7,7.0,--,0,--,--
Paul Carr,1,11,11.0,--,0,--,--
Jim Cason,5,41,8.2,--,1,--,--
Jack Christiansen,3,49,16.33,--,0,--,--
George Connor,1,0,0.0,--,0,--,--
Lindon Crow,3,11,3.67,--,0,--,--
James David,3,44,14.67,--,0,--,--
John Henry Johnson,1,29,29.0,--,0,--,--
Dale Dodrill,2,25,12.5,--,0,--,--
Dick Doyle,1,4,4.0,--,0,--,--
Chuck Drazenovich,2,10,5.0,--,0,--,--
Bill Forester,4,32,8.0,--,0,--,--
Bill George,2,13,6.5,--,0,--,--
Ken Gorgal,6,107,17.83,--,0,--,--
Bob Griffin,1,20,20.0,--,0,--,--
Norb Hecker,6,52,8.67,--,0,--,--
Jimmy Hill,1,9,9.0,--,0,--,--
Bob Hudson,3,48,16.0,--,0,--,--
Dick Alban,2,48,24.0,--,0,--,--
Hardy Brown,2,28,14.0,--,0,--,--
Carl Karilivacz,2,33,16.5,--,0,--,--
Tom Keane,6,64,10.67,--,0,--,--
Pat Knight,2,29,14.5,--,0,--,--
Ken Konz,5,32,6.4,--,1,--,--
Warren Lahr,5,52,10.4,--,0,--,--
Tom Landry,2,14,7.0,--,0,--,--
Dick Lane,6,69,11.5,--,0,--,--
Bobby Luna,2,0,0.0,--,0,--,--
George Maderos,2,23,11.5,--,0,--,--
Carlton Massey,1,24,24.0,--,0,--,--
Bill Pellington,2,17,8.5,--,0,--,--
Marv Matuszak,1,7,7.0,--,0,--,--
Richie McCabe,3,29,9.67,--,0,--,--
Walt Michaels,1,25,25.0,--,1,--,--
Dicky Moegle,6,50,8.33,--,0,--,--
Doyle Nix,5,33,6.6,--,0,--,--
Dick Nolan,1,20,20.0,--,0,--,--
Chuck Noll,5,74,14.8,--,1,--,--
Jerry Norton,1,0,0.0,--,0,--,--
Jack Patera,1,8,8.0,--,0,--,--
Jimmy Patton,1,0,0.0,--,0,--,--
Andy Robustelli,1,10,10.0,--,1,--,--
Harland Svare,2,19,9.5,--,0,--,--
Johnny Petitbon,2,11,5.5,--,0,--,--
Charley Powell,0,7,0.0,--,0,--,--
Jim Psaltis,4,42,10.5,--,1,--,--
Bert Rechichar,6,109,18.17,--,0,--,--
John Reger,2,11,5.5,--,0,--,--
Jim Ricca,1,33,33.0,--,0,--,--
Herb Rich,6,61,10.17,--,0,--,--
Les Richter,2,23,11.5,--,0,--,--
Lee Riley,2,38,19.0,--,0,--,--
Wayne Robinson,1,20,20.0,--,0,--,--
Bill Svoboda,1,24,24.0,--,0,--,--
Leo Sanford,3,97,32.33,--,1,--,--
Joe Scudero,5,60,12.0,--,0,--,--
Will Sherman,11,101,9.18,--,0,--,--
Don Shula,5,64,12.8,--,0,--,--
Ray Gene Smith,2,12,6.0,--,0,--,--
Bill Stits,3,7,2.33,--,1,--,--
Tommy Stolhandske,1,6,6.0,--,0,--,--
Leo Sugar,1,29,29.0,--,0,--,--
Pat Summerall,1,26,26.0,--,1,--,--
Charlie Sumner,7,162,23.14,--,0,--,--
Clay Matthews,1,19,19.0,--,0,--,--
Don Paul,4,49,12.25,--,0,--,--
Carl Taseff,1,0,0.0,--,0,--,--
Corky Taylor,2,55,27.5,--,1,--,--
Deral Teteak,2,41,20.5,--,0,--,--
Jesse Thomas,1,23,23.0,--,0,--,--
LaVern Torgeson,3,45,15.0,--,0,--,--
Emlen Tunnell,7,76,10.86,--,0,--,--
Doak Walker,1,20,20.0,--,0,--,--
Val Joe Walker,6,77,12.83,--,0,--,--
Fred Wallner,2,4,2.0,--,0,--,--
Roger Zatkoff,3,25,8.33,--,0,--,--
