Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Willie Alexander,16,5,51,10.2,29,0,--,--
Carl Allen,15,6,54,9.0,21,0,--,--
Jimmy Allen,14,5,70,14.0,27,0,--,--
Dick Ambrose,16,2,46,23.0,39,0,--,--
John Anderson,13,5,27,5.4,12,0,--,--
Charlie Babb,16,3,61,20.33,36,0,--,--
Gary Barbaro,16,3,92,30.67,35,0,--,--
Benny Barnes,14,5,72,14.4,38,0,--,--
Carl Barzilauskas,16,1,5,5.0,5,0,--,--
Bob Baumhower,16,1,0,0.0,0,0,--,--
Autry Beamon,16,4,17,4.25,15,0,--,--
Doug Beaudoin,15,3,25,8.33,13,0,--,--
Bill Bergey,16,4,70,17.5,50,0,--,--
Lyle Blackwood,16,4,146,36.5,79,2,--,--
Matt Blair,16,3,28,9.33,20,0,--,--
Mel Blount,16,4,55,13.75,35,0,--,--
Kim Bokamper,16,1,2,2.0,2,0,--,--
Luther Bradley,16,3,85,28.33,76,1,--,--
Robert Brazile,16,1,30,30.0,30,0,--,--
Louis Breeden,16,3,25,8.33,18,0,--,--
Bob Breunig,16,1,2,2.0,2,0,--,--
Aaron Brown,16,1,10,10.0,10,0,--,--
Cedric Brown,14,6,110,18.33,29,0,--,--
Dave Brown,16,3,44,14.67,44,0,--,--
Ray Brown,16,4,50,12.5,19,0,--,--
Willie Brown,13,1,0,0.0,0,0,--,--
Bob Brudzinski,16,1,31,31.0,31,1,--,--
Bobby Bryant,16,7,69,9.86,23,0,--,--
Willie Buchanon,16,9,93,10.33,77,1,--,--
Doug Buffone,15,3,22,7.33,16,0,--,--
John Bunting,6,1,9,9.0,9,0,--,--
Dan Bunz,16,1,13,13.0,13,0,--,--
Mike Burns,15,1,0,0.0,0,0,--,--
Greg Buttle,8,2,34,17.0,29,0,--,--
Dave Butz,16,1,3,3.0,3,0,--,--
Rick Byas,16,2,37,18.5,32,0,--,--
Harry Carson,16,3,86,28.67,42,0,--,--
Rusty Chambers,16,1,49,49.0,49,0,--,--
Clarence Chapman,14,2,0,0,--,--
Mario Clark,16,5,29,5.8,29,0,--,--
Raymond Clayborn,16,4,72,18.0,44,0,--,--
Marvin Cobb,16,1,13,13.0,13,0,--,--
Larry Cole,16,1,13,13.0,13,0,--,--
Tim Collier,15,3,38,12.67,23,0,--,--
Neal Colzie,16,3,62,20.67,28,0,--,--
Dick Conn,15,1,24,24.0,24,0,--,--
Charles Cornelius,16,1,21,21.0,21,0,--,--
Mark Cotney,16,2,28,14.0,28,0,--,--
Chuck Crist,15,6,159,26.5,32,0,--,--
Nolan Cromwell,16,1,31,31.0,31,0,--,--
Pete Cronan,15,2,15,7.5,12,0,--,--
Bill Currier,14,1,8,8.0,8,0,--,--
Mike Curtis,13,1,0,0.0,0,0,--,--
Thom Darden,16,10,200,20.0,46,0,--,--
Mike Davis,16,1,0,0.0,0,0,--,--
Oliver Davis,13,6,65,10.83,33,1,--,--
Tom Dinkel,16,1,1,1.0,1,0,--,--
Jerome Dove,14,1,4,4.0,4,0,--,--
Tony Dungy,16,6,95,15.83,65,0,--,--
Brad Dusek,16,1,11,11.0,11,0,--,--
Ray Easterling,2,1,1,1.0,1,0,--,--
Eddie Edwards,16,1,2,2.0,2,0,--,--
Glen Edwards,14,3,43,14.33,24,0,--,--
Herman Edwards,16,7,59,8.43,25,0,--,--
Dave Elmendorf,16,3,20,6.67,12,0,--,--
Wilson Faumuina,16,1,7,7.0,7,0,--,--
Joe Federspiel,16,2,12,6.0,12,0,--,--
Eric Felton,16,1,0,0.0,0,0,--,--
Gary Fencik,16,4,77,19.25,59,0,--,--
Steve Foley,16,6,84,14.0,30,0,--,--
Tim Foley,16,6,12,2.0,8,0,--,--
Tim Fox,16,2,10,5.0,10,0,--,--
Mike Fuller,16,4,44,11.0,23,1,--,--
Wentford Gaines,11,1,0,0.0,0,0,--,--
Don Goode,14,1,0,0.0,0,0,--,--
Larry Gordon,16,3,35,11.67,22,0,--,--
Randy Gradishar,16,4,19,4.75,8,0,--,--
Johnnie Gray,16,3,66,22.0,66,0,--,--
Tim Gray,14,6,118,19.67,61,0,--,--
Gary Green,16,1,0,0.0,0,0,--,--
Sammy Green,16,1,0,0.0,0,0,--,--
Tony Greene,16,3,56,18.67,29,0,--,--
Bill Gregory,16,1,3,3.0,3,0,--,--
Charlie Hall,16,1,6,6.0,6,0,--,--
Willie Hall,11,2,18,9.0,15,0,--,--
