Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Solo Tackles,Tackle Assists,Total Tackles,Sacks,Sack Loss Yards Caused
D'Qwell Jackson,16,3,29,9.67,16,0,95,59,154,2.0,10.5
Patrick Willis,16,1,86,86.0,86,1,109,32,141,1.0,5.0
Jon Beason,16,3,52,17.33,44,0,110,28,138,0.0,0.0
Kirk Morrison,16,1,0,0.0,0,0,101,36,137,1.0,1.0
Barrett Ruud,16,2,10,5.0,10,0,101,35,136,3.0,20.0
Gibril Wilson,16,2,5,2.5,5,0,98,36,134,1.5,3.0
James Farrior,16,0,0,0.0,0,0,89,44,133,3.5,23.0
London Fletcher,16,0,0,0.0,0,0,96,37,133,0.5,0.5
Jonathan Vilma,16,1,8,8.0,8,0,98,34,132,1.0,5.0
Jerod Mayo,16,0,0,0.0,0,0,100,28,128,0.0,0.0
Eric Weddle,16,1,3,3.0,3,0,105,22,127,1.0,3.0
Paris Lenon,16,0,0,0.0,0,0,81,41,122,1.5,6.0
Yeremiah Bell,16,0,0,0.0,0,0,100,20,120,1.0,3.0
Eric Barton,16,0,0,0.0,0,0,93,26,119,1.5,3.5
Karlos Dansby,16,2,47,23.5,34,0,95,24,119,4.0,39.0
Ray Lewis,16,3,43,14.33,29,0,85,33,118,3.5,32.5
Bradie James,16,0,0,0.0,0,0,81,36,117,8.0,50.0
Chad Greenway,16,0,0,0.0,0,0,87,29,116,5.5,29.0
Dhani Jones,16,1,13,13.0,13,0,75,41,116,0.0,0.0
Thomas Davis,16,0,0,0.0,0,0,93,21,114,3.5,24.5
Channing Crowder,15,0,0,0.0,0,0,92,21,113,0.0,0.0
Ernie Sims,16,0,0,0.0,0,0,71,42,113,1.0,4.5
DeMeco Ryans,16,0,0,0.0,0,0,86,26,112,1.0,9.0
Paul Posluszny,16,1,9,9.0,9,0,87,23,110,0.0,0.0
Lance Briggs,16,3,12,4.0,9,0,90,20,110,0.5,6.5
Stewart Bradley,16,1,17,17.0,17,0,86,22,108,1.0,6.0
Freddie Keiaho,14,0,0,0.0,0,0,79,26,105,0.0,0.0
Pisa Tinoisamoa,16,0,0,0.0,0,0,88,16,104,3.0,19.0
Keith Brooking,16,0,0,0.0,0,0,71,31,102,0.0,0.0
Antoine Bethea,16,2,0,0.0,0,0,74,27,101,0.0,0.0
James Harrison,15,1,33,33.0,33,0,67,34,101,16.0,114.5
Gary Brackett,12,0,0,0.0,0,0,71,29,100,0.0,0.0
Stephen Cooper,12,4,11,2.75,10,0,72,27,99,1.5,5.0
Rashad Jeanty,16,0,0,0.0,0,0,63,36,99,0.0,0.0
Jamie Winborn,16,0,0,0.0,0,0,74,25,99,0.5,2.5
Bernard Pollard,16,1,0,0.0,0,0,79,19,98,0.0,0.0
Keith Bulluck,16,0,0,0.0,0,0,75,23,98,0.5,3.5
Thomas Howard,16,1,0,0,80,17,97,1.0,8.0
Michael Lewis,16,0,0,0.0,0,0,76,20,96,2.0,15.0
Takeo Spikes,16,3,14,4.67,13,0,61,35,96,1.0,6.0
Antoine Winfield,16,2,5,2.5,4,0,82,14,96,2.0,20.0
Antonio Pierce,15,0,0,0.0,0,0,72,23,95,1.5,11.5
Erik Coleman,16,3,48,16.0,32,0,80,15,95,0.0,0.0
Daniel Bullocks,16,0,0,0.0,0,0,64,30,94,0.0,0.0
Curtis Lofton,16,0,0,0.0,0,0,67,27,94,1.0,7.0
Clint Session,16,0,0,0.0,0,0,74,20,94,0.0,0.0
Lofa Tatupu,15,1,16,16.0,16,0,69,25,94,0.0,0.0
Zach Thomas,16,0,0,0.0,0,0,65,29,94,1.0,1.0
Quintin Mikell,16,3,53,17.67,41,0,68,25,93,2.0,29.0
Charles Tillman,15,3,52,17.33,26,1,81,12,93,0.0,0.0
Brian Urlacher,16,2,11,5.5,11,0,79,14,93,0.0,0.0
D.J. Williams,11,0,0,0.0,0,0,68,25,93,2.5,13.0
Chris Gamble,16,3,23,7.67,19,0,83,10,93,0.0,0.0
Lawyer Milloy,15,1,38,38.0,38,0,76,16,92,0.0,0.0
Cedric Griffin,16,1,0,0,80,11,91,0.0,0.0
Andra Davis,16,1,4,4.0,4,0,62,28,90,0.0,0.0
Corey Graham,16,1,6,6.0,6,0,76,14,90,0.0,0.0
Antrel Rolle,16,1,40,40.0,40,1,79,11,90,0.0,0.0
Kevin Payne,16,4,147,36.75,50,0,74,15,89,1.0,6.0
Roman Harper,15,0,0,0.0,0,0,82,7,89,0.0,0.0
Ryan Clark,14,1,0,0.0,0,0,52,36,88,0.0,0.0
Gerald Hayes,16,0,0,0.0,0,0,67,21,88,0.5,2.5
Quentin Jammer,16,2,2,1.0,2,0,75,13,88,0.0,0.0
Roger McIntosh,16,1,4,4.0,4,0,61,27,88,2.0,12.5
Scott Shanle,16,0,0,0.0,0,0,60,27,87,2.0,12.0
