Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Steve Myhra,33/34,21/39,--,--,--,--,--,0,96
Pat Summerall,46/46,14/34,--,--,--,--,--,0,88
Paul Hornung,41/41,15/22,--,--,--,--,--,51,86
Bobby Walston,43/46,14/25,--,--,--,--,--,0,85
Lou Groza,37/38,16/23,--,--,--,--,--,0,85
Tommy Davis,44/44,12/22,--,--,--,--,--,0,80
Lou Michaels,27/29,15/26,--,--,--,--,--,0,72
Danny Villanueva,32/32,13/27,--,--,--,--,--,0,71
Jim Martin,25/26,15/30,--,--,--,--,--,0,70
Roger LeClerc,40/41,10/24,--,--,--,--,--,0,70
Mike Mercer,36/37,9/21,--,--,--,--,--,34,63
Gerry Perry,30/33,7/16,--,--,--,--,--,0,51
John Aveni,21/23,5/28,--,--,--,--,--,0,36
Allen Green,19/19,5/15,--,--,--,--,--,32,34
Dick Bielski,10/10,6/9,--,--,--,--,--,42,28
Ben Agajanian,8/8,1/2,--,--,--,--,--,28,11
Wayne Walker,6/6,0/3,--,--,--,--,--,0,6
Bobby Layne,5/5,0/0,--,--,--,--,--,0,5
Bobby Joe Conrad,4/4,0/1,--,--,--,--,--,0,4
Ed Brown,1/1,1/2,--,--,--,--,--,0,4
Tom Tracy,2/2,0/1,--,--,--,--,--,0,2
Bobby Joe Green,0/0,0/1,--,--,--,--,--,0,0
Bill George,0/0,0/1,--,--,--,--,--,0,0
