Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Norm Johnson,16,39/39,34/41,1/1,10/10,14/16,8/13,1/1,50,141
Jason Hanson,16,48/48,28/34,2/2,4/4,16/17,5/10,1/1,56,132
Jason Elam,16,39/39,31/38,0/0,7/9,14/15,5/7,5/7,56,132
Chris Boniol,16,46/48,27/28,0/0,11/12,13/13,3/3,0/0,45,127
Steve Christie,16,33/35,31/40,0/0,13/14,13/15,3/6,2/5,51,126
Morten Andersen,16,29/30,31/37,1/1,8/8,11/11,3/8,8/9,59,122
Fuad Reveiz,16,44/44,26/36,1/1,8/9,7/10,9/12,1/4,51,122
Doug Pelfrey,16,34/34,29/36,0/0,8/9,10/11,10/14,1/2,51,121
Pete Stoyanovich,16,37/37,27/34,1/1,7/10,11/11,6/7,2/5,51,118
Eddie Murray,16,33/33,27/36,1/1,9/9,10/13,6/11,1/2,52,114
Kevin Butler,16,45/45,23/31,0/0,16/19,5/6,2/4,0/2,47,114
Al Del Greco,16,33/33,27/31,3/3,3/3,8/8,10/12,3/5,53,114
Matt Stover,16,26/26,29/33,1/1,12/12,9/10,7/9,0/1,47,113
Todd Peterson,16,40/40,23/28,1/1,5/5,9/10,8/10,0/2,49,109
Greg Davis,16,19/19,30/39,1/1,13/14,9/10,6/8,1/6,55,109
Lin Elliott,16,34/37,24/30,0/0,10/11,7/9,7/10,0/0,49,106
John Kasay,16,27/28,26/33,0/0,6/6,10/14,9/12,1/1,52,105
Gary Anderson,16,32/33,22/30,0/0,5/5,9/10,8/12,0/3,43,98
Matt Bahr,16,27/27,23/33,1/2,12/12,3/7,5/7,2/5,55,96
John Carney,16,32/33,21/26,0/0,8/8,10/11,3/5,0/2,45,95
Chris Jacke,14,43/43,17/23,0/0,6/7,0/2,8/10,3/4,51,94
Doug Brien,14,35/35,19/29,0/0,8/8,4/7,6/12,1/2,51,92
Brad Daluiso,16,28/28,20/28,0/0,7/7,9/10,2/9,2/2,51,88
Mike Hollis,16,27/28,20/27,0/0,7/9,7/8,4/7,2/3,53,87
Michael Husted,16,25/25,19/26,1/1,5/6,5/7,5/9,3/3,53,82
Cary Blanchard,12,25/25,19/24,0/0,5/5,6/8,7/10,1/1,50,82
Nick Lowery,14,24/24,17/21,0/0,4/4,8/10,3/3,2/4,50,75
Jeff Wilkins,7,27/29,12/13,1/1,5/5,5/5,1/2,0/0,40,63
Jeff Jaeger,11,22/22,13/18,0/0,4/5,6/7,3/5,0/1,46,61
Steve McLaughlin,8,17/17,8/16,1/1,4/5,2/6,1/3,0/1,45,41
Cole Ford,5,17/18,8/9,1/1,3/3,3/3,1/1,0/1,46,41
Dean Biasucci,8,13/14,9/12,0/0,4/4,3/4,1/1,1/3,51,40
Chip Lohmiller,8,11/13,8/14,0/0,4/6,3/4,0/2,1/2,51,35
Mike Cofer,4,9/9,4/9,0/0,2/2,0/4,1/2,1/1,52,21
Tony Zendejas,4,5/6,3/6,0/0,0/0,1/3,2/3,0/0,45,14
Craig Hentrich,16,5/5,3/5,0/0,0/0,2/3,1/2,0/0,49,14
