player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Charlie Conerly,194,113,58.2,1706,8.8,14,7.2,4,2.1,77,N/A,N/A,102.7,,
Johnny Unitas,367,193,52.6,2899,7.9,32,8.7,14,3.8,71,N/A,N/A,92.0,,
Milt Plum,266,156,58.6,1992,7.5,14,5.3,8,3.0,76,N/A,N/A,87.2,,
Norm Van Brocklin,340,191,56.2,2617,7.7,16,4.7,14,4.1,71,N/A,N/A,79.5,,
Ed Brown,247,125,50.6,1881,7.6,13,5.3,10,4.0,88,N/A,N/A,76.7,,
Billy Wade,261,153,58.6,2001,7.7,12,4.6,17,6.5,72,N/A,N/A,71.1,,
Bobby Layne,297,142,47.8,1986,6.7,20,6.7,21,7.1,48,N/A,N/A,62.8,,
Y.A. Tittle,199,102,51.3,1331,6.7,10,5.0,15,7.5,75,N/A,N/A,58.0,,
Eddie LeBaron,173,77,44.5,1077,6.2,8,4.6,11,6.4,49,N/A,N/A,54.0,,
King Hill,181,82,45.3,1015,5.6,7,3.9,13,7.2,31,N/A,N/A,46.2,,
