player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating
Sonny Jurgensen,508,288,56.7,3747,7.4,31,6.1,16,3.1,86,19,157,87.3
Fran Tarkenton,377,204,54.1,3088,8.2,29,7.7,19,5.0,70,29,283,85.9
Roman Gabriel,371,196,52.8,2779,7.5,25,6.7,13,3.5,80,24,201,85.2
Johnny Unitas,436,255,58.5,3428,7.9,20,4.6,16,3.7,88,25,198,83.6
Norm Snead,434,240,55.3,3399,7.8,29,6.7,24,5.5,87,48,351,80.0
Frank Ryan,280,136,48.6,2026,7.2,20,7.1,16,5.7,49,38,318,72.7
Don Meredith,255,128,50.2,1834,7.2,16,6.3,16,6.3,60,21,143,68.7
Bart Starr,210,115,54.8,1823,8.7,9,4.3,17,8.1,84,34,322,64.4
Gary Cuozzo,260,134,51.5,1562,6.0,7,2.7,12,4.6,49,33,236,59.8
Jim Hart,397,192,48.4,3008,7.6,19,4.8,30,7.6,76,22,219,58.4
John Brodie,349,168,48.1,2013,5.8,11,3.1,16,4.6,63,18,129,57.6
Billy Kilmer,204,97,47.5,1341,6.6,6,2.9,11,5.4,96,18,147,56.4
Kent Nix,268,136,50.8,1587,5.9,8,3.0,19,7.1,66,8,84,49.5
Joe Kapp,214,102,47.7,1386,6.5,8,3.7,17,7.9,85,23,200,48.2
Randy Johnson,288,142,49.3,1620,5.6,10,3.5,21,7.3,82,34,311,47.8
