Player Name,Receptions,Yards,Average,Long,Touchdowns
Charley Taylor,72,1119,15.54,86,12
Pat Studstill,67,1266,18.9,99,5
Dave Parks,66,974,14.76,65,5
Bob Hayes,64,1232,19.25,95,13
Tom Moore,60,433,7.22,30,3
Bobby Mitchell,58,905,15.6,70,9
Raymond Berry,56,786,14.04,40,7
Gary Collins,56,946,16.89,54,12
Tommy McDonald,55,714,12.98,62,2
Tom Nowatzke,54,316,5.85,25,1
Jerry Smith,54,686,12.7,35,6
Bernie Casey,50,669,13.38,32,1
Paul Flatley,50,777,15.54,41,3
John Mackey,50,829,16.58,89,9
Homer Jones,48,1044,21.75,98,8
Gail Cogdill,47,411,8.74,21,1
John Hilton,46,603,13.11,32,4
Joe Morrison,46,724,15.74,49,6
Ernie Green,45,445,9.89,31,6
Jackie Smith,45,810,18.0,69,3
Alex Hawkins,44,661,15.02,42,2
Aaron Thomas,43,683,15.88,50,4
Ken Willard,42,351,8.36,62,2
Gary Ballman,41,663,16.17,79,5
Dan Reeves,41,557,13.59,51,8
Jim Taylor,41,331,8.07,21,2
Pete Retzlaff,40,653,16.33,40,6
Bill Brown,37,359,9.7,56,0
Carroll Dale,37,876,23.68,83,7
Ron Kramer,37,432,11.68,68,0
Jimmy Orr,37,618,16.7,61,3
Paul Warfield,36,741,20.58,51,5
Bobby Joe Conrad,34,388,11.41,40,2
Gale Sayers,34,447,13.15,80,2
Jack Snow,34,634,18.65,84,3
Timmy Brown,33,371,11.24,39,3
Mike Ditka,32,378,11.81,30,2
Roy Jefferson,32,772,24.13,84,4
Leroy Kelly,32,366,11.44,40,1
Red Phillips,32,554,17.31,68,3
Dick Bass,31,274,8.84,40,0
Marv Fleming,31,361,11.65,53,2
Preston Carpenter,30,518,17.27,52,4
John David Crow,30,341,11.37,54,3
Boyd Dowler,29,392,13.52,40,0
Fred Hill,29,304,10.48,36,0
Billy Martin,29,330,11.38,35,0
Billy Truax,29,314,10.83,21,0
Vern Burke,28,348,12.43,45,1
Jim Jones,28,504,18.0,80,5
Pete Gent,27,474,17.56,84,1
Chuck Mercein,27,152,5.63,20,0
Monty Stickles,27,315,11.67,38,2
Frank Clarke,26,355,13.65,33,4
Elijah Pitts,26,460,17.69,80,3
Billy Gambrell,24,409,17.04,49,5
Tom Hall,23,271,11.78,30,2
Dick Hoak,23,239,10.39,31,0
Tom Matte,23,307,13.35,35,3
Marlin McKeever,23,277,12.04,31,1
Milt Morin,23,333,14.48,32,3
Don Perkins,23,231,10.04,39,0
Steve Thurlow,23,165,7.17,22,0
Lenny Moore,21,260,12.38,36,0
Johnny Roland,21,213,10.14,37,0
Ronnie Bull,20,174,8.7,28,0
Jim Lindsey,20,250,12.5,46,2
Willie Asbury,19,228,12.0,37,2
Earl Gros,18,214,11.89,48,2
A.D. Whitfield,18,101,5.61,29,1
Sonny Randle,17,218,12.82,45,2
Bob Crespino,16,167,10.44,19,2
Prentice Gautt,16,114,7.13,22,1
Ron Goodwin,16,212,13.25,30,1
Junior Coffey,15,182,12.13,46,1
Willis Crenshaw,15,46,3.07,19,0
Dick Gordon,15,210,14.0,40,1
Dave Osborn,15,141,9.4,38,2
Ernie Wheelwright,15,137,9.13,35,3
Buddy Dial,14,252,18.0,39,1
Ben Hawkins,14,143,10.21,23,0
Paul Hornung,14,192,13.71,44,3
Willie Richardson,14,246,17.57,69,2
Kay McFarland,13,219,16.85,43,1
Ralph Smith,13,183,14.08,28,3
Gary Barnes,12,173,14.42,53,1
Izzy Lang,12,107,8.92,24,0
Joe Don Looney,12,49,4.08,18,0
Tony Lorick,12,81,6.75,19,0
Amos Marsh,12,111,9.25,20,0
