Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Jim Brown,202,942,4.66,69,9
Rick Casares,204,700,3.43,25,6
Don Bosseler,167,673,4.03,28,7
John Henry Johnson,129,621,4.81,62,5
Tommy Wilson,127,616,4.85,46,3
Ollie Matson,134,577,4.31,56,6
Willie Galimore,127,538,4.24,67,5
Billy Wells,154,532,3.45,51,0
Billy Ray Barnes,143,529,3.7,41,1
Frank Gifford,136,528,3.88,41,5
Clarence Peaks,125,495,3.96,35,1
Alan Ameche,144,493,3.42,49,5
Lenny Moore,98,488,4.98,55,3
Joe Marconi,104,481,4.63,31,3
Hugh McElhenny,102,478,4.69,61,1
Alex Webster,135,478,3.54,34,5
Joe Perry,97,454,4.68,34,3
Jim Podoley,114,442,3.88,33,2
Ed Sutton,108,407,3.77,31,5
Tank Younger,96,401,4.18,29,3
Don McIlhenny,100,384,3.84,40,1
L.G. Dupre,101,375,3.71,22,2
Chet Hanulak,125,375,3.0,64,3
Tobin Rote,70,366,5.23,23,1
Jon Arnett,86,347,4.03,68,2
Gene Babb,102,330,3.24,19,3
Paul Hornung,60,319,5.32,72,3
Lew Carpenter,83,315,3.8,55,4
Ron Waller,48,292,6.08,76,0
Bobby Epps,63,286,4.54,55,0
Gene Gedman,67,278,4.15,59,3
Johnny Olszewski,83,271,3.27,38,2
Howard Cassady,73,250,3.42,57,3
Fran Rogel,68,232,3.41,23,1
Y.A. Tittle,40,220,5.5,45,6
Howie Ferguson,59,216,3.66,40,1
Mel Triplett,61,216,3.54,16,0
Bobby Watkins,57,212,3.72,19,1
Leo Elter,45,211,4.69,22,2
Ken Keller,57,195,3.42,15,0
Johnny Unitas,42,171,4.07,24,1
Joe Childress,41,168,4.1,39,1
Mal Hammack,30,158,5.27,17,0
Dick Young,56,153,2.73,14,2
Jack Call,33,145,4.39,24,0
Fred Cone,53,135,2.55,26,2
Neil Worden,42,133,3.17,17,0
Ed Brown,31,129,4.16,31,1
Al Carmichael,37,118,3.19,10,1
Milt Plum,26,118,4.54,30,0
Leon Hart,24,99,4.13,15,0
Bobby Layne,24,99,4.13,21,0
Bart Starr,31,98,3.16,16,3
Dave Mann,22,92,4.18,25,0
Gene Filipski,22,89,4.05,11,0
Preston Carpenter,3,86,28.67,39,1
Zeke Bratkowski,12,83,6.92,24,0
Babe Parilli,24,83,3.46,20,2
Lamar McHan,25,82,3.28,18,2
Earl Morrall,41,81,1.98,35,2
Larry Barnes,20,78,3.9,16,0
Bill Bowman,28,76,2.71,13,0
Jerry Norton,2,73,36.5,61,0
Jimmy Sears,17,68,4.0,49,1
Bobby Thomason,15,62,4.13,19,3
Joe Scudero,9,60,6.67,43,0
Billy Reynolds,29,57,1.97,8,1
Al Dorow,17,52,3.06,14,2
Tommy Runnels,20,52,2.6,16,0
Dean Derby,18,49,2.72,7,1
Dicky Moegle,9,48,5.33,18,1
Tom Tracy,16,46,2.88,17,0
Max McGee,5,40,8.0,24,0
Tommy McDonald,12,36,3.0,22,0
Yale Lary,1,32,32.0,32,0
Len Dawson,3,31,10.33,27,0
George Shaw,5,30,6.0,11,1
Charlie Conerly,15,24,1.6,13,1
Sam Baker,2,23,11.5,12,1
Milt Campbell,7,23,3.29,14,0
Frank Purnell,5,22,4.4,7,0
Ray Renfro,2,22,11.0,16,0
Ed Modzelewski,10,21,2.1,5,0
Sid Watson,12,21,1.75,12,0
Billy Howton,4,20,5.0,11,0
Dick James,7,19,2.71,8,0
Billy Pricer,2,18,9.0,14,0
Royce Womble,7,18,2.57,7,0
Joe Arenas,5,14,2.8,7,1
Kyle Rote,1,13,13.0,13,0
Paul Larson,8,12,1.5,8,0
Ron Drzewiecki,5,11,2.2,6,0
Perry Jeter,10,11,1.1,7,0
Don Heinrich,4,10,2.5,7,2
Ted Marchibroda,4,10,2.5,7,0
Jerry Reichow,2,9,4.5,7,0
Elroy Hirsch,1,8,8.0,8,0
Ray Gene Smith,1,8,8.0,8,0
Harlon Hill,2,7,3.5,8,0
Bobby Walston,1,7,7.0,7,0
Marv Brown,2,6,3.0,3,0
Dick Hughes,2,6,3.0,4,0
Joe Johnson,2,6,3.0,3,0
Dorne Dibble,1,5,5.0,5,0
Billy Wade,1,5,5.0,5,0
Frank Bernardi,1,4,4.0,4,0
Mike McCormack,0,4,0.0,4,0
Bobby Clatterbuck,3,3,1.0,3,0
Sid Youngelman,0,3,0.0,3,0
Don Chandler,1,2,2.0,2,0
James Caroline,1,1,1.0,1,0
Steve Myhra,1,1,1.0,1,0
John Brodie,2,0,0.0,0,0
Jack Kemp,3,2,0
Ray Mathews,3,6,0
Rudy Bukich,8,16,0
Sonny Jurgensen,10,8,2
Leon Clarke,1,0
Dick Nyers,1,0
Norm Van Brocklin,10,3,4
George Blanda,5,1,1
Earl Girard,2,0,0
Tommy O'Connell,14,7,1
Joe Fortunato,2,1,1
Eddie LeBaron,20,11,0
