Name,Interceptions,Int TDs,Int Yards,Long
Kerby Joseph,9,1,99,33
Xavier Mckinney,8,0,128,48
Chauncey Gardner Johnson,6,1,116,69
Marlon Humphrey,6,1,37,37
Byron Murphy,6,0,2,2
Calen Bullock,5,0,96,68
Amani Hooker,5,0,68,30
Donte Jackson,5,0,88,49
Derek Stingley Jr,5,0,48,31
Jessie Bates,4,1,55,55
Beanie Bishop Jr,4,0,46,41
Reed Blankenship,4,0,29,28
Brian Branch,4,0,48,47
Kamren Kinchens,4,1,123,103
Jaylen Mccollough,4,1,6,4
Tarheeb Still,4,1,85,61
Geno Stone,4,1,88,49
Patrick Surtain Ii,4,1,132,100
Paulson Adebo,3,0,68,47
Julian Blackmon,3,0,27,17
Coby Bryant,3,1,87,69
Sean Murphy Bunting,3,0,2,2
Camryn Bynum,3,0,3,3
Nick Cross,3,0,25,20
Tyrel Dodson,3,0,7,7
Jaden Hicks,3,0,50,47
Brandon Jones 3,3,0,74,37
Jack Jones 2,3,1,53,29
Kamari Lassiter,3,0,9,9
Julian Love,3,0,33,26
Tyrann Mathieu,3,0,29,23
Elijah Molden,3,0,28,25
Kenny Moore,3,0,28,12
Harrison Smith,3,0,0,0
Cam Taylor Britt,3,1,79,51
Xavier Woods,3,0,70,33
Tariq Woolen,3,0,11,7
Jaire Alexander,2,1,52,35
Cody Barton,2,0,71,56
Christian Benford,2,0,30,24
Terrel Bernard,2,0,1,1
Chamarri Conner,2,0,32,29
Bryan Cook,2,0,0,0
Ashtyn Davis,2,0,18,18
Carlton Davis,2,0,0,0
Trevon Diggs,2,0,1,1
Brandin Echols,2,0,0,0
Zaire Franklin,2,0,4,4
Christian Gonzalez,2,0,2,2
Shaquill Griffin,2,0,28,28
Kamu Grugier Hill,2,0,5,5
Damar Hamlin,2,0,19,19
Malik Hooker,2,0,20,21
Jordan Howden,2,0,-2,3
Ja Marcus Ingram,2,1,56,31
Mike Jackson,2,0,20,19
Austin Johnson,2,0,9,5
Jaylon Johnson,2,0,11,9
Taron Johnson,2,1,23,23
Jaylon Jones 2,2,0,5,5
Eric Kendricks,2,0,15,8
Kader Kohou,2,0,2,2
Deommodore Lenoir,2,0,33,33
Zyon Mccollum,2,0,4,4
Trent Mcduffie,2,0,0,0
Ja Quan Mcmillian,2,1,44,44
Josh Metellus,2,0,16,12
Trevon Moehrig,2,0,28,16
Israel Mukuamu,2,0,20,15
Germaine Pratt,2,0,26,24
Jalen Ramsey,2,0,7,7
Taylor Rapp,2,0,5,5
Justin Reid,2,0,8,8
Mike Sainristil,2,0,38,38
Justin Simmons,2,0,0,0
Tykee Smith,2,0,0,0
Robert Spillane,2,0,0,0
Tyrique Stevenson,2,1,43,43
A J Terrell,2,0,1,1
Carrington Valentine,2,0,51,31
Andrew Van Ginkel,2,2,73,63
Denzel Ward,2,0,0,0
Jimmie Ward,2,1,67,65
Fred Warner,2,1,70,45
Ar Darius Washington,2,0,33,32
Garrett Williams,2,0,0,0
Samuel Womack,2,0,4,4
Johnathan Abram,1,0,30,30
Kris Abrams Draine,1,0,17,17
Tony Adams 4,1,0,0,0
Troy Andersen,1,1,47,47
Zayne Anderson,1,0,18,18
Chidobe Awuzie,1,0,8,8
Jordan Battle,1,0,0,0
Zack Baun,1,0,0,0
Vonn Bell,1,0,32,32
Dane Belton,1,0,0,0
Keeanu Benton,1,0,11,11
