Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Brandon Aubrey,36,38,94.7,0/0,9/9,13/15,4/4,9/9,1/1,60,1
Jason Myers,35,42,83.3,0/0,8/8,11/12,12/14,4/8,0/0,55,0
Cairo Santos,35,38,92.1,0/0,9/9,11/11,8/10,7/8,0/0,55,0
Greg Zuerlein,35,38,92.1,0/0,8/8,9/10,13/14,5/6,0/0,55,1
Harrison Butker,33,35,94.3,0/0,8/8,13/15,7/7,4/4,1/1,60,0
Matt Gay,33,41,80.5,0/0,9/9,9/10,7/9,8/12,0/1,57,1
Dustin Hopkins,33,36,91.7,0/0,8/8,7/7,10/13,8/8,0/0,58,0
Younghoe Koo,32,37,86.5,0/0,10/10,10/10,9/11,3/6,0/0,54,0
Justin Tucker,32,37,86.5,0/0,10/10,10/10,11/12,1/4,0/1,50,1
Cameron Dicker,31,33,93.9,0/0,7/7,8/8,9/9,7/9,0/0,55,1
Jake Elliott,30,32,93.8,0/0,9/9,7/8,7/7,6/7,1/1,61,0
Blake Grupe,30,37,81.1,0/0,10/12,6/6,8/10,6/9,0/0,55,0
Wil Lutz,30,34,88.2,0/0,11/11,12/13,4/5,3/5,0/0,52,1
Brandon Mcmanus,30,37,81.1,0/0,4/4,10/10,11/13,5/10,0/0,56,1
Chris Boswell,29,31,93.6,0/0,9/9,7/7,7/8,6/6,0/1,57,0
Nick Folk,29,30,96.7,0/0,9/9,9/9,6/6,5/6,0/0,53,0
Chase Mclaughlin,29,31,93.6,0/0,8/8,12/12,2/3,7/8,0/0,57,2
Matt Prater,28,33,84.8,0/0,6/6,7/8,6/7,8/11,1/1,62,0
Anders Carlson,27,33,81.8,0/0,6/6,14/14,4/8,3/4,0/1,53,0
Ka Imi Fairbairn,27,28,96.4,0/0,10/10,10/10,2/2,5/6,0/0,54,0
Daniel Carlson,26,30,86.7,0/0,10/10,6/7,9/10,1/3,0/0,54,1
Evan Mcpherson,26,31,83.9,0/0,5/5,6/6,8/8,7/12,0/0,56,0
Eddy Pineiro,25,29,86.2,0/0,6/6,7/7,7/9,5/7,0/0,56,0
Tyler Bass,24,29,82.8,0/0,4/4,12/13,4/6,4/6,0/0,54,1
Greg Joseph,24,30,80,1/1,7/7,9/9,3/6,4/7,0/0,54,1
Jason Sanders,24,28,85.7,0/0,6/6,7/7,6/8,5/7,0/0,57,2
Jake Moody,21,25,84,0/0,7/7,8/9,4/6,2/3,0/0,57,0
Joey Slye,19,24,79.2,0/0,2/3,7/7,7/9,2/4,1/1,61,1
Brett Maher,17,23,73.9,0/0,3/3,4/4,7/9,3/7,0/0,54,1
Riley Patterson,16,18,88.9,0/0,2/3,11/11,2/2,1/2,0/0,52,0
Chad Ryland,16,25,64,0/0,4/4,5/7,5/10,2/4,0/0,56,0
Lucas Havrisik,15,20,75,0/0,8/8,3/3,2/6,2/3,0/0,52,0
Graham Gano,11,17,64.7,0/0,2/2,3/5,3/6,3/4,0/0,57,1
Matt Ammendola,6,9,66.7,0/0,2/2,3/3,1/2,0/2,0/0,45,0
Randy Bullock,5,6,83.3,0/0,0/0,2/2,2/3,1/1,0/0,56,0
Mason Crosby,5,7,71.4,0/0,2/2,2/2,0/1,1/2,0/0,52,0
Mike Badgley,4,4,100,0/0,0/0,3/3,1/1,0/0,0/0,41,0
Jamie Gillan,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,40,0
Dare Ogunbowale,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,29,0
Austin Seibert,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,34,0
Matthew Wright,0,1,0,0/0,0/0,0/0,0/0,0/1,0/0,0,0
