Player Name,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Dick Afflis,1,3,3.0,--,0,--,--
Dick Alban,9,81,9.0,--,0,--,--
Joe Arenas,3,26,8.67,--,0,--,--
Roy Barni,2,0,0.0,--,0,--,--
Chuck Bednarik,1,9,9.0,--,0,--,--
Rex Berry,3,69,23.0,--,1,--,--
Bill Bredde,2,44,22.0,--,0,--,--
Al Brosky,2,11,5.5,--,0,--,--
Ed Brown,1,18,18.0,--,0,--,--
Hardy Brown,3,42,14.0,--,1,--,--
Pete Brown,1,47,47.0,--,0,--,--
Jack Butler,4,75,18.75,--,2,--,--
Paul Cameron,7,118,16.86,--,0,--,--
Joe Campanella,1,0,0.0,--,0,--,--
John Cannady,2,16,8.0,--,0,--,--
Al Carapella,2,40,20.0,--,0,--,--
Tom Catlin,1,6,6.0,--,0,--,--
Jack Christiansen,8,84,10.5,--,1,--,--
George Connor,1,6,6.0,--,0,--,--
Russ Craft,3,120,40.0,--,1,--,--
James David,7,74,10.57,--,0,--,--
Bobby Dillon,7,111,15.86,--,1,--,--
Dale Dodrill,3,28,9.33,--,0,--,--
Don Doll,5,51,10.2,--,0,--,--
Harry Dowda,2,34,17.0,--,0,--,--
Chuck Drazenovich,1,5,5.0,--,0,--,--
Jack Dwyer,4,90,22.5,--,1,--,--
Doug Eggers,3,18,6.0,--,0,--,--
Ralph Felton,2,7,3.5,--,0,--,--
Dick Flanagan,3,0,0.0,--,0,--,--
Bill Forester,1,21,21.0,--,0,--,--
Sonny Gandee,3,29,9.67,--,0,--,--
Bill George,2,9,4.5,--,0,--,--
Les Goble,1,3,3.0,--,0,--,--
Ken Gorgal,1,53,53.0,--,1,--,--
Wayne Hansen,1,57,57.0,--,0,--,--
Hall Haynes,1,0,0.0,--,0,--,--
John Helwig,3,22,7.33,--,0,--,--
Elroy Hirsch,1,12,12.0,--,0,--,--
Bob Hudson,8,89,11.13,--,0,--,--
Ed Hughes,2,24,12.0,--,0,--,--
Tommy James,4,57,14.25,--,0,--,--
Carl Karilivacz,2,66,33.0,--,1,--,--
Tom Keane,5,22,4.4,--,0,--,--
Frank Kilroy,4,29,7.25,--,0,--,--
Don Kindt,2,28,14.0,--,0,--,--
George Kinek,2,0,0.0,--,0,--,--
Ellsworth Kingery,1,19,19.0,--,0,--,--
Ed Kissell,1,15,15.0,--,0,--,--
Pat Knight,3,41,13.67,--,0,--,--
Ken Konz,7,133,19.0,--,2,--,--
Warren Lahr,5,44,8.8,--,1,--,--
Tom Landry,8,71,8.88,--,0,--,--
Dick Lane,10,181,18.1,--,0,--,--
Bob Leberman,2,0,0.0,--,0,--,--
Ollie Matson,1,0,0.0,--,0,--,--
Dewey McConnell,3,117,39.0,--,0,--,--
Mike McCormack,1,14,14.0,--,0,--,--
Walt Michaels,1,20,20.0,--,0,--,--
Paul Miller,1,0,0.0,--,0,--,--
Billy Mixon,2,6,3.0,--,0,--,--
McNeil Moore,3,76,25.33,--,0,--,--
Dick Nolan,6,48,8.0,--,0,--,--
Jerry Norton,5,110,22.0,--,1,--,--
Chet Ostrowski,1,5,5.0,--,0,--,--
Don Paul,3,42,14.0,--,0,--,--
Bert Rechichar,2,27,13.5,--,0,--,--
Jess Richardson,1,10,10.0,--,0,--,--
Herb Rich,5,56,11.2,--,0,--,--
Les Richter,1,24,24.0,--,0,--,--
Wayne Robinson,4,41,10.25,--,0,--,--
George Rosso,4,9,2.25,--,0,--,--
Leo Sanford,2,2,1.0,--,0,--,--
Pete Schabarum,1,9,9.0,--,0,--,--
Joe Schmidt,2,13,6.5,--,0,--,--
Joe Scudero,1,26,26.0,--,0,--,--
Clarence Self,2,23,11.5,--,0,--,--
Ed Sharkey,1,4,4.0,--,0,--,--
Stan Sheriff,1,18,18.0,--,0,--,--
Will Sherman,6,70,11.67,--,0,--,--
Burrell Shields,1,8,8.0,--,0,--,--
Don Shula,5,84,16.8,--,0,--,--
Ray Gene Smith,2,0,0.0,--,0,--,--
Ed Sprinkle,1,6,6.0,--,0,--,--
Ernie Stautner,1,3,3.0,--,0,--,--
Bill Stits,6,73,12.17,--,0,--,--
Bill Svoboda,1,30,30.0,--,0,--,--
Carl Taseff,2,15,7.5,--,0,--,--
Lou Tepe,3,67,22.33,--,0,--,--
Deral Teteak,1,23,23.0,--,0,--,--
Bob Toneff,1,15,15.0,--,0,--,--
Clay Tonnemaker,1,1,1.0,--,0,--,--
Charlie Toogood,1,3,3.0,--,0,--,--
LaVern Torgeson,2,33,16.5,--,0,--,--
Charlie Trippi,3,34,11.33,--,0,--,--
Emlen Tunnell,8,108,13.5,--,0,--,--
Val Joe Walker,4,83,20.75,--,0,--,--
Stan Wallace,4,63,15.75,--,0,--,--
Gerry Weatherly,2,56,28.0,--,0,--,--
Stan West,1,0,0.0,--,0,--,--
Gene White,1,20,20.0,--,0,--,--
S.J. Whitman,5,117,23.4,--,1,--,--
Johnny Williams,3,28,9.33,--,0,--,--
Roger Zatkoff,1,0,0.0,--,0,--,--
