Player Name,Games Played,Interceptions,Interception Yards,Average Ints per Game,Long,Touchdowns,Sacks,Sack Loss Yards Caused
Rahim Abdullah,16,1,0,0.0,0,0,0.0,0.0
Donnie Abraham,16,7,115,16.43,55,2,2.0,10.0
Sam Adams,13,0,0,0.0,0,0,1.0,6.0
Ray Agnew,16,0,0,0.0,0,0,2.5,18.0
Chidi Ahanotu,16,0,0,0.0,0,0,6.5,39.0
Allen Aldridge,16,0,0,0.0,0,0,3.0,21.0
Brent Alexander,16,2,18,9.0,18,0,0.0,0.0
Derrick Alexander,16,0,0,0.0,0,0,2.5,25.0
Eric Allen,16,3,33,11.0,31,0,0.0,0.0
Taje Allen,16,2,76,38.0,40,0,0.5,1.5
Ashley Ambrose,16,6,27,4.5,16,0,0.0,0.0
Lester Archambeau,15,0,0,0.0,0,0,5.5,36.5
Jessie Armstead,16,2,35,17.5,31,0,9.0,40.0
Trace Armstrong,16,0,0,0.0,0,0,7.5,52.0
Champ Bailey,16,5,55,11.0,59,1,1.0,12.0
Robert Bailey,16,2,39,19.5,31,0,2.0,9.0
Jerry Ball,16,0,0,0.0,0,0,2.0,11.0
Michael Bankston,16,0,0,0.0,0,0,6.0,30.0
Ronde Barber,16,2,60,30.0,43,0,1.0,10.0
Shawn Barber,16,2,70,35.0,70,1,1.0,7.0
Roy Barker,12,1,14,14.0,14,0,2.0,3.0
Tom Barndt,16,0,0,0.0,0,0,2.5,8.0
Micheal Barrow,16,0,0,0.0,0,0,4.0,19.0
Eric Barton,16,0,0,0.0,0,0,3.0,27.0
Anthony Bass,14,1,4,4.0,4,0,0.0,0.0
Aaron Beasley,16,6,200,33.33,93,2,1.5,5.0
Jay Bellamy,16,4,4,1.0,7,0,0.0,0.0
Myron Bell,16,1,5,5.0,5,0,2.0,14.5
Jason Belser,16,0,0,0.0,0,0,1.0,7.0
Cornelius Bennett,16,0,0,0.0,0,0,5.0,31.0
Tommy Bennett,15,1,13,13.0,13,0,0.0,0.0
Bertrand Berry,16,0,0,0.0,0,0,1.0,6.0
Greg Biekert,16,2,57,28.5,36,0,2.0,11.0
Blaine Bishop,15,0,0,0.0,0,0,2.5,23.5
Roosevelt Blackmon,5,1,0,0.0,0,0,0.0,0.0
Tony Blevins,15,2,115,57.5,74,1,1.0,4.0
Dre' Bly,16,3,53,17.67,53,1,0.0,0.0
Michael Booker,13,2,10,5.0,10,0,0.0,0.0
Vaughn Booker,14,0,0,0.0,0,0,3.5,22.0
Peter Boulware,16,0,0,0.0,0,0,10.0,64.0
Marc Boutte,6,0,0,0.0,0,0,1.0,1.0
Joe Bowden,15,1,29,29.0,29,0,3.5,19.5
David Bowens,16,0,0,0.0,0,0,1.0,1.0
Tim Bowens,16,0,0,0.0,0,0,1.5,5.5
Stephen Boyd,14,1,18,18.0,18,0,0.0,0.0
Brant Boyer,16,1,5,5.0,5,0,4.0,39.0
Tony Brackens,16,2,16,8.0,16,1,12.0,93.5
Chad Bratzke,16,0,0,0.0,0,0,12.0,70.0
Tyrone Braxton,16,0,0,0.0,0,0,1.0,10.0
Lorenzo Bromell,15,0,0,0.0,0,0,5.0,27.5
Derrick Brooks,16,4,61,15.25,38,0,2.0,22.0
Keith Brooking,13,0,0,0.0,0,0,2.0,15.0
Chad Brown,15,0,0,0.0,0,0,5.5,29.0
Cornell Brown,16,0,0,0.0,0,0,1.0,0.0
Eric Brown,10,1,13,13.0,13,0,1.5,8.0
Lance Brown,16,0,0,0.0,0,0,1.0,0.0
Tedy Bruschi,14,1,1,1.0,1,0,2.0,8.0
Fernando Bryant,16,2,0,0.0,0,0,0.0,0.0
Junior Bryant,16,0,0,0.0,0,0,4.5,40.5
Tony Bryant,10,0,0,0.0,0,0,4.5,31.5
Ray Buchanan,16,4,81,20.25,52,1,1.0,2.0
Terrell Buckley,16,3,3,1.0,18,0,1.0,7.0
Brentson Buckner,16,0,0,0.0,0,0,1.0,4.0
Tom Burke,16,0,0,0.0,0,0,2.5,23.5
Rob Burnett,16,0,0,0.0,0,0,6.5,33.5
Keith Burns,15,1,15,15.0,15,0,0.0,0.0
Jeff Burris,16,2,83,41.5,55,0,2.0,12.0
John Burrough,10,0,0,0.0,0,0,1.0,9.0
Shane Burton,15,1,37,37.0,37,0,3.0,16.0
Devin Bush,16,2,45,22.5,45,1,0.0,0.0
Lewis Bush,16,0,0,0.0,0,0,1.0,3.0
LeRoy Butler,16,2,0,0.0,0,0,1.0,4.0
Glenn Cadrez,16,0,0,0.0,0,0,7.0,24.0
Mike Caldwell,14,1,12,12.0,12,0,1.0,7.0
Chris Canty,14,3,26,8.67,19,0,0.0,0.0
Mark Carrier,15,3,16,5.33,16,0,0.0,0.0
Chris Carter,15,3,13,4.33,8,0,1.0,1.0
Dale Carter,14,2,48,24.0,34,0,0.0,0.0
Kevin Carter,16,0,0,0.0,0,0,17.0,106.0
Marty Carter,11,1,4,4.0,4,0,0.0,0.0
Tom Carter,14,2,36,18.0,36,0,0.0,0.0
Corey Chavous,15,1,1,1.0,1,0,0.0,0.0
Larry Chester,16,0,0,0.0,0,0,1.0,18.0
Chris Claiborne,15,0,0,0.0,0,0,1.5,14.5
Willie Clay,16,3,32,10.67,24,0,0.0,0.0
Charlie Clemons,16,1,0,0.0,0,0,3.0,20.0
Duane Clemons,16,0,0,0.0,0,0,9.0,47.0
Rich Coady,16,1,11,11.0,11,0,0.0,0.0
Dexter Coakley,16,4,119,29.75,46,1,1.0,4.0
George Coghill,13,1,0,0.0,0,0,0.0,0.0
Marco Coleman,16,0,0,0.0,0,0,6.5,39.5
Marcus Coleman,16,6,165,27.5,98,1,0.0,0.0
Ferric Collons,14,0,0,0.0,0,0,2.0,16.0
