Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jim Bakken,36/36,27/39,--,--,--,--,--,0,117
Bruce Gossett,48/48,20/43,--,--,--,--,--,0,108
Lou Michaels,46/48,20/37,--,--,--,--,--,0,106
Don Chandler,39/39,19/29,--,--,--,--,--,49,96
Sam Baker,45/45,12/19,--,--,--,--,--,41,81
Fred Cox,26/26,17/33,--,--,--,--,--,44,77
Lou Groza,43/43,11/23,--,--,--,--,--,0,76
Tommy Davis,33/33,14/33,--,--,--,--,--,0,75
Mike Clark,35/35,12/22,--,--,--,--,--,0,71
Charlie Durkee,27/27,14/32,--,--,--,--,--,47,69
Mac Percival,26/29,13/26,--,--,--,--,--,0,65
Danny Villanueva,32/34,8/19,--,--,--,--,--,34,56
Pete Gogolak,28/29,6/10,--,--,--,--,--,0,46
Wade Traynham,22/22,7/18,--,--,--,--,--,48,43
Gene Mingo,20/22,4/10,--,--,--,--,--,0,32
Garo Yepremian,22/23,2/6,--,--,--,--,--,0,28
Wayne Walker,11/11,5/15,--,--,--,--,--,0,26
Les Murdock,13/15,4/9,--,--,--,--,--,0,25
John Love,10/11,2/7,--,--,--,--,--,0,16
Harold Deters,9/10,1/4,--,--,--,--,--,12,12
Charlie Gogolak,3/3,1/4,--,--,--,--,--,0,6
Dick Absher,4/4,0/1,--,--,--,--,--,0,4
Bruce Alford,3/4,0/2,--,--,--,--,--,0,3
Chuck Mercein,2/3,0/1,--,--,--,--,--,0,2
Wendell Harris,2/2,0/1,--,--,--,--,--,0,2
Brig Owens,2/3,0/2,--,--,--,--,--,0,2
