Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jeff Wilkins,16,46/46,39/42,0/0,16/16,11/13,8/9,4/4,53,163
Mike Vanderjagt,16,46/46,37/37,0/0,17/17,7/7,12/12,1/1,50,157
Matt Stover,16,35/35,33/38,0/0,16/16,6/6,11/14,0/2,49,134
John Kasay,16,29/30,32/38,0/0,13/13,6/8,11/13,2/4,53,125
Gary Anderson,15,42/42,27/31,0/0,5/5,12/12,10/14,0/0,43,123
Ryan Longwell,16,51/51,23/26,0/0,5/5,11/11,6/9,1/1,50,120
Jason Elam,16,39/39,27/31,0/0,10/11,6/6,9/11,2/3,51,120
David Akers,16,42/42,24/29,0/0,9/9,7/7,6/10,2/3,57,114
Josh Brown,16,48/48,22/30,0/0,5/5,10/11,6/11,1/3,58,114
Adam Vinatieri,16,37/38,25/34,0/0,16/17,4/8,5/8,0/1,48,112
Morten Andersen,16,58/59,16/20,0/0,3/3,8/8,5/8,0/1,49,106
Shayne Graham,16,40/40,22/25,0/0,5/5,10/10,7/8,0/2,48,106
Doug Brien,16,24/24,27/32,0/0,5/5,15/15,7/8,0/4,48,105
Paul Edinger,16,27/27,26/36,1/1,4/4,9/13,9/14,3/4,54,105
John Carney,16,36/37,22/30,0/0,6/6,10/12,5/9,1/3,50,102
Aaron Elling,16,48/48,18/25,0/0,7/7,6/8,4/7,1/3,51,102
John Hall,16,26/27,25/33,0/0,8/8,7/9,6/9,4/7,54,101
Jeff Reed,16,31/32,23/32,0/0,9/12,6/7,7/12,1/1,51,100
Olindo Mare,16,33/34,22/29,0/0,9/9,3/6,6/8,4/6,52,99
Billy Cundiff,15,30/31,23/29,0/0,11/11,5/6,4/7,3/5,52,99
Sebastian Janikowski,16,28/29,22/25,0/0,6/6,6/6,9/10,1/3,55,94
Jason Hanson,16,26/27,22/23,0/0,7/7,6/6,5/6,4/4,54,92
Seth Marler,16,30/30,20/33,0/0,10/11,4/8,5/12,1/2,53,90
Jay Feely,16,32/33,19/27,0/0,6/6,9/11,4/7,0/3,46,89
Kris Brown,16,27/27,18/22,1/1,3/3,8/8,5/6,1/4,50,81
Martin Gramatica,16,33/34,16/26,0/0,9/9,3/6,3/8,1/3,50,81
Steve Christie,16,36/36,15/20,1/1,6/6,3/3,3/7,2/3,51,81
Rian Lindell,16,24/24,17/24,0/0,11/12,3/3,3/7,0/2,44,75
Phil Dawson,13,20/21,18/21,2/2,7/7,4/5,3/5,2/2,52,74
Todd Peterson,8,22/23,12/15,0/0,5/7,3/3,4/4,0/1,48,58
Brett Conway,8,9/9,14/19,1/1,3/3,6/9,4/6,0/0,48,51
Matt Bryant,11,17/17,11/14,0/0,3/4,4/5,4/5,0/0,47,50
Neil Rackers,7,8/8,9/12,0/0,5/5,1/4,3/3,0/0,49,35
Owen Pochman,6,9/10,8/15,0/0,1/1,3/8,4/5,0/1,48,33
Jeff Chandler,2,7/8,6/7,0/0,5/5,1/1,0/1,0/0,35,25
Tim Duncan,5,5/6,6/10,0/0,2/2,2/4,1/2,1/2,53,23
Bill Gramatica,4,6/6,3/4,0/0,1/1,2/2,0/0,0/1,38,15
Craig Hentrich,16,1/1,4/5,0/0,0/0,2/2,2/2,0/1,49,13
Micah Knorr,16,2/2,1/1,0/0,1/1,0/0,0/0,0/0,27,5
Joe Nedney,1,0/1,1/1,0/0,0/0,0/0,0/0,1/1,50,3
Wade Richey,15,0/0,1/2,0/0,0/0,0/0,0/0,1/2,56,3
Jeff Feagles,16,0/0,0/1,0/0,0/1,0/0,0/0,0/0,0,0
