player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Norm Van Brocklin,205,113,55.1,1736,8.5,14,6.8,17,8.3,84,N/A,N/A,71.5,,
Charlie Conerly,169,82,48.5,1090,6.5,13,7.7,10,5.9,70,N/A,N/A,70.4,,
Otto Graham,364,181,49.7,2816,7.7,20,5.5,24,6.6,68,N/A,N/A,66.6,,
Y.A. Tittle,208,106,51.0,1407,6.8,11,5.3,12,5.8,77,N/A,N/A,66.3,,
Jim Finks,336,158,47.0,2307,6.9,20,6.0,19,5.7,60,N/A,N/A,66.2,,
Eddie LeBaron,194,96,49.5,1420,7.3,14,7.2,15,7.7,70,N/A,N/A,65.7,,
Bobby Layne,287,139,48.4,1999,7.0,19,6.6,20,7.0,77,N/A,N/A,64.5,,
Bobby Thomason,212,95,44.8,1334,6.3,8,3.8,9,4.2,44,N/A,N/A,60.5,,
Babe Parilli,177,77,43.5,1416,8.0,13,7.3,17,9.6,90,N/A,N/A,56.6,,
Charlie Trippi,181,84,46.4,890,4.9,5,2.8,13,7.2,56,N/A,N/A,40.5,,
Frank Tripucka,186,91,48.9,809,4.3,3,1.6,17,9.1,42,N/A,N/A,28.3,,
