Player Name,Receptions,Yards,Average,Long,Touchdowns
Red Phillips,78,1092,14.0,69,5
Raymond Berry,75,873,11.64,44,0
Del Shofner,68,1125,16.54,46,11
Tommy McDonald,64,1144,17.88,66,13
Mike Ditka,56,1076,19.21,76,12
Billy Howton,56,785,14.02,53,4
R.C. Owens,55,1032,18.76,54,5
Buddy Dial,53,1047,19.75,88,12
Fred Dugan,53,817,15.42,80,4
Kyle Rote,53,805,15.19,57,7
Max McGee,51,883,17.31,53,7
Jerry Reichow,50,859,17.18,51,11
Pete Retzlaff,50,769,15.38,61,8
Lenny Moore,49,728,14.86,72,8
Ray Renfro,48,834,17.38,57,6
Jim Brown,46,459,9.98,77,2
Gail Cogdill,45,956,21.24,84,6
Jim Gibbons,45,566,12.58,36,1
Sonny Randle,44,591,13.43,41,9
Monty Stickles,43,794,18.47,54,5
Frank Clarke,41,919,22.41,80,9
Bill Anderson,40,637,15.93,42,0
Terry Barr,40,630,15.75,61,6
Hugh McElhenny,37,283,7.65,26,3
Boyd Dowler,36,633,17.58,78,3
Johnny Morris,36,548,15.22,80,4
Joe Walton,36,544,15.11,37,2
Carroll Dale,35,561,16.03,68,2
Ron Kramer,35,559,15.97,53,4
Joe Perry,34,322,9.47,27,1
Bobby Walston,34,569,16.74,68,2
Preston Carpenter,33,460,13.94,40,4
Willie Galimore,33,502,15.21,84,3
Bobby Mitchell,32,368,11.5,52,3
Clarence Peaks,32,472,14.75,48,0
Don Perkins,32,298,9.31,38,1
Bobby Joe Conrad,30,499,16.63,50,2
Dave Middleton,30,444,14.8,57,2
Ollie Matson,29,537,18.52,96,3
Jon Arnett,28,194,6.93,29,0
J.D. Smith,28,343,12.25,57,1
Dick Bielski,26,377,14.5,28,3
Nick Pietrosante,26,315,12.12,76,0
Alex Webster,26,313,12.04,59,3
Jim Taylor,25,175,7.0,18,1
John Henry Johnson,24,262,10.92,51,1
Bob Schnelker,24,401,16.71,59,4
Taz Anderson,22,399,18.14,78,2
Tom Osborne,22,297,13.5,60,2
Ted Dean,21,335,15.95,60,1
Bo Farrington,21,349,16.62,98,4
Rich Kreitling,21,229,10.9,19,3
Amos Marsh,21,189,9.0,46,2
John David Crow,20,306,15.3,35,3
Alex Hawkins,20,158,7.9,22,1
Dick James,20,298,14.9,44,2
Tommy Mason,20,122,6.1,18,0
Jim Mutscheller,20,370,18.5,45,2
J.W. Lockett,19,149,7.84,26,2
Gern Nagler,19,241,12.68,21,1
Jimmy Orr,18,357,19.83,64,4
Dick Bass,16,145,9.06,37,0
Don Bosseler,16,94,5.88,18,1
Ray Hayes,16,121,7.56,22,0
Billy Ray Barnes,15,194,12.93,59,3
Paul Hornung,15,145,9.67,34,2
Aaron Thomas,15,301,20.07,70,2
Timmy Brown,14,264,18.86,65,2
Tom Tracy,14,133,9.5,38,1
Jim Doran,13,153,11.77,29,2
A.D. Williams,13,174,13.38,49,1
Angelo Coia,12,249,20.75,64,3
Jim Cunningham,12,90,7.5,17,1
Prentice Gautt,12,132,11.0,45,3
Frank Mestnik,12,29,2.42,15,1
Gordon Smith,12,320,26.67,71,4
Billy Stacy,12,241,20.08,80,1
Leon Clarke,11,211,19.18,41,2
Clyde Conner,11,177,16.09,45,1
Bob Gaiters,11,54,4.91,14,1
Joe Morrison,11,67,6.09,16,1
