Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Steve Van Buren,201,945,4.7,29,10
Charlie Trippi,128,690,5.39,50,6
Elmer Angsman,131,638,4.87,72,8
Camp Wilson,157,612,3.9,38,2
Tony Canadeo,123,589,4.79,49,4
Pat Harder,126,554,4.4,71,6
Bosh Pritchard,117,517,4.42,65,4
Gene Roberts,145,491,3.39,27,0
Walt Schlinkman,106,441,4.16,19,4
George Gulyanics,119,439,3.69,24,4
George McAfee,92,392,4.26,23,5
Fred Enke,74,365,4.93,41,0
Bob Cifers,112,361,3.22,21,1
Dick Hoerner,76,354,4.66,23,4
Ray Evans,99,343,3.46,24,2
Joe Osmanski,74,341,4.61,32,1
Jim Castiglia,97,330,3.4,16,0
Ed Quirk,77,328,4.26,24,4
George Papach,60,324,5.4,42,2
Kenny Washington,57,301,5.28,31,2
J.R. Boone,48,266,5.54,40,5
Johnny Clement,67,261,3.9,28,2
Bill Paschal,80,249,3.11,20,1
Fred Gehrke,56,246,4.39,24,1
Frank Seno,71,242,3.41,21,0
Dick Poillon,71,233,3.28,14,1
Vinnie Yablonski,48,233,4.85,47,0
Mike Holovak,30,228,7.6,47,2
Noah Mullins,36,208,5.78,74,1
Jerry Cowhig,46,206,4.48,14,2
Dick Todd,57,201,3.53,21,1
Jerry Shipkey,64,199,3.11,16,8
Joe Scott,48,198,4.13,20,2
Noble Doss,62,193,3.11,18,0
Don Kindt,54,189,3.5,66,2
Tom Farmer,52,188,3.62,17,1
Ray Coates,50,176,3.52,18,3
Ted Fritsch,37,173,4.68,30,0
Frank Muehlheuser,38,169,4.45,35,1
Joe Glamp,28,167,5.96,55,1
Jim Parmer,30,167,5.57,42,3
Charlie Conerly,40,160,4.0,40,5
Tony Minisi,36,160,4.44,19,1
Dante Magnani,38,144,3.79,15,0
Ralph Earhart,30,140,4.67,72,1
Les Horvath,30,118,3.93,19,0
Jack Myers,21,118,5.62,29,1
Babe Dimancheff,27,117,4.33,26,1
Johnny Lujack,15,110,7.33,26,1
Jerry Nuzum,26,109,4.19,20,0
Vic Schwall,15,107,7.13,23,1
Ben Kish,10,106,10.6,66,1
Jack Banta,32,105,3.28,14,0
Tommy Mont,11,103,9.36,33,1
Tony Compagno,24,101,4.21,20,0
Ernie Steele,13,99,7.62,56,1
Bill Dudley,33,97,2.94,11,0
Joe Muha,25,90,3.6,14,0
Fred Provo,29,90,3.1,28,0
Rudy Romboli,25,90,3.6,15,1
Phil Slosburg,32,89,2.78,16,0
Clyde LeForce,28,86,3.07,18,0
