Name,Field Goals Made,Attempts,FG %,1-19 > Attempts/Made,20-29 > Attempts/Made,30-39 > Attempts/Made,40-49 > Attempts/Made,50-59 > Attempts/Made,60+ > Attempts/Made,Long,Field Goals Blocked
Mark Moseley,22,34,64.7,1/1,7/8,8/11,6/13,N/A,N/A,49,0
Jan Stenerud,21,38,55.3,0/0,7/11,6/9,7/15,N/A,N/A,52,6
Jim Bakken,20,27,74.1,0/0,10/11,6/8,4/8,N/A,N/A,43,1
Toni Linhart,20,27,74.1,0/0,9/9,10/11,1/7,N/A,N/A,41,1
Fred Cox,19,31,61.3,0/0,5/7,10/12,4/11,N/A,N/A,49,3
Efren Herrera,18,23,78.3,1/1,8/8,6/8,3/5,N/A,N/A,46,0
Richie Szaro,18,23,78.3,1/1,8/8,4/5,4/7,N/A,N/A,50,0
Tom Dempsey,17,26,65.4,2/2,5/8,4/5,6/10,N/A,N/A,49,4
Skip Butler,16,27,59.3,1/1,4/4,7/10,3/8,N/A,N/A,54,1
Steve Mike Mayer,16,28,57.1,3/3,5/8,4/8,4/8,N/A,N/A,45,3
Garo Yepremian,16,23,69.6,0/0,9/10,2/4,4/8,N/A,N/A,53,1
Don Cockroft,15,28,53.6,2/2,3/6,5/6,4/11,N/A,N/A,51,2
John Smith 2,15,25,60,0/1,4/4,4/6,7/14,N/A,N/A,49,1
Jim Turner 2,15,21,71.4,1/1,7/8,4/5,3/7,N/A,N/A,47,1
Chris Bahr,14,27,51.8,1/1,6/8,2/4,3/8,N/A,N/A,51,2
Roy Gerela,14,26,53.8,1/1,3/7,6/10,4/7,N/A,N/A,47,4
George Jakowenko,12,17,70.6,0/0,4/4,4/6,4/7,N/A,N/A,49,0
Bob Thomas,12,25,48,0/0,3/3,4/6,5/11,N/A,N/A,47,1
Pat Leahy,11,16,68.8,1/1,5/5,3/5,2/5,N/A,N/A,47,0
Horst Muhlmann,11,16,68.8,1/1,5/5,4/4,1/6,N/A,N/A,44,1
Benny Ricardo,11,18,61.1,1/1,4/7,3/3,3/6,N/A,N/A,44,2
Chester Marcol,10,19,52.6,1/1,3/3,4/8,2/5,N/A,N/A,45,1
Nick Mike Mayer,10,21,47.6,2/2,2/4,1/5,5/10,N/A,N/A,46,3
Joe Danelo,8,21,38.1,1/1,3/3,3/11,0/2,N/A,N/A,50,3
Dave Green,8,14,57.1,1/1,1/2,4/7,2/4,N/A,N/A,45,3
John Leypoldt,8,15,53.3,0/0,2/3,1/4,5/7,N/A,N/A,48,3
Errol Mann,8,21,38.1,0/0,2/3,4/7,2/9,N/A,N/A,49,3
Toni Fritsch,6,12,50,0/0,1/2,2/4,3/6,N/A,N/A,48,1
Fred Steinfort,4,8,50,0/0,1/1,2/4,1/3,N/A,N/A,44,2
Ray Wersching,4,8,50,0/0,1/1,2/3,1/3,N/A,N/A,45,0
Don Bitterlich,1,4,25,0/0,1/1,0/2,0/1,N/A,N/A,27,0
Ray Guy,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
Mirro Roder,0,3,0,0/0,0/0,0/2,0/1,N/A,N/A,0,0
Steve Zabel,0,0,0,0/0,0/0,0/0,0/0,N/A,N/A,0,0
