Name,Passing Yards,Yards per Attempt,Attempts,Completions,Completion %,Touchdowns,Interceptions,QB passer rating,1st downs,1st down %,20+,40+,Long,Sacks,Sack Yards
Joe Burrow,4918,7.5,652,460,70.6,43,9,108.5,253,38.8,49,12,70,48,278
Jared Goff,4629,8.6,539,390,72.4,37,12,111.8,236,43.8,61,11,82,31,234
Baker Mayfield,4500,7.9,570,407,71.4,41,16,106.8,224,39.3,58,5,57,40,248
Geno Smith,4320,7.5,578,407,70.4,21,15,93.2,209,36.2,50,4,71,50,338
Sam Darnold,4319,7.9,545,361,66.2,35,12,102.5,207,38,62,10,97,48,335
Lamar Jackson,4172,8.8,474,316,66.7,41,4,119.6,198,41.8,56,14,84,23,149
Patrick Mahomes,3928,6.8,581,392,67.5,26,11,93.5,214,36.8,40,4,54,36,239
Aaron Rodgers,3897,6.7,584,368,63,28,11,90.5,192,32.9,51,7,71,40,302
Justin Herbert,3870,7.7,504,332,65.9,23,3,101.7,175,34.7,54,7,66,41,242
Brock Purdy,3864,8.5,455,300,65.9,20,12,96.1,178,39.1,56,11,76,31,153
Kyler Murray,3851,7.1,541,372,68.8,21,11,93.5,191,35.3,43,3,60,30,220
Bo Nix,3775,6.7,567,376,66.3,29,12,93.3,170,30,51,6,93,24,198
Matthew Stafford,3762,7.3,517,340,65.8,20,8,93.6,176,34,45,6,69,28,213
Josh Allen,3731,7.7,483,307,63.6,28,6,101.4,173,35.8,54,10,64,14,63
C J Stroud,3727,7,532,336,63.2,20,12,87,187,35.2,42,6,67,52,408
Jayden Daniels,3568,7.4,480,331,69,25,9,100.1,170,35.4,41,10,86,47,238
Caleb Williams,3541,6.3,562,351,62.5,20,6,87.8,171,30.4,40,6,47,68,466
Kirk Cousins,3508,7.7,453,303,66.9,18,16,88.6,163,36,42,7,60,28,201
Jordan Love,3389,8,425,268,63.1,25,11,96.7,151,35.5,48,12,70,14,95
Jalen Hurts,2903,8,361,248,68.7,18,5,103.7,139,38.5,43,10,67,38,271
Tua Tagovailoa,2867,7.2,399,291,72.9,19,7,101.4,161,40.4,29,3,80,21,154
Russell Wilson,2482,7.4,336,214,63.7,16,5,95.6,112,33.3,40,6,46,33,219
Bryce Young,2403,6.3,384,234,60.9,15,9,82.2,117,30.5,30,3,83,29,186
Drake Maye,2276,6.7,338,225,66.6,15,10,88.1,112,33.1,25,1,40,34,229
Derek Carr,2145,7.7,279,189,67.7,15,5,101,93,33.3,27,7,71,8,48
Jameis Winston,2121,7.2,296,181,61.2,13,12,80.6,103,34.8,24,4,89,24,130
Will Levis,2091,7,301,190,63.1,13,12,81.4,86,28.6,25,7,98,41,233
Daniel Jones X5302,2070,6.1,341,216,63.3,8,7,79.4,106,31.1,19,2,43,29,172
Trevor Lawrence,2045,7.2,284,172,60.6,11,7,85.2,97,34.2,32,4,85,18,140
Gardner Minshew,2013,6.6,306,203,66.3,9,10,81,106,34.6,22,2,57,29,164
Dak Prescott,1978,6.9,286,185,64.7,11,8,86,87,30.4,23,3,65,21,112
Cooper Rush,1844,6,308,187,60.7,12,5,83.8,92,29.9,20,4,64,13,95
Anthony Richardson,1814,6.9,264,126,47.7,8,12,61.6,73,27.6,28,6,69,14,115
Joe Flacco,1761,7.1,248,162,65.3,12,7,90.5,87,35.1,22,4,65,18,123
Mac Jones,1672,6.4,262,171,65.3,8,8,80.5,77,29.4,22,4,62,14,100
Aidan O Connell,1612,6.6,243,154,63.4,8,4,86.6,78,32.1,20,2,58,10,82
Mason Rudolph,1530,6.7,228,146,64,9,9,80.1,78,34.2,18,2,47,11,71
Spencer Rattler,1317,5.8,228,130,57,4,5,70.4,62,27.2,16,1,41,22,136
Deshaun Watson,1148,5.3,216,137,63.4,5,3,79,49,22.7,11,0,35,33,191
Justin Fields,1106,6.9,161,106,65.8,5,1,93.3,45,28,15,2,55,16,124
Drew Lock,1071,5.9,181,107,59.1,6,5,75.5,45,24.9,11,2,59,12,88
Andy Dalton,989,6.2,160,106,66.2,7,6,82,50,31.2,13,0,39,7,37
Tyler Huntley,829,6.2,133,86,64.7,3,3,80.1,45,33.8,6,0,25,15,92
Jacoby Brissett,826,5.1,161,95,59,2,1,74.2,41,25.5,7,1,50,18,119
Michael Penix Jr,775,7.4,105,61,58.1,3,3,78.9,35,33.3,12,1,42,4,14
Malik Willis,550,10.2,54,40,74.1,3,0,124.8,20,37,11,2,51,8,37
Desmond Ridder,458,5.4,85,52,61.2,2,2,73.6,24,28.2,7,0,28,10,64
Dorian Thompson Robinson,440,3.7,118,61,51.7,0,6,39.5,20,17,1,0,29,8,47
Marcus Mariota,364,8.3,44,34,77.3,4,0,131.2,22,50,4,0,29,3,29
Joshua Dobbs,361,7.7,47,32,68.1,2,2,87.3,18,38.3,5,0,36,2,28
Jimmy Garoppolo,334,8.2,41,27,65.8,2,1,97,16,39,6,1,50,3,15
Tanner Mckee,323,7.2,45,30,66.7,4,0,117.2,17,37.8,2,0,25,2,17
Kenny Pickett,291,6.9,42,25,59.5,2,1,86.5,12,28.6,4,2,49,4,33
Tim Boyle,276,5.5,50,27,54,1,1,68.4,11,22,3,0,30,2,11
Trey Lance,266,6.5,41,25,61,0,1,69.8,13,31.7,4,0,33,4,23
Tommy Devito,257,5.8,44,31,70.4,0,0,85.1,15,34.1,2,0,23,6,31
Joe Milton Iii,241,8.3,29,22,75.9,1,0,111.4,14,48.3,2,1,48,0,0
Jake Haener,226,5.8,39,18,46.2,1,1,62.6,10,25.6,3,0,36,6,55
Davis Mills,212,5.9,36,20,55.6,0,0,72.9,9,25,3,0,25,2,18
Brandon Allen,199,6.6,30,17,56.7,1,2,60.3,8,26.7,5,0,31,2,2
Skylar Thompson,187,5.7,33,21,63.6,0,0,78.7,8,24.2,1,0,22,6,44
Mitchell Trubisky,179,6.9,26,19,73.1,2,0,117.3,7,26.9,2,1,69,0,0
Bailey Zappe,170,5.5,31,16,51.6,1,2,51.8,8,25.8,3,0,30,1,5
Tyrod Taylor,119,5.4,22,17,77.3,3,0,128.6,9,40.9,1,0,20,0,0
Carson Wentz,118,6.2,19,12,63.2,0,0,80.6,5,26.3,2,0,25,4,22
