PLAYER,YEARS_OF_TEST_DATA,PASSING YARDS,COMPLETION %,TOUCHDOWNS,QB RATING,RETIREMENT_DIFFERENCE,PREDICTION CATEGORY
A J Feeley,6,342,68.4,3,122.9,-3,Early
Ben Roethlisberger,13,3819,64.4,29,95.4,-1,Accurate
Chuck Fusina,4,83,66.7,2,149.3,-1,Accurate
Drew Bledsoe,5,3706,60.2,28,87.7,-2,Early
Eric Hipple,3,2577,52.7,12,64.7,2,Late
Frank Reich,13,121,36.7,2,21.7,1,Accurate
Guy Benjamin,5,10,100,0,108.3,3,Late
Heath Shuler,3,58,52.9,0,35.9,2,Late
Jeff Lewis,4,11,66.7,0,72.9,2,Late
Kelly Holcomb,6,790,60.4,8,92.9,-3,Early
Lynn Dickey,8,787,50.4,5,71.7,-5,Early
Mike Vick,9,86,46.2,1,93.8,-4,Early
Nick Foles,3,2163,59.8,13,81.4,0,Accurate
Oliver Luck,3,572,56,2,70.9,3,Late
Phil Simms,8,3487,55.3,21,74.6,-3,Early
Rex Grossman,5,1411,54.2,4,66.4,0,Accurate
Stoney Case,5,988,45.3,3,50.3,1,Accurate
Tom Brady,8,4806,68.9,50,117.2,-9,Early
Vinny Testaverde,11,2971,57.7,18,75.9,-7,Early
Warren Moon,7,4689,62,33,96.8,-5,Early
