PLAYER,YEARS_REVEALED,INTS,INT YARDS,LONG,TOUCHDOWNS,SOLO TACKLES,TACKLE ASSISTS,SACKS,SACK LOSS YARDS CAUSED,FORCED FUMBLES,FUMBLE RECOVERIES,FUMBLE RECOVERY TDS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
A.J. Bouye,3,0.6666666666666666,0.34112286890064664,0.265389527458493,0.2222222222222222,0.33614509061661224,0.0814363143631436,0.0,0.0,0.0,0.0,0.0,1.9129826902277844,0.599613845072891,6,4,-2,-0.08453274283079823
A.J. Bouye,4,1.1666666666666667,0.517636684303351,0.4067049808429119,0.3333333333333333,0.6364257934495317,0.21040233479257864,0.03333333333333333,0.010256410256410256,0.0,0.0,0.0,3.3147595369781166,0.8410528392786569,5,3,-2,-0.06637745074009242
A.J. Bouye,5,1.6666666666666667,0.45643566068402663,0.3898193760262726,0.2222222222222222,0.8073451691172502,0.28103145606354846,0.06666666666666667,0.020512820512820513,0.0,0.0,0.0,3.9107000379594736,0.8767145636901096,4,4,0,0.01079660403379043
A.J. Bouye,6,1.9166666666666667,0.38475844658851194,0.35845101258894363,0.1111111111111111,1.0200766334793827,0.38733309195440124,0.09999999999999999,0.030769230769230767,0.0,0.0,0.0,4.309166193158248,0.8985729381392168,3,3,0,0.054314892341166744
A.J. Bouye,7,2.0833333333333335,0.35276377217553684,0.37758769965666517,0.0,1.1270882522422552,0.39845213266265894,0.06666666666666667,0.020512820512820513,0.0,0.0,0.0,4.426404677249937,0.9043328862847613,2,3,1,0.1204920271207029
A.J. Bouye,8,1.5,0.3023716153127918,0.34090428090428093,0.0,1.1349809024336657,0.42208566922525725,0.03333333333333333,0.010256410256410256,0.0,0.0,0.0,3.7439322114657396,0.8634218891821754,1,2,1,0.09299077384183763
A.J. Cann,3,0.0,0.0,0.0,0.0,0.04150317414744629,0.0,0.0,0.0,0.0,0.0,0.0,0.04150317414744629,0.3157339934209093,4,2,-2,-0.008258535594146979
A.J. Cann,4,0.0,0.0,0.0,0.0,0.031326761731585114,0.005050505050505044,0.0,0.0,0.0,0.0,0.0,0.036377266782090155,0.279887152922906,3,2,-1,-0.0037597735468795496
A.J. Cann,5,0.0,0.0,0.0,0.0,0.023999352164726775,0.010101010101010088,0.0,0.0,0.0,0.0,0.0,0.034100362265736865,0.2666395619883992,2,1,-1,0.016053066475430644
A.J. Cann,6,0.0,0.0,0.0,0.0,0.011184974147937066,0.015151515151515133,0.0,0.0,0.0,0.0,0.0,0.0263364892994522,0.22052405204310202,1,2,1,-0.07229255498130804
A.J. Duhe,3,0.33333333333333326,0.029569892473118267,0.057291666666666664,0.0,0.0,0.0,0.3461538461538462,0.0,0.0,0.0,0.0,0.7663487386269644,0.24119439551317096,1,5,4,0.032430492229487184
A.J. Edds,3,0.0,0.0,0.0,0.0,0.023809523809523798,0.1801801801801802,0.0,0.0,0.0,0.0,0.0,0.20398970398970398,0.4884053708112148,1,1,0,0.29953379953379955
A.J. Feeley,3,0.0,0.0,0.0,0.0,0.007092198581560266,0.0,0.0,0.0,0.0,0.0,0.0,0.007092198581560266,0.0678993500497337,2,2,0,0.01133632780233797
A.J. Feeley,4,0.0,0.0,0.0,0.0,0.004728132387706844,0.0,0.0,0.0,0.0,0.0,0.0,0.004728132387706844,0.05453189909445829,1,2,1,-0.054098932820962294
A.J. Green,3,0.0,0.0,0.0,0.0,0.033725963958522065,0.0,0.0,0.0,0.0,0.0,0.0,0.033725963958522065,0.2757095716299552,11,3,-8,0.0033753286944923446
A.J. Green,4,0.0,0.0,0.0,0.0,0.043914777873870006,0.0,0.0,0.0,0.0,0.0,0.0,0.043914777873870006,0.33312430247787483,10,2,-8,-0.011604726405709642
A.J. Green,5,0.0,0.0,0.0,0.0,0.049628460731808405,0.0,0.0,0.0,0.0,0.0,0.0,0.049628460731808405,0.35168797646020444,9,3,-6,0.025959731508835876
A.J. Green,6,0.0,0.0,0.0,0.0,0.03983826762075458,0.0,0.0,0.0,0.0,0.0,0.0,0.03983826762075458,0.3099137331281421,8,2,-6,-0.03872481344375632
A.J. Green,7,0.0,0.0,0.0,0.0,0.02998432745800191,0.005847953216374266,0.0,0.0,0.0,0.0,0.0,0.035832280674376174,0.2965115463125669,7,1,-6,0.026725720298594796
A.J. Green,8,0.0,0.0,0.0,0.0,0.013929134258553176,0.011695906432748532,0.0,0.0,0.0,0.0,0.0,0.02562504069130171,0.25120869425326653,6,1,-5,-0.006273128136653233
A.J. Green,9,0.0,0.0,0.0,0.0,0.005625879043600555,0.0175438596491228,0.0,0.0,0.0,0.0,0.0,0.023169738692723353,0.2305621573276598,5,2,-3,0.13502032454811425
A.J. Green,10,0.0,0.0,0.0,0.0,0.0,0.011695906432748532,0.0,0.0,0.0,0.0,0.0,0.011695906432748532,0.1398101004541076,4,1,-3,0.09774627882368328
A.J. Green,11,0.0,0.0,0.0,0.0,0.002743484224965689,0.005847953216374266,0.0,0.0,0.0,0.0,0.0,0.008591437441339955,0.10150111288161759,3,1,-2,0.015036101422559983
