PLAYER,YEARS_REVEALED,YARDS,RECEPTIONS,YARDS PER RECEPTION,RECEPTIONS PER TARGET,TOUCHDOWNS,20+,40+,LONG,RECEIVING 1ST DOWNS,1ST DOWN %,FUMBLES,YARDS AFTER CATCH,TARGETS,HOWGOOD RAW SCORE,PERCENTILE,ACTUAL_REMAINING_SEASONS,PREDICTED_REMAINING_SEASONS,RETIREMENT_DIFFERENCE,MEAN_PERCENTILE_DIFFERENCE
A B Brown,3,0.006110601894286533,0.038095238095238064,0.039215686274509796,0.0,0.0,0.0,0.0,0.02597402597402597,0.0,0.0,0.0,0.0,0.0,0.10939555223806034,0.028817548305006446,1,2,1,-0.05343640848808732
A J Dillon,3,0.182939469529782,0.25540417090804685,0.3366699949517287,0.609888958726168,0.05555555555555555,0.020833333333333332,0.027777777777777776,0.25557271986086816,0.08688562776613087,0.6006666666666667,-0.3333333333333333,0.21461799526760325,0.05241462830202119,2.3658935653123487,0.3731875394477516,1,2,1,-0.03840327304134572
A J Green,3,1.459925105722332,1.3241433343201547,0.5188608953258292,0.37871175071903973,0.75,0.3458605664488017,0.5861111111111111,0.5707344694686467,0.6372752684073438,0.8682222222222221,-0.5555555555555556,0.5094440474570119,0.3628358484061019,7.756569064053039,0.8423829271260479,9,7,-2,0.04128544760933693
A J Green,4,2.0081283469796687,1.83760906121383,0.6725003759300974,0.5087551526856264,1.0324074074074074,0.4467365649963689,0.7277777777777777,0.8223288490693554,0.8820010527557697,1.1564444444444444,-1.1111111111111112,0.7138089944759978,0.49986932979119875,10.197256246416432,0.9647216147037794,8,6,-2,0.0542607847579602
A J Green,5,2.2587404323489086,2.0565004121723924,0.7622708611988013,0.579752812679642,1.132716049382716,0.4985929557007988,0.7305555555555555,0.9802040823193389,1.0148775752549337,1.3279999999999998,-1.3333333333333333,0.7887600996870741,0.5574789428635384,11.355116445830365,0.9920788673562744,7,5,-2,0.07944972871846798
A J Green,6,2.171445074432097,1.937576637080535,0.7687678179155262,0.6030961516860031,0.9909611992945326,0.4883578431372549,0.6166666666666667,0.9874182747816992,0.9946201946201945,1.3428888888888888,-1.3333333333333333,0.7541493518180579,0.5132912059370892,10.835905972925213,0.9870443170145496,6,4,-2,0.09600461910468844
A J Green,7,2.1086694234527656,1.8629318394024277,0.7717032739423145,0.6139873834126708,0.9093915343915344,0.4798202614379085,0.5722222222222222,0.9668233289918833,1.0177723511056844,1.3713333333333333,-1.1111111111111112,0.7150823864716827,0.49078039821445096,10.769406625267766,0.986497636423,5,4,-1,0.14571245732142568
A J Green,8,1.942658395309291,1.7158161348830718,0.7652800382499587,0.6121936939178318,0.8289241622574957,0.4418709150326797,0.5138888888888888,0.8739456561824982,0.9683387600054266,1.3924444444444444,-1.1111111111111112,0.6553499249310979,0.4575541742208409,10.057154077212415,0.9709802684271125,4,2,-2,0.17826444919118517
A J Green,9,1.6461292031300598,1.4757032314841645,0.6787763951164205,0.5242271649168201,0.7742504409171077,0.35163398692810455,0.3888888888888889,0.7363985037669248,0.8640618640618641,1.284888888888889,-1.222222222222222,0.5378594491205905,0.4120953120953121,8.452691107092923,0.9202869904010857,3,2,-1,0.18289865087893953
A J Green,10,1.1890456158541585,1.0902249091904264,0.5746331377153371,0.4376237364168399,0.5992063492063493,0.2502859477124183,0.19444444444444445,0.5303484306224031,0.6507286971123449,1.1604444444444444,-1.1111111111111112,0.3651594761691214,0.323296270195495,6.254330347972671,0.827520437440358,2,1,-1,0.12463897495142573
