Label Num,Name,Rushing Yards 2000,Fumbles 2000,Played in 2001
P1,Edgerrin James,1709,5,Yes
P2,Robert Smith,1521,4,No
P3,Jamal Lewis,1364,4,No
P4,Marshall Faulk,1359,0,Yes
P5,Napoleon Kaufman,499,1,No
P6,Daunte Culpepper,470,6,Yes
P7,Brad Hoover,290,0,Yes
P8,Drew Bledsoe,158,6,Yes
P9,Jim Harbaugh,24,3,No
P10,Kurt Warner,17,2,Yes
P11,Jon Kitna,127,11,Yes
P12,Shawn Bryson,591,0,Yes
P13,Jermaine Fazande,368,1,No
P14,Antowain Smith,354,1,Yes
P15,Shaun King,353,2,Yes
P16,Mark Brunell,236,5,Yes
P17,Errict Rhett,258,0,No
P18,Robert Chancey,141,0,No
P19,Charlie Garner,1142,4,Yes
P20,Jamal Anderson,1024,6,Yes
P21,Ricky Williams,1000,6,Yes
P22,Ron Dayne,770,1,Yes
P23,Michael Pittman,719,3,Yes
P24,Mario Bates,127,0,No
P25,Anthony Johnson,112,0,No
