Name,Rushing Yards 2000,Fumbles 2000,Played in 2001
Edgerrin James,1709,5,Yes
Robert Smith 3,1521,4,No
Eddie George,1509,5,Yes
Mike Anderson,1487,4,Yes
Corey Dillon,1435,4,Yes
Fred Taylor,1399,2,Yes
Jamal Lewis,1364,4,No
Marshall Faulk,1359,0,Yes
Jerome Bettis,1341,1,Yes
Stephen Davis,1318,3,Yes
Ricky Watters,1242,5,Yes
Curtis Martin,1204,2,Yes
Emmitt Smith,1203,6,Yes
James Stewart,1184,4,Yes
Ahman Green,1175,3,Yes
Charlie Garner,1142,4,Yes
Lamar Smith,1139,3,Yes
Warrick Dunn,1133,1,Yes
James Allen 2,1120,5,Yes
Tyrone Wheatley,1046,4,Yes
Jamal Anderson,1024,6,Yes
Tiki Barber,1006,5,Yes
Ricky Williams,1000,6,Yes
Ron Dayne,770,1,Yes
Michael Pittman,719,3,Yes
Tony Richardson,697,1,Yes
Donovan Mcnabb,629,2,Yes
Tim Biakabutuka,627,1,Yes
Shawn Bryson,591,0,Yes
Priest Holmes,588,1,Yes
Kevin Faulk,570,4,Yes
Rich Gannon,529,3,Yes
Travis Prentice,512,1,Yes
Napoleon Kaufman,499,1,No
Daunte Culpepper,470,6,Yes
Mike Alstott,465,3,Yes
Kordell Stewart,436,6,Yes
Jeff Garcia,414,2,Yes
J R Redmond,406,1,Yes
Steve Mcnair,403,7,Yes
Terrell Fletcher,384,2,Yes
Thomas Jones,373,3,Yes
Jermaine Fazande,368,1,No
Antowain Smith,354,1,Yes
Shaun King,353,2,Yes
Duce Staley,344,1,Yes
Sammy Morris,341,1,Yes
Darnell Autry,334,2,No
Kimble Anders,331,1,No
Cade Mcnown,326,4,No
Brandon Bennett,324,1,Yes
Shaun Alexander,313,2,Yes
Rob Johnson 2,307,1,Yes
Chris Warren 2,296,3,No
Brad Hoover,290,0,Yes
Terrell Davis,282,1,Yes
Jay Fiedler,267,2,Yes
Errict Rhett,258,0,No
Justin Watson 2,249,0,Yes
Jeff Blake,243,4,Yes
Mark Brunell,236,5,Yes
Akili Smith,232,4,Yes
Stanley Pritchett,225,1,No
Dorsey Levens,224,0,Yes
Richard Huntley,215,1,Yes
Randy Jordan,213,0,Yes
Charlie Batch,199,1,Yes
Brian Mitchell 2,187,0,Yes
Karon Coleman,183,2,Yes
Jake Plummer,183,4,Yes
Terry Allen,179,0,Yes
Frank Moreau,179,2,Yes
Rodney Thomas,175,0,Yes
Aaron Brooks,170,2,Yes
J J Johnson,168,0,Yes
Doug Flutie,161,3,Yes
Drew Bledsoe,158,6,Yes
Jerald Moore,156,0,No
Chris Fuamatu Ma Afala,149,0,Yes
Peter Warrick,148,0,Yes
Fred Beasley,147,0,Yes
Stacey Mack,145,2,Yes
Jamel White,145,0,Yes
Robert Chancey,141,0,No
Chad Morton,136,0,No
Thurman Thomas,136,1,No
Terrelle Smith,131,1,Yes
Zack Crockett,130,0,Yes
Mario Bates,127,0,No
Jon Kitna,127,11,Yes
Stoney Case,117,0,No
Peyton Manning,116,1,Yes
Anthony Johnson 3,112,0,No
Jonathan Linton,112,3,No
Elvis Grbac,110,2,Yes
Autry Denson,108,0,Yes
Brett Favre,108,3,Yes
Steve Beuerlein,106,1,No
Larry Centers,103,0,Yes
Brian Griese,102,2,Yes
Rod Smith 2,99,0,Yes
Amani Toomer,91,0,Yes
Tony Carter 2,90,0,Yes
Randall Cunningham,89,0,Yes
Michael Wiley,88,1,Yes
Bernie Parmalee,87,0,No
De Mond Parker,85,0,No
Mike Cloud,84,0,Yes
Curtis Enis,84,0,No
James Thrash,82,0,Yes
Marlon Barnes,81,1,No
Olandis Gary,80,0,Yes
Skip Hicks,78,1,Yes
Cecil Martin,77,1,Yes
Trent Dilfer,75,2,Yes
Raghib Ismail,73,1,Yes
Eddie Kennison,72,1,Yes
Paul Smith 2,72,0,Yes
Rabih Abdullah,70,0,Yes
Robert Holcombe,70,0,Yes
Trent Green,69,0,Yes
Maurice Smith 2,69,0,Yes
Doug Pederson,68,1,Yes
Moe Williams,67,0,Yes
Kerry Collins,65,2,Yes
Chris Hetherington,65,0,Yes
Gus Frerotte,64,0,Yes
Richie Anderson,63,0,Yes
Scott Mitchell,61,1,No
Chris Chandler,60,4,Yes
Brad Johnson,58,1,Yes
Patrick Pass,58,0,Yes
Tony Banks,57,1,Yes
Shyrone Stith,55,0,No
Ryan Leaf,54,8,Yes
Nicolas Luchey,54,1,No
Hines Ward,53,0,Yes
Chris Howard,52,2,No
Terry Kirby,51,0,Yes
Robert Thomas 3,51,2,Yes
Adrian Murrell,50,0,No
Sedrick Irvin,49,1,No
Wane Mcgarity,49,0,No
Troy Brown,46,0,Yes
Derrick Alexander,45,0,Yes
Greg Comella,45,0,Yes
Tim Couch,45,1,Yes
Jimmy Kleinsasser,43,0,Yes
Ray Lucas,42,0,Yes
Jason Tucker,42,0,No
Terry Glenn 2,39,0,No
Larry Izzo,39,1,No
Rob Konrad,39,0,Yes
Jermaine Lewis,38,0,Yes
Obafemi Ayanbadejo,37,0,Yes
Fred Mcafee,37,0,Yes
Raymont Harris,36,0,No
Jeff Lewis,36,0,No
Anthony Wright,36,1,Yes
Shane Matthews,35,1,Yes
William Floyd,33,0,No
Dennis Northcutt,33,0,Yes
Peerless Price,32,0,Yes
Vinny Testaverde,32,5,Yes
Curtis Conway,31,0,Yes
Larry Foster,31,1,Yes
Aaron Stecker,31,0,Yes
Brock Huard,29,0,Yes
Troy Hambrick,28,0,Yes
R Jay Soward,28,0,No
Ron Rivers,27,0,No
Kenny Bynum,26,0,No
Dexter Coakley,26,0,No
Johnnie Morton,25,0,Yes
Donnell Bennett,24,0,Yes
Jeff George,24,1,Yes
Jim Harbaugh,24,3,No
Curtis Keaton,24,0,Yes
Dan Kreider,24,0,Yes
Eric Moulds,24,0,Yes
Ernie Conwell,23,0,Yes
Dedric Ward,23,0,Yes
Daniel Pope,22,1,No
Pat Johnson,21,0,No
Bubby Brister,20,0,No
Moses Moreno,20,1,No
Bob Christian,19,0,Yes
Az Zahir Hakim,19,1,Yes
Ike Hilliard,19,0,Yes
Charles Johnson 2,18,0,No
Kurt Warner,17,2,Yes
Irving Fryar,16,0,No
William Henderson,16,0,Yes
Allen Rossum,16,0,No
David Akers,15,0,No
Laveranues Coles,15,0,Yes
Spergon Wynn,15,0,Yes
Craig Yeast,15,0,No
Amos Zereoue,14,0,Yes
Troy Aikman,13,0,No
Michael Bates,13,0,No
Ron Dixon,13,0,Yes
Lennox Gordon,13,0,No
Jacquez Green,13,0,No
Tim Brown 3,12,0,Yes
Germane Crowell,12,0,Yes
Muhsin Muhammad,12,0,No
Harold Shaw,12,0,No
Tommy Barnhardt,11,0,No
Isaac Bruce,11,0,Yes
Doug Johnson,11,0,Yes
Terrell Owens,11,1,Yes
Bill Schroeder,11,0,Yes
Hunter Smith,11,0,No
Travis Taylor,11,0,Yes
Joe Horn,10,0,Yes
David Boston,9,1,Yes
Marc Edwards,9,1,Yes
Marcus Robinson,9,0,No
Mack Strong,9,0,Yes
Koy Detmer,8,0,Yes
Tim Dwight,8,0,Yes
Joel Makovicka,8,0,Yes
Fred Mccrary,8,1,Yes
Basil Mitchell,8,1,No
Terrence Wilkins,8,0,No
Jermaine Williams,8,0,No
Champ Bailey,7,0,No
Kent Graham,7,0,Yes
Torry Holt,7,0,Yes
Reggie Brown 2,6,0,No
Trung Canidate,6,0,Yes
Tony Horne,6,0,No
Terry Jackson,6,0,Yes
Ronney Jenkins,6,0,Yes
Jonas Lewis,6,0,No
Glyn Milburn,6,0,Yes
J J Stokes,6,0,No
Brandon Stokley,6,0,Yes
Antonio Freeman,5,0,Yes
Toby Gowin,5,0,No
Keyshawn Johnson,5,0,No
Jim Miller,5,0,Yes
Randy Moss,5,0,Yes
Jon Witman,5,0,Yes
Dameyune Craig,4,0,Yes
Donald Driver,4,0,Yes
Troy Edwards,4,0,Yes
Howard Griffith,4,0,No
Clif Groce,4,0,No
Keith Lyle,4,0,No
Joe Montgomery,4,0,No
James Hodgins,3,0,Yes
Mo Lewis,3,0,No
Jerome Pathon,3,0,Yes
Cory Schlesinger,3,0,Yes
Daimon Shelton,3,0,No
Leslie Shepherd,3,0,No
Dwight Stone,3,0,No
Troy Walters,3,0,No
Chad Dukes,2,0,No
Sam Gash,2,0,Yes
Windrell Hayes,2,0,No
Amp Lee,2,0,No
Warren Moon,2,1,No
Mike Sellers,2,0,No
Bobby Engram,1,0,No
Jim Finn,1,1,No
Chris Greisen,1,0,No
Shawn Jefferson,1,0,No
Derrick Mason,1,0,No
Brian Milne,1,0,No
Tim Seder,1,0,Yes
Torrance Small,1,0,No
Dave Brown,0,1,No
Steve Christie,0,0,No
Kris Heppner,0,0,No
Travis Jervey,0,0,Yes
John Jett,0,1,Yes
Danny Kanell,0,1,No
Josh Miller,0,1,Yes
Rick Mirer,0,0,No
Chad Pennington,0,0,Yes
Chris Redman,0,0,No
Wade Richey,0,0,No
Jerald Sowell,0,0,Yes
Tai Streets,0,0,No
Kevin Thompson,0,1,No
Ken Walter,0,1,No
Michael Bishop,-1,0,No
Marty Booker,-1,0,Yes
Chris Floyd,-1,0,No
Todd Husak,-1,0,No
Darrell Jackson,-1,0,Yes
Jarious Jackson,-1,0,Yes
Lee Johnson,-1,1,Yes
Tim Rattay,-1,0,Yes
Abdul Karim Al Jabbar,-2,0,No
D Wayne Bates,-2,0,No
Bert Emanuel,-2,1,No
Herbert Goodman,-2,1,Yes
Joe Hamilton,-2,0,No
Lorenzo Neal,-2,0,Yes
Neil O Donnell,-2,0,Yes
Jonathan Quinn,-2,0,Yes
Jerry Rice,-2,1,No
Danny Wuerffel,-2,0,No
Eric Zeier,-2,0,No
Wayne Chrebet,-3,0,No
Bobby Hoying,-3,0,No
O J Mcduffie,-3,0,No
Jason Garrett,-4,0,No
Martay Jenkins,-4,0,Yes
Matt Hasselbeck,-5,0,Yes
Terance Mathis,-5,0,No
Neil Rackers,-5,0,No
