Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
A.J. Green,0.1658595641646489,0.2814009661835748,0.3798681845416417,0.3381037567084078,0.3370919881305638,0.2545454545454545,0.2978971962616822,0.2011834319526627,0.1926058437686344,0.0256410256410256,0,0.0862564692351926
A.J. Hawk,0.7797223898611949,0.8737343656938654,0.9314903846153846,0.903708133971292,0.928150765606596,0.9194915254237288,0.9082125603864736,0.908328340323547,0.9159212880143112,0.856973293768546,1,
A.J. Klein,0.5781905332534452,0.6368515205724508,0.743620178041543,0.7624633431085044,0.8008177570093458,0.8165680473372781,0.8843172331544424,0.9085081585081584,0.8815411155836688,0.7750596658711217,1,
Aaron Brewer,0.2192028985507246,0.3019772318753744,0.3780560524746571,0.3103857566765579,0.3126099706744868,0.3119158878504673,0.3520710059171598,0.3637447823494335,0.256993006993007,0.2903967797584819,0,0.198090692124105
Aaron Donald,0.7865235539654144,0.9008902077151336,0.9730205278592376,0.9871495327102804,0.9994082840236688,0.9994036970781156,0.9988344988344988,0.9988499137435308,0.997016706443914,0.9798994974874372,1,
Aaron Glenn,0.3225255972696246,0.7349397590361446,0.7906197654941374,0.8355048859934854,0.6786271450858035,0.8779411764705882,0.9142091152815014,0.9719208679004468,0.9592088998763906,0.951219512195122,0,0.8585247883917775
Aaron Smith,0.6227941176470588,0.782171581769437,0.8793873643905552,0.8813349814585909,0.9384146341463414,0.9153567110036276,0.9378394689197344,0.8648004764740918,0.8768028846153846,0.8157894736842105,0,0.7691401648998822
Aaron Stecker,0.3985294117647059,0.3827077747989276,0.5698787492022974,0.580964153275649,0.5823170731707317,0.4365175332527207,0.4484007242003621,0.4359737939249553,0.4290865384615384,0.3510765550239234,1,
Adam Jones,0.5634824667472793,0.8455039227519614,0.8469326980345444,0.8539663461538461,0.6118421052631579,0.7714958775029447,0.7124697336561744,0.7807971014492754,0.8621929298981426,0.9266547406082288,0,0.9637982195845696
Adewale Ogunleye,0.4276139410187667,0.8021697511167837,0.9548825710754018,0.9835365853658536,0.9746070133010882,0.9450814725407364,0.9767718880285884,0.974158653846154,0.9754784688995216,0.8686690223792697,1,
Adrian Clayborn,0.7802663438256658,0.7832125603864735,0.8909526662672259,0.7614788312462731,0.7964391691394659,0.7642228739002933,0.9158878504672896,0.9183431952662722,0.9212880143112702,0.8496503496503497,1,
Adrian Peterson,0.1914486279514997,0.2354758961681087,0.4908536585365853,0.5151148730350665,0.5594447797223898,0.5086360929124479,0.4877903513996426,0.40625,0.4014423076923077,0.4419856459330143,0,0.4452296819787986
Adrian Phillips,0.1848539057841383,0.6320474777448071,0.7466275659824047,0.8592289719626168,0.8887573964497042,0.8562909958258795,0.8857808857808858,0.9407705577918344,0.941527446300716,0.8624371859296482,1,
Adrian Wilson,0.7064343163538874,0.8800255264837269,0.9276885043263288,0.9670731707317072,0.975211608222491,0.9975859987929994,0.9928528886241812,0.9873798076923076,0.9563397129186604,0.9664310954063604,0,0.9394673123486684
Aeneas Williams,0.6097560975609756,0.828996282527881,0.922201138519924,0.9224952741020794,0.969283276450512,0.982788296041308,0.9932998324958124,0.9364820846905536,0.8486739469578783,0.9286764705882352,0,0.975201072386059
Ahmad Brooks,0.5481812380344607,0.5543881334981459,0.5432926829268293,0.0326481257557436,0.5570307785153893,0.6402620607504467,0.6412259615384616,0.80622009569378,0.8616018845700825,0.9243341404358354,0,0.946256038647343
Ahtyba Rubin,0.4314903846153846,0.6357655502392344,0.7767962308598351,0.8559322033898306,0.8743961352657005,0.8544038346315159,0.7972570065593322,0.7637982195845697,0.8287390029325513,0.8189252336448598,1,
Akeem Spence,0.6051527860994608,0.7304710793082886,0.7382789317507419,0.7348973607038123,0.7464953271028038,0.7857988165680473,0.7710196779964222,0.6456876456876457,0.4887866589994249,0.4498806682577566,1,
Akiem Hicks,0.5658212560386473,0.7345715997603355,0.7877161598091831,0.826112759643917,0.8950146627565982,0.9433411214953272,0.9715976331360948,0.9200954084675016,0.8898601398601399,0.7757331799884991,0,0.7673031026252983
Al Baker,0.1023102310231023,0.3773006134969325,0.8532110091743119,0.9524752475247524,0.9498069498069498,0.844731977818854,0.7647058823529411,0.7886904761904762,0.6415094339622641,0.7035647279549718,0,0.7223264540337712
Al Harris1,0.3312883435582822,0.4220183486238532,0.4811881188118811,0.3725868725868725,0.266173752310536,0.1948529411764706,0.1741071428571428,0.1792452830188679,0.2795497185741088,0.3151969981238274,0,0.2213883677298311
Al Harris2,0.5366614664586583,0.7852941176470588,0.839142091152815,0.6770899808551372,0.8226205191594561,0.8353658536585366,0.9244256348246674,0.891973445986723,0.8933889219773675,0.7692307692307693,0,0.7733253588516746
Al Woods,0.4858657243816254,0.4915254237288136,0.5241545893719807,0.5775913720790893,0.6362552176505665,0.6593471810089021,0.6486803519061584,0.6740654205607477,0.6846153846153846,0.7441860465116279,0,0.664918414918415
Alan Branch,0.4020250148898153,0.4387019230769231,0.5998803827751196,0.7432273262661955,0.7887409200968523,0.8007246376811594,0.7447573397243858,0.6714370900417412,0.7258160237388724,0.7935483870967742,0,0.7955607476635514
Alan Faneca,0.1233243967828418,0.1991065730695596,0.2484548825710754,0.1701219512195122,0.1185006045949214,0.2770066385033192,0.2596783799880881,0.2626201923076923,0.104066985645933,0.2703180212014134,1,
Albert Haynesworth,0.5583918315252074,0.6983930778739185,0.8,0.8422007255139057,0.823777911888956,0.8129839189994044,0.8966346153846154,0.9156698564593302,0.8963486454652533,0.7288135593220338,1,
Albert Lewis,0.4316831683168317,0.6312741312741312,0.9408502772643254,0.9613970588235294,0.9419642857142856,0.7075471698113207,0.6923076923076923,0.726078799249531,0.7598499061913696,0.4944237918215613,0,0.74573055028463
Aldon Smith,0.826271186440678,0.9722222222222222,0.988615937687238,0.9415623136553368,0.7839762611275964,0.6879765395894428,0.615070093457944,0.0343195266272189,0.0363744782349433,0.7371794871794872,1,
Alex Brown,0.6751754945756222,0.8436341161928307,0.9445121951219512,0.9582829504232164,0.9643934821967411,0.9708159618820726,0.9681490384615384,0.937200956937799,0.9104829210836278,0.8044794188861986,0,0.6630434782608695
Alex Lewis,0.6792682926829269,0.6831922611850061,0.7223898611949306,0.620011911852293,0.6712740384615384,0.6100478468899522,0.552414605418139,0.0405569007263922,0.0440821256038647,0.0437387657279808,0,0.0429338103756708
Alex Mack,0.0873205741626794,0.2979976442873969,0.3093220338983051,0.3641304347826087,0.2648292390653086,0.1890280262373285,0.1643916913946587,0.1888563049853372,0.1536214953271028,0.2130177514792899,0,0.2164579606440071
Alex Smith,0.2357920193470374,0.3156306578153289,0.3633071816535908,0.2840976771888028,0.3509615384615384,0.3427033492822967,0.3386336866902238,0.1937046004842615,0.2052058111380145,0.1817632850241546,0,0.1791491911324146
Allen Bailey,0.5326876513317191,0.5917874396135265,0.6662672258837627,0.7346451997614788,0.8415430267062315,0.827565982404692,0.8095794392523364,0.8591715976331361,0.8729874776386404,0.8688811188811189,1,
Allen Robinson,0.1806797853309481,0.2362017804154302,0.2797653958944281,0.1536214953271028,0.144378698224852,0.1502683363148479,0.2243589743589743,0.2593444508338125,0.2106205250596658,0.2462311557788944,1,
Allen Rossum,0.1726384364820846,0.1747269890795632,0.5933823529411765,0.4939678284182305,0.5328653477983408,0.4820766378244747,0.6408536585365854,0.6457073760580411,0.6686783343391671,0.5634306134603931,0,0.5390625
Alonzo Spellman,0.1431226765799256,0.3130929791271347,0.6294896030245747,0.8600682593856656,0.9173838209982788,0.8157453936348409,0.511400651465798,0.3712948517940718,0.7397058823529412,0.7714477211796247,1,
Andra Davis,0.559029993618379,0.7824474660074165,0.8804878048780488,0.9534461910519952,0.9432709716354858,0.9178082191780822,0.8569711538461539,0.8594497607655502,0.8639575971731449,0.7953995157384988,1,
Andre Gurode,0.1914486279514997,0.1915945611866502,0.1701219512195122,0.0326481257557436,0.0325890162945081,0.1620011911852293,0.2439903846153846,0.305622009569378,0.2756183745583039,0.1186440677966101,0,0.0513285024154589
Andre Johnson,0.3182941903584672,0.3841463414634146,0.4081015719467956,0.4073627036813518,0.3907087552114354,0.4044471153846153,0.3947368421052631,0.3828032979976443,0.3371670702179177,0.3079710144927536,0,0.414619532654284
Andre Smith,0.1472320376914016,0.2433414043583535,0.4975845410628019,0.5050928699820252,0.4865831842576029,0.2189910979228486,0.1196480938416422,0.1226635514018691,0.1816568047337278,0.2331360946745562,0,0.2033392963625521
Andre Tippett,0.5188118811881188,0.803088803088803,0.9796672828096118,0.9871323529411764,0.9836309523809524,0.9245283018867924,0.7654784240150094,0.50093808630394,0.7073170731707317,0.8866171003717472,0,0.935483870967742
Andre' Goodman,0.591576260370134,0.6124845488257108,0.6621951219512195,0.7194679564691656,0.7513578756789379,0.7808219178082192,0.8293269230769231,0.9043062200956936,0.8816254416961131,0.8516949152542372,1,
