Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Retire,NextPercentile
A.J. Green,0.1658595641646489,0.2814009661835748,0.3798681845416417,0.3381037567084078,0.3370919881305638,0.2545454545454545,0.2978971962616822,0.2011834319526627,0.1926058437686344,0.0256410256410256,0.0862564692351926,0,0.1385853939045428
Aaron Brewer,0.2192028985507246,0.3019772318753744,0.3780560524746571,0.3103857566765579,0.3126099706744868,0.3119158878504673,0.3520710059171598,0.3637447823494335,0.256993006993007,0.2903967797584819,0.198090692124105,0,0.2416467780429594
Aaron Glenn,0.3225255972696246,0.7349397590361446,0.7906197654941374,0.8355048859934854,0.6786271450858035,0.8779411764705882,0.9142091152815014,0.9719208679004468,0.9592088998763906,0.951219512195122,0.8585247883917775,0,0.8575739287869644
Aaron Smith,0.6227941176470588,0.782171581769437,0.8793873643905552,0.8813349814585909,0.9384146341463414,0.9153567110036276,0.9378394689197344,0.8648004764740918,0.8768028846153846,0.8157894736842105,0.7691401648998822,0,0.5938256658595642
Adam Jones,0.5634824667472793,0.8455039227519614,0.8469326980345444,0.8539663461538461,0.6118421052631579,0.7714958775029447,0.7124697336561744,0.7807971014492754,0.8621929298981426,0.9266547406082288,0.9637982195845696,0,0.920234604105572
Adrian Peterson,0.1914486279514997,0.2354758961681087,0.4908536585365853,0.5151148730350665,0.5594447797223898,0.5086360929124479,0.4877903513996426,0.40625,0.4014423076923077,0.4419856459330143,0.4452296819787986,0,0.4267554479418886
Adrian Wilson,0.7064343163538874,0.8800255264837269,0.9276885043263288,0.9670731707317072,0.975211608222491,0.9975859987929994,0.9928528886241812,0.9873798076923076,0.9563397129186604,0.9664310954063604,0.9394673123486684,0,0.8961352657004831
Aeneas Williams,0.6097560975609756,0.828996282527881,0.922201138519924,0.9224952741020794,0.969283276450512,0.982788296041308,0.9932998324958124,0.9364820846905536,0.8486739469578783,0.9286764705882352,0.975201072386059,0,0.9725590299936184
Ahmad Brooks,0.5481812380344607,0.5543881334981459,0.5432926829268293,0.0326481257557436,0.5570307785153893,0.6402620607504467,0.6412259615384616,0.80622009569378,0.8616018845700825,0.9243341404358354,0.946256038647343,0,0.9652486518873576
Akiem Hicks,0.5658212560386473,0.7345715997603355,0.7877161598091831,0.826112759643917,0.8950146627565982,0.9433411214953272,0.9715976331360948,0.9200954084675016,0.8898601398601399,0.7757331799884991,0.7673031026252983,1,
Al Baker,0.1023102310231023,0.3773006134969325,0.8532110091743119,0.9524752475247524,0.9498069498069498,0.844731977818854,0.7647058823529411,0.7886904761904762,0.6415094339622641,0.7035647279549718,0.7223264540337712,1,
Al Harris1,0.3312883435582822,0.4220183486238532,0.4811881188118811,0.3725868725868725,0.266173752310536,0.1948529411764706,0.1741071428571428,0.1792452830188679,0.2795497185741088,0.3151969981238274,0.2213883677298311,1,
