Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
A.J. Bouye,0.1677651288196525,0.7954680977936792,0.8356083086053413,0.8920821114369502,0.9024532710280374,0.9011834319526628,0,0.9093619558735838
A.J. Cann,0.3090909090909091,0.2996495327102804,0.3384615384615385,0.2015503875968992,0.2599067599067599,0.2001150086256469,0,0.2028639618138424
A.J. Green,0.1658595641646489,0.2814009661835748,0.3798681845416417,0.3381037567084078,0.3370919881305638,0.2545454545454545,0,0.2978971962616822
A.J. Hawk,0.7797223898611949,0.8737343656938654,0.9314903846153846,0.903708133971292,0.928150765606596,0.9194915254237288,0,0.9082125603864736
A.J. Klein,0.5781905332534452,0.6368515205724508,0.743620178041543,0.7624633431085044,0.8008177570093458,0.8165680473372781,0,0.8843172331544424
Aaron Beasley,0.2719449225473322,0.3919597989949748,0.744299674267101,0.9407176287051482,0.9941176470588236,0.9765415549597856,0,0.8998085513720485
Aaron Brewer,0.2192028985507246,0.3019772318753744,0.3780560524746571,0.3103857566765579,0.3126099706744868,0.3119158878504673,0,0.3520710059171598
Aaron Brooks,0.175,0.0509383378016085,0.169751116783663,0.2354758961681087,0.325609756097561,0.3349455864570738,0,0.3494266747133374
Aaron Brown~,0.6277372262773723,0.5229885057471264,0.5175879396984925,0.0245098039215686,0.0179372197309417,0.0165975103734439,0,0.0275590551181102
Aaron Colvin,0.5002981514609421,0.7044510385756677,0.7589442815249267,0.7727803738317757,0.665680473372781,0.6356589147286822,1,
Aaron Donald,0.7865235539654144,0.9008902077151336,0.9730205278592376,0.9871495327102804,0.9994082840236688,0.9994036970781156,0,0.9988344988344988
Aaron Francisco,0.3875453446191052,0.6825588412794207,0.7212626563430613,0.7662259615384616,0.6698564593301436,0.7567726737338045,1,
Aaron Glenn,0.3225255972696246,0.7349397590361446,0.7906197654941374,0.8355048859934854,0.6786271450858035,0.8779411764705882,0,0.9142091152815014
Aaron Jones~,0.0433962264150943,0.0956848030018761,0.2401500938086304,0.2551594746716698,0.2323420074349442,0.1973434535104364,0,0.2892249527410208
Aaron Kampman,0.5443522654754308,0.7478368355995055,0.8585365853658536,0.9480048367593712,0.9812914906457452,0.9904705181655749,0,0.9879807692307692
Aaron Kyle,0.1456692913385826,0.4485294117647059,0.5261324041811847,0.4917491749174917,0.6840490797546013,0.8555045871559633,1,
Aaron Lynch,0.6517590936195587,0.7673590504451039,0.807624633431085,0.7622663551401869,0.7218934911242604,0.7107930828861061,0,0.6923076923076923
Aaron Rodgers,0.125,0.2033492822966507,0.2208480565371024,0.059322033898305,0.0440821256038647,0.0437387657279808,0,0.1282051282051282
Aaron Ross,0.7450863609291245,0.8635817307692307,0.8797846889952153,0.800942285041225,0.7814769975786925,0.8079710144927537,0,0.8034751348112642
Aaron Schobel,0.6682305630026809,0.8162093171665603,0.9449938195302844,0.9871951219512196,0.9933494558645708,0.995775497887749,0,0.9922572960095296
Aaron Shea,0.175,0.3974530831099195,0.4173580089342693,0.4332509270704573,0.375609756097561,0.3706166868198307,1,
Aaron Smith,0.6227941176470588,0.782171581769437,0.8793873643905552,0.8813349814585909,0.9384146341463414,0.9153567110036276,0,0.9378394689197344
Aaron Stecker,0.3985294117647059,0.3827077747989276,0.5698787492022974,0.580964153275649,0.5823170731707317,0.4365175332527207,0,0.4484007242003621
Aaron Wallace~,0.24765478424015,0.3208255159474671,0.3643122676579926,0.2030360531309298,0.2230623818525519,0.2218430034129692,1,
Aaron Williams,0.62409200968523,0.6733091787439613,0.8573996405032954,0.8831246273106739,0.8902077151335311,0.8134897360703812,1,
Abram Elam,0.5328907664453832,0.646813579511614,0.8743990384615384,0.9210526315789472,0.9764428739693758,0.927360774818402,0,0.8858695652173914
Abry Jones,0.4685440383463151,0.6791890280262374,0.7620178041543026,0.7947214076246334,0.7844626168224299,0.729585798816568,0,0.7686344663088849
Adalius Thomas,0.7285522788203753,0.8832163369495852,0.9289245982694684,0.9689024390243902,0.9921402660217654,0.9987929993964996,0,0.9994044073853484
Adam Archuleta,0.6628686327077749,0.8098276962348436,0.9264524103831892,0.9542682926829268,0.9673518742442564,0.9112854556427278,0,0.8862418106015485
Adam Carriker,0.5955926146515783,0.6502403846153846,0.6447368421052632,0.6643109540636042,0.7294188861985472,0.7415458937198067,1,
Adam Goldberg,0.1506097560975609,0.2563482466747279,0.2957151478575739,0.2346634901727218,0.3251201923076923,0.3427033492822967,0,0.3162544169611307
Adam Hayward,0.4544371649791542,0.5078125,0.5747607655502392,0.6590106007067138,0.6658595641646489,0.6853864734299517,0,0.6369083283403235
Adam Humphries,0.2522255192878338,0.2563049853372434,0.5514018691588785,0.5473372781065089,0.5366726296958855,0.1491841491841491,0,0.1897642323174238
Adam Jones,0.5634824667472793,0.8455039227519614,0.8469326980345444,0.8539663461538461,0.6118421052631579,0.7714958775029447,0,0.7124697336561744
Adam Podlesh,0.2722355769230769,0.2942583732057416,0.3115429917550059,0.1658595641646489,0.2391304347826087,0.2917914919113241,1,
Adam Snyder,0.0918984280532043,0.048280024140012,0.1274568195354377,0.1033653846153846,0.5095693779904307,0.516489988221437,0,0.5042372881355932
Adam Timmerman,0.175,0.0509383378016085,0.1001914486279515,0.1915945611866502,0.1701219512195122,0.507255139056832,0,0.5105612552806277
Adam Treu,0.3911764705882353,0.3579088471849866,0.4582003828972559,0.4474660074165636,0.4560975609756098,0.3615477629987908,0,0.3524441762220881
Adam Vinatieri,0.3235294117647059,0.3847184986595174,0.3899170389278877,0.3794808405438813,0.2859756097560975,0.2678355501813785,0,0.3777911888955944
Adarius Taylor,0.5635062611806798,0.5554896142433234,0.5994134897360703,0.7061915887850467,0.8195266272189349,0.8121645796064401,0,0.7301864801864801
