Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Retire,NextPercentile
Adam Vinatieri,0.1212121212121212,0.2857142857142857,1.0,0.9487179487179488,0.6666666666666666,0.6097560975609756,0.8444444444444444,0.8095238095238095,0.7619047619047619,0.5555555555555556,0.4473684210526316,0.35,0.4146341463414634,0.3720930232558139,0.5227272727272727,0.4473684210526316,0.7777777777777778,0.8285714285714286,0.8333333333333334,0,0.9230769230769232
Eddie Murray,0.1470588235294117,0.3333333333333333,0.9736842105263158,1.0,0.9142857142857144,0.9487179487179488,0.8717948717948718,0.9333333333333332,0.8717948717948718,0.9722222222222222,0.9375,0.7878787878787878,0.40625,0.7333333333333333,0.696969696969697,0.6388888888888888,0.2424242424242424,0.2285714285714285,0.1351351351351351,0,0.2307692307692307
Gary Anderson,0.2631578947368421,0.4285714285714285,0.8571428571428571,0.8974358974358975,0.6666666666666666,0.9166666666666666,0.9230769230769232,0.8888888888888888,0.8125,0.6060606060606061,0.65625,0.5666666666666667,0.5757575757575758,0.4722222222222222,0.4848484848484848,0.4571428571428571,0.945945945945946,0.8205128205128205,0.9761904761904762,0,0.6585365853658537
Jason Hanson,0.15625,0.2333333333333333,0.6060606060606061,0.7222222222222222,0.6060606060606061,0.8571428571428571,0.5945945945945946,0.8974358974358975,0.7857142857142857,0.7073170731707317,0.7555555555555555,0.7380952380952381,0.8333333333333334,0.7777777777777778,0.9210526315789472,0.925,1.0,0.9767441860465116,0.9090909090909092,0,0.7105263157894737
John Carney,0.0512820512820512,0.0,0.125,0.2424242424242424,0.71875,0.8,0.9696969696969696,0.9444444444444444,1.0,0.6285714285714286,0.8648648648648649,0.7435897435897436,0.9047619047619048,0.951219512195122,0.8666666666666667,0.8809523809523809,0.7142857142857143,0.7555555555555555,0.6578947368421053,0,0.45
John Kasay,0.1818181818181818,0.21875,0.5333333333333333,0.4848484848484848,0.8333333333333334,0.9696969696969696,0.9714285714285714,0.8378378378378378,0.7692307692307693,0.3571428571428571,0.4146341463414634,0.2888888888888888,0.3809523809523809,0.3333333333333333,0.7333333333333333,0.7105263157894737,0.775,0.902439024390244,0.6046511627906976,0,0.8181818181818182
Matt Stover,0.1515151515151515,0.25,0.5,0.5454545454545454,0.4444444444444444,0.7272727272727273,0.5714285714285714,0.4864864864864865,0.5384615384615384,0.6904761904761905,0.975609756097561,0.9777777777777776,0.9047619047619048,0.9047619047619048,0.9333333333333332,0.9736842105263158,0.95,0.7804878048780488,0.5813953488372093,1,
Morten Andersen,0.1052631578947368,0.3714285714285714,0.6,1.0,1.0,1.0,0.9743589743589745,0.8055555555555556,0.875,0.8484848484848485,0.96875,0.8666666666666667,0.8787878787878788,0.8611111111111112,0.7878787878787878,0.8857142857142857,0.8108108108108109,0.6410256410256411,0.7380952380952381,0,0.8536585365853658
Nick Lowery,0.09375,0.027027027027027,0.1764705882352941,0.3636363636363636,1.0,0.9714285714285714,1.0,0.9743589743589745,0.7948717948717948,0.95,1.0,1.0,1.0,0.8787878787878788,0.90625,0.9333333333333332,0.9393939393939394,0.8055555555555556,0.3636363636363636,1,
Phil Dawson,0.1025641025641025,0.3095238095238095,0.4634146341463415,0.6888888888888889,0.8333333333333334,0.8571428571428571,0.8222222222222222,0.8421052631578947,0.825,0.8048780487804879,0.8837209302325582,0.7727272727272727,0.6842105263157895,0.5277777777777778,0.6857142857142857,0.8055555555555556,0.8974358974358975,0.6666666666666666,0.6136363636363636,0,0.4285714285714285
Sebastian Janikowski,0.0952380952380952,0.3414634146341463,0.5333333333333333,0.7142857142857143,0.6666666666666666,0.5777777777777777,0.5,0.65,0.926829268292683,0.9534883720930232,0.9318181818181818,0.8947368421052632,0.9722222222222222,0.8,0.6388888888888888,0.4358974358974359,0.5277777777777778,0.3181818181818182,0.3095238095238095,1,
