Player,Year1,Year2,Year3,Retire,NextPercentile
Aaron Elling,0.1428571428571428,0.2142857142857142,0.2888888888888888,1,
Adam Vinatieri,0.1212121212121212,0.2857142857142857,1.0,0,0.9487179487179488
Al Del Greco,0.1428571428571428,0.4102564102564102,0.5897435897435898,0,0.6666666666666666
Aldrick Rosas,0.1590909090909091,0.3571428571428571,0.6666666666666666,0,0.7346938775510204
Alex Henery,0.1052631578947368,0.1944444444444444,0.8571428571428571,0,0.2777777777777778
Ali Haji-Sheikh,0.1714285714285714,0.3142857142857143,0.5641025641025641,0,0.5128205128205128
Benny Ricardo,0.1481481481481481,0.1935483870967742,0.3125,0,0.4324324324324324
Bill Bell,0.3333333333333333,0.3888888888888889,0.5,1,
Bill Capece,0.1818181818181818,0.4736842105263157,0.7714285714285715,1,
Bill Gramatica,0.1463414634146341,0.3555555555555555,0.4047619047619047,0,0.3095238095238095
Bill McClard,0.1666666666666666,0.3636363636363636,0.75,0,0.6956521739130435
Billy Cundiff,0.1555555555555555,0.2857142857142857,0.5714285714285714,0,0.4888888888888889
Blair Walsh,0.1111111111111111,0.2,0.75,0,0.717948717948718
Bob Thomas,0.2608695652173913,0.4444444444444444,0.7741935483870968,0,0.8125
Bobby Howfield,0.7692307692307693,0.5555555555555556,0.6666666666666666,0,0.5909090909090909
Brad Daluiso,0.0303030303030303,0.0625,0.1333333333333333,0,0.2121212121212121
Brett Conway,0.1282051282051282,0.3333333333333333,0.5121951219512195,0,0.5777777777777777
Brett Maher,0.1428571428571428,0.2619047619047619,0.3061224489795918,0,0.38
Caleb Sturgis,0.0857142857142857,0.1666666666666666,0.4871794871794871,0,0.5555555555555556
Cary Blanchard,0.09375,0.2,0.1818181818181818,0,0.25
Chandler Catanzaro,0.1111111111111111,0.3333333333333333,0.6111111111111112,0,0.7045454545454546
Chester Marcol,0.2222222222222222,0.4090909090909091,0.8333333333333334,0,0.6521739130434783
Chip Lohmiller,0.2307692307692307,0.3055555555555556,0.6875,0,0.8181818181818182
Chris Bahr,0.1851851851851851,0.3548387096774194,0.9375,0,0.918918918918919
Chris Boniol,0.1212121212121212,0.2777777777777778,0.7575757575757576,0,0.6857142857142857
Chris Jacke,0.1666666666666666,0.25,0.9696969696969696,0,0.84375
Chuck Nelson,0.1142857142857142,0.2285714285714285,0.3333333333333333,0,0.3333333333333333
Cody Parkey,0.1388888888888889,0.2564102564102564,0.2777777777777778,0,0.3863636363636363
Cole Ford,0.1111111111111111,0.1818181818181818,0.4285714285714285,1,
Connor Barth,0.1219512195121951,0.2093023255813953,0.3409090909090909,0,0.5789473684210527
Craig Hentrich,0.0555555555555555,0.0,0.0571428571428571,0,0.027027027027027
Dan Bailey,0.0789473684210526,0.2222222222222222,0.9142857142857144,0,0.9444444444444444
Dan Carpenter,0.1707317073170731,0.3023255813953488,0.7954545454545454,0,0.9210526315789472
Dave Green,0.0434782608695652,0.2962962962962963,0.4193548387096774,0,0.40625
Dave Jacobs,0.081081081081081,0.0588235294117647,0.2121212121212121,0,0.0263157894736842
Dave Rayner,0.0222222222222222,0.0526315789473684,0.25,0,0.3414634146341463
David Akers,0.081081081081081,0.2051282051282051,0.4047619047619047,0,0.5853658536585366
David Ray,0.8461538461538461,0.7777777777777778,0.7777777777777778,0,0.7727272727272727
David Treadwell,0.1111111111111111,0.1875,0.3333333333333333,0,0.3125
David Trout,0.1212121212121212,0.1578947368421052,0.1428571428571428,0,0.0285714285714285
Dean Biasucci,0.1142857142857142,0.1794871794871795,0.3076923076923077,0,0.5833333333333334
Dennis Partee,0.5,0.5555555555555556,0.6363636363636364,0,0.5833333333333334
Donald Igwebuike,0.2051282051282051,0.358974358974359,0.7333333333333333,0,0.7692307692307693
Doug Brien,0.0909090909090909,0.2222222222222222,0.5454545454545454,0,0.7714285714285715
Doug Pelfrey,0.0333333333333333,0.303030303030303,0.7777777777777778,0,0.696969696969697
Eddie Murray,0.1470588235294117,0.3333333333333333,0.9736842105263158,0,1.0
Efren Herrera,0.2083333333333333,0.1304347826086956,0.4814814814814814,0,0.4838709677419355
Eric Schubert,0.1538461538461538,0.2564102564102564,0.6166666666666667,1,
Florian Kempf,0.0789473684210526,0.3142857142857143,0.4,0,0.3846153846153846
Frank Corral,0.21875,0.4594594594594595,0.6764705882352942,0,0.4242424242424242
Fred Steinfort,0.1111111111111111,0.3225806451612903,0.4375,0,0.3513513513513513
Fuad Reveiz,0.282051282051282,0.3846153846153846,0.75,0,0.4871794871794871
Garrett Hartley,0.1463414634146341,0.2558139534883721,0.4545454545454545,0,0.1842105263157894
Gary Anderson,0.2631578947368421,0.4285714285714285,0.8571428571428571,0,0.8974358974358975
George Hunt,0.1363636363636363,0.125,0.3043478260869565,1,
Greg Davis,0.4,0.3333333333333333,0.6388888888888888,0,0.84375
Happy Feller,0.2777777777777778,0.3333333333333333,0.4545454545454545,1,
Horst Muhlmann,1.0,1.0,1.0,0,1.0
Jan Stenerud,0.9230769230769232,0.9444444444444444,0.9444444444444444,0,0.9090909090909092
Jaret Holmes,0.0256410256410256,0.2619047619047619,0.3658536585365853,1,
Jason Elam,0.1,0.2727272727272727,0.9722222222222222,0,0.9393939393939394
Jason Hanson,0.15625,0.2333333333333333,0.6060606060606061,0,0.7222222222222222
Jason Staurovsky,0.0833333333333333,0.282051282051282,0.3611111111111111,0,0.625
Jay Feely,0.1951219512195122,0.4,0.8571428571428571,0,0.7380952380952381
