Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Retire,NextPercentile
Adam Vinatieri,0.1212121212121212,0.2857142857142857,1.0,0.9487179487179488,0.6666666666666666,0.6097560975609756,0.8444444444444444,0.8095238095238095,0,0.7619047619047619
Al Del Greco,0.1428571428571428,0.4102564102564102,0.5897435897435898,0.6666666666666666,0.5128205128205128,0.4444444444444444,0.4375,0.6363636363636364,0,0.75
Benny Ricardo,0.1481481481481481,0.1935483870967742,0.3125,0.4324324324324324,0.5882352941176471,0.3939393939393939,0.3421052631578947,0.3428571428571428,0,0.2857142857142857
Billy Cundiff,0.1555555555555555,0.2857142857142857,0.5714285714285714,0.4888888888888889,0.2105263157894736,0.1,0.024390243902439,0.1395348837209302,0,0.2727272727272727
Bob Thomas,0.2608695652173913,0.4444444444444444,0.7741935483870968,0.8125,0.7567567567567568,0.7058823529411765,0.4545454545454545,0.5789473684210527,0,0.5428571428571428
Brad Daluiso,0.0303030303030303,0.0625,0.1333333333333333,0.2121212121212121,0.4166666666666667,0.8787878787878788,0.4857142857142857,0.5405405405405406,0,0.4358974358974359
Cary Blanchard,0.09375,0.2,0.1818181818181818,0.25,0.303030303030303,1.0,0.7027027027027027,0.4615384615384615,0,0.4761904761904761
Chester Marcol,0.2222222222222222,0.4090909090909091,0.8333333333333334,0.6521739130434783,0.6666666666666666,0.5161290322580645,0.625,0.6756756756756757,0,0.4411764705882353
Chip Lohmiller,0.2307692307692307,0.3055555555555556,0.6875,0.8181818181818182,0.9375,0.7666666666666667,0.6666666666666666,0.3611111111111111,0,0.4545454545454545
Chris Bahr,0.1851851851851851,0.3548387096774194,0.9375,0.918918918918919,0.8529411764705882,0.6363636363636364,0.5526315789473685,0.6285714285714286,0,0.7142857142857143
Chris Jacke,0.1666666666666666,0.25,0.9696969696969696,0.84375,0.8333333333333334,0.7575757575757576,0.5277777777777778,0.5757575757575758,0,0.3142857142857143
Cody Parkey,0.1388888888888889,0.2564102564102564,0.2777777777777778,0.3863636363636363,0.5238095238095238,0.4761904761904761,0.5918367346938775,0.42,1,
Connor Barth,0.1219512195121951,0.2093023255813953,0.3409090909090909,0.5789473684210527,0.9166666666666666,0.2285714285714285,0.1944444444444444,0.282051282051282,0,0.3055555555555556
Craig Hentrich,0.0555555555555555,0.0,0.0571428571428571,0.027027027027027,0.0,0.0,0.024390243902439,0.0444444444444444,0,0.119047619047619
Dan Bailey,0.0789473684210526,0.2222222222222222,0.9142857142857144,0.9444444444444444,0.8717948717948718,0.8611111111111112,0.6590909090909091,0.6428571428571429,0,0.5238095238095238
Dan Carpenter,0.1707317073170731,0.3023255813953488,0.7954545454545454,0.9210526315789472,0.6944444444444444,0.7428571428571429,0.7777777777777778,0.8461538461538461,0,0.7222222222222222
Dave Jacobs,0.081081081081081,0.0588235294117647,0.2121212121212121,0.0263157894736842,0.0857142857142857,0.0285714285714285,0.0256410256410256,0.0256410256410256,0,0.1666666666666666
David Akers,0.081081081081081,0.2051282051282051,0.4047619047619047,0.5853658536585366,0.9555555555555556,0.9285714285714286,0.9761904761904762,0.9777777777777776,0,1.0
Dean Biasucci,0.1142857142857142,0.1794871794871795,0.3076923076923077,0.5833333333333334,0.8461538461538461,0.9444444444444444,0.96875,0.6666666666666666,0,0.34375
Doug Brien,0.0909090909090909,0.2222222222222222,0.5454545454545454,0.7714285714285715,0.972972972972973,0.9743589743589745,1.0,0.7317073170731707,0,0.4666666666666667
Eddie Murray,0.1470588235294117,0.3333333333333333,0.9736842105263158,1.0,0.9142857142857144,0.9487179487179488,0.8717948717948718,0.9333333333333332,0,0.8717948717948718
Efren Herrera,0.2083333333333333,0.1304347826086956,0.4814814814814814,0.4838709677419355,1.0,0.945945945945946,0.8823529411764706,0.9393939393939394,0,0.7631578947368421
Fred Steinfort,0.1111111111111111,0.3225806451612903,0.4375,0.3513513513513513,0.3235294117647059,0.303030303030303,0.3947368421052631,0.2571428571428571,1,
Fuad Reveiz,0.282051282051282,0.3846153846153846,0.75,0.4871794871794871,0.2777777777777778,0.15625,0.2121212121212121,0.59375,0,0.6333333333333333
