Player,Year1,Year2,Year3,Retire,NextPercentile
A J Feeley,0.2926829268292683,0.4216867469879518,0.4216867469879518,0,0.2705882352941176
Aaron Brooks,0.3111111111111111,0.5487804878048781,0.8554216867469879,0,0.9036144578313252
Akili Smith,0.0786516853932584,0.2333333333333333,0.4390243902439024,0,0.4096385542168674
Al Woodall,0.8275862068965517,0.8333333333333334,0.5384615384615384,0,0.5384615384615384
Alan Risher,0.0975609756097561,0.1058823529411764,0.484375,1,
Alex Smith,0.0459770114942528,0.3258426966292135,0.4787234042553192,0,0.4444444444444444
Alex Tanney,0.1232876712328767,0.2083333333333333,0.1917808219178082,0,0.0294117647058823
Alex Van Pelt,0.1931818181818181,0.2777777777777778,0.4333333333333333,0,0.2022471910112359
Andre Ware,0.0886075949367088,0.0789473684210526,0.2875,0,0.3164556962025316
Andrew Luck,0.2702702702702703,0.6142857142857143,0.9594594594594594,0,0.9452054794520548
Andrew Walter,0.0,0.1382978723404255,0.2222222222222222,1,
Anthony Wright,0.1,0.2195121951219512,0.2650602409638554,0,0.2409638554216867
Archie Manning,0.1333333333333333,0.5641025641025641,0.7948717948717948,0,0.903846153846154
Art Schlichter,0.1267605633802817,0.0987654320987654,0.3095238095238095,0,0.2682926829268293
Austin Davis,0.1486486486486486,0.2054794520547945,0.2916666666666667,0,0.1095890410958904
Babe Laufenberg,0.0470588235294117,0.0853658536585365,0.1392405063291139,1,
Ben Roethlisberger,0.3176470588235294,0.7586206896551724,0.8764044943820225,0,0.925531914893617
Bernie Kosar,0.1951219512195122,0.5176470588235295,0.9609375,0,0.9529411764705882
Bert Jones,0.1025641025641025,0.4807692307692308,0.7884615384615384,0,0.9827586206896552
Bill Cappleman,0.6206896551724138,0.2,0.2564102564102564,0,0.0769230769230769
Bill Kenney,0.2898550724637681,0.5492957746478874,0.7464788732394366,0,0.9012345679012346
Bill Musgrave,0.2368421052631578,0.2375,0.1772151898734177,0,0.0123456790123456
Bill Troup,0.1206896551724138,0.1587301587301587,0.4,0,0.0923076923076923
Billy Joe Hobert,0.2272727272727272,0.4777777777777778,0.6555555555555556,0,0.6292134831460674
Billy Joe Tolliver,0.073170731707317,0.3544303797468354,0.5526315789473685,0,0.6
Billy Volek,0.0121951219512195,0.0240963855421686,0.253012048192771,0,0.611764705882353
Blair Kiel,0.2941176470588235,0.640625,0.4823529411764706,0,0.1707317073170731
Blake Bortles,0.081081081081081,0.3287671232876712,0.6388888888888888,0,0.7945205479452054
Bob Avellini,0.1346153846153846,0.3793103448275862,0.7936507936507936,0,0.7692307692307693
Bob Davis,0.3448275862068966,0.7333333333333333,0.7692307692307693,0,0.5641025641025641
Bob Gagliano,0.1971830985915492,0.1975308641975308,0.2023809523809523,0,0.0609756097560975
Bob Griese,0.8620689655172413,0.9666666666666668,0.9487179487179488,0,0.9743589743589745
Bob Holly,0.1604938271604938,0.1666666666666666,0.3902439024390244,1,
Bobby Hebert,0.2439024390243902,0.4235294117647059,0.84375,0,0.8117647058823529
