Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
A J Feeley,0.2926829268292683,0.4216867469879518,0.4216867469879518,0.2705882352941176,0.0919540229885057,0.449438202247191,0.5212765957446809,0.5666666666666667,0.216867469879518,0,0.0232558139534883
Alex Smith,0.0459770114942528,0.3258426966292135,0.4787234042553192,0.4444444444444444,0.5060240963855421,0.6162790697674418,0.85,0.7972972972972973,0.8285714285714286,0,0.8243243243243243
Alex Van Pelt,0.1931818181818181,0.2777777777777778,0.4333333333333333,0.2022471910112359,0.4044943820224719,0.5555555555555556,0.8170731707317073,0.6867469879518072,0.4819277108433735,1,
Archie Manning,0.1333333333333333,0.5641025641025641,0.7948717948717948,0.903846153846154,0.7307692307692307,0.293103448275862,0.3968253968253968,0.7538461538461538,0.9384615384615383,0,0.9710144927536232
Ben Roethlisberger,0.3176470588235294,0.7586206896551724,0.8764044943820225,0.925531914893617,0.7888888888888889,0.8433734939759037,0.8604651162790697,0.9125,0.918918918918919,0,0.8714285714285714
Bernie Kosar,0.1951219512195122,0.5176470588235295,0.9609375,0.9529411764705882,0.9390243902439024,0.8354430379746836,0.8421052631578947,0.775,0.7848101265822784,0,0.691358024691358
Bert Jones,0.1025641025641025,0.4807692307692308,0.7884615384615384,0.9827586206896552,1.0,1.0,0.9230769230769232,0.8260869565217391,0.7464788732394366,0,0.7605633802816901
Bill Kenney,0.2898550724637681,0.5492957746478874,0.7464788732394366,0.9012345679012346,0.8928571428571429,0.926829268292683,0.8,0.890625,0.6470588235294118,1,
Billy Joe Tolliver,0.073170731707317,0.3544303797468354,0.5526315789473685,0.6,0.5443037974683544,0.5925925925925926,0.4090909090909091,0.1444444444444444,0.1666666666666666,0,0.4044943820224719
Billy Volek,0.0121951219512195,0.0240963855421686,0.253012048192771,0.611764705882353,0.8275862068965517,0.651685393258427,0.2765957446808511,0.0555555555555555,0.2048192771084337,0,0.5813953488372093
Bob Avellini,0.1346153846153846,0.3793103448275862,0.7936507936507936,0.7692307692307693,0.7076923076923077,0.463768115942029,0.2676056338028169,0.2676056338028169,0.2839506172839506,0,0.25
Bob Gagliano,0.1971830985915492,0.1975308641975308,0.2023809523809523,0.0609756097560975,0.0705882352941176,0.40625,0.1411764705882353,0.4512195121951219,0.4177215189873418,0,0.4605263157894737
Bob Griese,0.8620689655172413,0.9666666666666668,0.9487179487179488,0.9743589743589745,0.9615384615384616,0.9807692307692308,0.913793103448276,0.9523809523809524,0.9384615384615383,0,0.8615384615384616
Bobby Hebert,0.2439024390243902,0.4235294117647059,0.84375,0.8117647058823529,0.8658536585365854,0.6455696202531646,0.5657894736842105,0.6875,0.9113924050632912,0,0.8641975308641975
Bobby Scott,0.1282051282051282,0.4038461538461538,0.4615384615384615,0.5344827586206896,0.6349206349206349,0.6461538461538462,0.6307692307692307,0.6521739130434783,0.4647887323943662,1,
Boomer Esiason,0.1904761904761904,0.5609756097560976,0.9411764705882352,0.9765625,0.9882352941176472,0.9878048780487804,0.9620253164556962,0.9078947368421052,0.675,0,0.7215189873417721
Brad Johnson,0.1358024691358024,0.2840909090909091,0.6555555555555556,0.8333333333333334,0.9101123595505618,0.9662921348314608,0.9222222222222224,0.926829268292683,0.927710843373494,0,0.9397590361445785
Brett Favre,0.0,0.3,0.5063291139240507,0.9629629629629628,0.9886363636363636,1.0,1.0,1.0,1.0,0,0.9555555555555556
Brian Griese,0.0,0.2022471910112359,0.6333333333333333,0.8414634146341463,0.8674698795180723,0.6987951807228916,0.7764705882352941,0.7241379310344828,0.6741573033707865,0,0.6063829787234043
Brian Sipe,0.2692307692307692,0.4230769230769231,0.7758620689655172,0.8095238095238095,0.8615384615384616,0.8769230769230769,0.9855072463768116,0.8873239436619719,0.8028169014084507,0,0.8024691358024691
Bruce Gradkowski,0.1573033707865168,0.3297872340425531,0.3333333333333333,0.4216867469879518,0.5232558139534884,0.6125,0.4594594594594595,0.2285714285714285,0.0675675675675675,1,
Bubby Brister,0.2117647058823529,0.3359375,0.5176470588235295,0.5121951219512195,0.7215189873417721,0.6842105263157895,0.65,0.6962025316455697,0.7037037037037037,0,0.6704545454545454
Byron Leftwich,0.216867469879518,0.6941176470588235,0.9195402298850576,0.8876404494382022,0.7446808510638298,0.6444444444444445,0.5783132530120482,0.6627906976744186,0.325,0,0.3918918918918919
Cam Newton,0.4,0.7297297297297297,0.9428571428571428,0.8378378378378378,0.8493150684931506,0.8333333333333334,0.8082191780821918,0.7647058823529411,0.676056338028169,0,0.6338028169014085
Carson Palmer,0.2823529411764706,0.8160919540229885,0.9550561797752808,0.9680851063829788,0.9333333333333332,0.8192771084337349,0.7441860465116279,0.7875,0.7432432432432432,0,0.8
