Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Retire,NextPercentile
Adrian Peterson,0.3755186721991701,0.5402061855670103,0.7665289256198347,0.7572614107883817,0.7678571428571429,0.6826003824091779,0.5395256916996047,0.4621513944223107,0.4549019607843137,0.4168260038240918,0.3902912621359223,0.4101123595505618,0.5340699815837937,0.5387387387387388,0,0.3830935251798561
Andre Johnson,0.6921487603305785,0.8940936863543788,0.9693251533742332,0.9635974304068522,0.95850622406639,0.9917525773195875,1.0,1.0,0.988095238095238,0.9904397705544932,0.984189723320158,0.9900398406374502,0.9450980392156862,0.8107074569789675,1,
Andre Reed,0.4533333333333333,0.8217821782178217,0.966722129783694,0.9573333333333334,0.9637305699481864,0.9514824797843666,0.9870801033591732,0.9597855227882036,0.967654986522911,0.9479166666666666,0.9152542372881356,0.9354066985645934,0.9099756690997568,0.96875,0,0.940774487471526
Anquan Boldin,0.7417355371900827,0.8472505091649695,0.9754601226993864,0.9657387580299786,0.9813278008298756,0.9711340206185568,0.9380165289256198,0.946058091286307,0.9384920634920636,0.948374760994264,0.9723320158102768,0.9800796812749004,0.9745098039215686,0.9541108986615678,1,
Antonio Gates,0.402892561983471,0.824847250509165,0.9631901840490796,0.9914346895074948,0.9854771784232366,0.9670103092783504,0.96900826446281,0.970954356846473,0.9761904761904762,0.9407265774378584,0.9209486166007904,0.9163346613545816,0.9254901960784314,0.9139579349904398,0,0.8504854368932039
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0.976,0.9826732673267328,0.9717138103161398,0.9653333333333334,0.966321243523316,0.954177897574124,0.9509043927648578,0.9276139410187668,0.9056603773584906,0,0.8723958333333334
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0.7298969072164948,0.7789256198347108,0.8360995850622407,0.871031746031746,0.8738049713193117,0.8003952569169961,0.7390438247011952,0.8,0.6596558317399618,0.7359223300970874,0,0.6685393258426966
Billy Johnson,0.5243445692883895,0.7272727272727273,0.9,0.8962264150943396,0.8219584569732937,0.6975476839237057,0.590027700831025,0.4768392370572207,0.2492836676217765,0.4498644986449864,0.7581863979848866,0.8853333333333333,0.8044554455445545,0.7737104825291181,1,
Bobby Engram,0.284688995215311,0.5182481751824818,0.8317307692307693,0.8747152619589977,0.8551401869158879,0.7822014051522248,0.7660044150110376,0.8739669421487604,0.879837067209776,0.8875255623721882,0.8458244111349036,0.9045643153526972,0.8762886597938144,0.8553719008264463,1,
Brandon Stokley,0.3690205011389522,0.6378504672897196,0.8056206088992974,0.8167770419426048,0.7975206611570248,0.8859470468431772,0.9141104294478528,0.8907922912205567,0.8568464730290456,0.843298969072165,0.9111570247933884,0.8651452282157677,0.7261904761904762,0.7304015296367112,0,0.6719367588932806
Brian Kozlowski,0.03125,0.0799031476997578,0.2799043062200957,0.4695863746958637,0.6322115384615384,0.621867881548975,0.6425233644859814,0.7236533957845434,0.7152317880794702,0.6900826446280992,0.5885947046843177,0.5685071574642127,0.3961456102783726,0.3049792531120332,1,
Brian Mitchell 2,0.0161725067385444,0.0232558139534883,0.099195710455764,0.2991913746630728,0.4869791666666667,0.6198547215496368,0.6578947368421053,0.754257907542579,0.7740384615384616,0.7425968109339408,0.6495327102803738,0.667447306791569,0.5033112582781457,0.4090909090909091,1,
Charlie Joiner,0.8625,0.9526315789473684,0.9532710280373832,0.9106382978723404,0.8314606741573034,0.8986013986013986,0.975,0.981132075471698,0.9614243323442137,0.9482288828337876,0.961218836565097,0.9809264305177112,0.9742120343839542,0.962059620596206,0,0.9420654911838792
Cris Carter,0.4742096505823627,0.7813333333333333,0.9145077720207254,0.9164420485175202,0.9069767441860463,0.9115281501340484,0.9784366576819408,0.9713541666666666,0.9903147699757868,0.9832535885167464,0.9854014598540146,0.971153846153846,0.9954441913439636,0.9883177570093458,0,0.9789227166276346
Darren Sproles,0.0797546012269938,0.0770877944325481,0.2302904564315352,0.5175257731958763,0.8099173553719008,0.8941908713692946,0.9444444444444444,0.9426386233269598,0.9387351778656128,0.9123505976095616,0.8372549019607843,0.8527724665391969,0.7398058252427184,0.7322097378277154,0,0.5101289134438306
Dave Moore,0.1662198391420911,0.4150943396226415,0.59375,0.5907990314769975,0.631578947368421,0.6885644768856448,0.7524038461538461,0.7517084282460137,0.7453271028037384,0.7845433255269321,0.739514348785872,0.6425619834710744,0.5295315682281059,0.5194274028629857,0,0.3918629550321199
