Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Retire,NextPercentile
Adrian Peterson,0.3755186721991701,0.5402061855670103,0.7665289256198347,0.7572614107883817,0.7678571428571429,0.6826003824091779,0.5395256916996047,0.4621513944223107,0.4549019607843137,0.4168260038240918,0.3902912621359223,0.4101123595505618,0.5340699815837937,0.5387387387387388,0.3830935251798561,1,
Andre Reed,0.4533333333333333,0.8217821782178217,0.966722129783694,0.9573333333333334,0.9637305699481864,0.9514824797843666,0.9870801033591732,0.9597855227882036,0.967654986522911,0.9479166666666666,0.9152542372881356,0.9354066985645934,0.9099756690997568,0.96875,0.940774487471526,0,0.8714953271028038
Antonio Gates,0.402892561983471,0.824847250509165,0.9631901840490796,0.9914346895074948,0.9854771784232366,0.9670103092783504,0.96900826446281,0.970954356846473,0.9761904761904762,0.9407265774378584,0.9209486166007904,0.9163346613545816,0.9254901960784314,0.9139579349904398,0.8504854368932039,0,0.797752808988764
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0.976,0.9826732673267328,0.9717138103161398,0.9653333333333334,0.966321243523316,0.954177897574124,0.9509043927648578,0.9276139410187668,0.9056603773584906,0.8723958333333334,0,0.8159806295399515
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0.7298969072164948,0.7789256198347108,0.8360995850622407,0.871031746031746,0.8738049713193117,0.8003952569169961,0.7390438247011952,0.8,0.6596558317399618,0.7359223300970874,0.6685393258426966,0,0.8158379373848987
Brandon Stokley,0.3690205011389522,0.6378504672897196,0.8056206088992974,0.8167770419426048,0.7975206611570248,0.8859470468431772,0.9141104294478528,0.8907922912205567,0.8568464730290456,0.843298969072165,0.9111570247933884,0.8651452282157677,0.7261904761904762,0.7304015296367112,0.6719367588932806,1,
Charlie Joiner,0.8625,0.9526315789473684,0.9532710280373832,0.9106382978723404,0.8314606741573034,0.8986013986013986,0.975,0.981132075471698,0.9614243323442137,0.9482288828337876,0.961218836565097,0.9809264305177112,0.9742120343839542,0.962059620596206,0.9420654911838792,0,0.9493333333333334
Cris Carter,0.4742096505823627,0.7813333333333333,0.9145077720207254,0.9164420485175202,0.9069767441860463,0.9115281501340484,0.9784366576819408,0.9713541666666666,0.9903147699757868,0.9832535885167464,0.9854014598540146,0.971153846153846,0.9954441913439636,0.9883177570093458,0.9789227166276346,0,0.8565121412803532
Darren Sproles,0.0797546012269938,0.0770877944325481,0.2302904564315352,0.5175257731958763,0.8099173553719008,0.8941908713692946,0.9444444444444444,0.9426386233269598,0.9387351778656128,0.9123505976095616,0.8372549019607843,0.8527724665391969,0.7398058252427184,0.7322097378277154,0.5101289134438306,1,
Dave Moore,0.1662198391420911,0.4150943396226415,0.59375,0.5907990314769975,0.631578947368421,0.6885644768856448,0.7524038461538461,0.7517084282460137,0.7453271028037384,0.7845433255269321,0.739514348785872,0.6425619834710744,0.5295315682281059,0.5194274028629857,0.3918629550321199,1,
Deion Sanders,0.0025906735751295,0.0,0.2041343669250646,0.4262734584450402,0.633423180592992,0.4713541666666667,0.4915254237288136,0.4282296650717703,0.389294403892944,0.5048076923076923,0.3804100227790433,0.3551401869158878,0.0702576112412178,0.0110375275938189,0.0082644628099173,0,0.0468431771894093
Derrick Mason,0.1143552311435523,0.5600961538461539,0.7107061503416856,0.8411214953271028,0.9203747072599532,0.9735099337748344,0.987603305785124,0.9857433808553973,0.985685071574642,0.9464668094218416,0.946058091286307,0.9422680412371134,0.9731404958677686,0.975103734439834,0.9246031746031746,1,
Desean Jackson,0.5443298969072164,0.8636363636363636,0.966804979253112,0.9742063492063492,0.9464627151051626,0.9624505928853756,0.9780876494023903,0.9882352941176472,0.97131931166348,0.945631067961165,0.9625468164794008,0.9134438305709024,0.8792792792792793,0.829136690647482,0.7928436911487758,1,
Drew Hill,0.2779291553133515,0.6011080332409973,0.8010899182561307,0.7765042979942693,0.5582655826558266,0.6272040302267002,0.8826666666666667,0.9851485148514852,0.9983361064891848,0.9946666666666668,0.9896373056994818,0.981132075471698,0.9612403100775194,0.935656836461126,0.8679245283018868,1,
Emmitt Smith,0.0026954177897574,0.0025839793281653,0.1849865951742627,0.5768194070080862,0.7604166666666666,0.7869249394673123,0.6291866028708134,0.5109489051094891,0.3557692307692308,0.4464692482915717,0.3504672897196261,0.4168618266978923,0.3973509933774834,0.493801652892562,0.460285132382892,1,
Frank Gore,0.1574642126789366,0.5032119914346895,0.7551867219917012,0.8103092783505155,0.8285123966942148,0.8153526970954357,0.7619047619047619,0.6978967495219885,0.6343873517786561,0.6195219123505976,0.6098039215686275,0.7380497131931166,0.7495145631067961,0.7546816479400749,0.6795580110497238,0,0.5531531531531532
Henry Ellard,0.2222222222222222,0.6624685138539043,0.888,0.9207920792079208,0.956738768718802,0.9706666666666668,0.9974093264248703,0.9973045822102424,0.9948320413436692,0.9839142091152816,0.9757412398921832,0.984375,0.9830508474576272,0.985645933014354,0.9391727493917276,0,0.8774038461538461
Irving Fryar,0.216624685138539,0.696,0.8762376237623762,0.961730449251248,0.9306666666666666,0.9196891191709844,0.921832884097035,0.937984496124031,0.967828418230563,0.981132075471698,0.9869791666666666,0.9854721549636803,0.9904306220095692,0.9878345498783456,0.9783653846153846,0,0.917995444191344
Isaac Bruce,0.3854166666666667,0.847457627118644,0.971291866028708,0.9829683698296836,0.935096153846154,0.9567198177676538,0.9766355140186916,0.9859484777517564,0.9668874172185432,0.950413223140496,0.9470468431771896,0.9243353783231084,0.9143468950749464,0.9398340248962656,0.9628865979381444,0,0.9152892561983472
James Lofton,0.6083086053412463,0.8692098092643051,0.9833795013850416,0.997275204359673,0.994269340974212,1.0,1.0,0.9946666666666668,0.9504950495049505,0.9650582362728786,0.9386666666666666,0.9378238341968912,0.8921832884097035,0.9198966408268734,0.9785522788203752,0,0.9622641509433962
Jason Witten,0.390495867768595,0.7169042769857433,0.901840490797546,0.9229122055674518,0.9564315352697096,0.9608247422680412,0.9772727272727272,0.9854771784232366,0.9722222222222222,0.9694072657743786,0.9545454545454546,0.954183266932271,0.9294117647058824,0.9024856596558316,0.8543689320388349,0,0.6928838951310862
Jerry Rice,0.5333333333333333,0.9257425742574258,1.0,1.0,1.0,1.0,1.0,1.0,0.9973045822102424,0.9973958333333334,1.0,1.0,0.951338199513382,0.9182692307692308,0.8906605922551253,0,0.9485981308411215
Joey Galloway,0.612590799031477,0.8564593301435407,0.97323600973236,0.9831730769230768,0.9703872437357632,0.8925233644859814,0.8266978922716628,0.891832229580574,0.9380165289256198,0.9266802443991852,0.9570552147239264,0.9785867237687366,0.9937759336099584,0.936082474226804,0.8161157024793388,0,0.58298755186722
John Riggins,0.5368421052631579,0.6495327102803738,0.7361702127659574,0.7228464419475655,0.7412587412587412,0.746875,0.710691823899371,0.6795252225519288,0.7193460490463215,0.5290858725761773,0.4713896457765668,0.3495702005730659,0.3983739837398374,0.3350125944584383,0.184,1,
Keenan Mccardell,0.1581769436997319,0.5633423180592992,0.7526041666666666,0.8450363196125908,0.9138755980861244,0.9562043795620438,0.9735576923076924,0.9726651480637812,0.9462616822429908,0.9414519906323184,0.9381898454746136,0.962809917355372,0.9348268839103868,0.952965235173824,0.8779443254817987,0,0.8775933609958506
Larry Fitzgerald,0.4867617107942973,0.8977505112474438,0.987152034261242,0.991701244813278,0.9938144329896909,0.993801652892562,0.995850622406639,0.996031746031746,0.994263862332696,0.982213438735178,0.9462151394422312,0.9607843137254902,0.9521988527724664,0.9728155339805824,0.9662921348314608,0,0.9631675874769796
Lorenzo Neal,0.0338541666666666,0.3268765133171913,0.430622009569378,0.4987834549878345,0.3677884615384615,0.4100227790432801,0.3878504672897196,0.4519906323185012,0.5165562913907285,0.506198347107438,0.4541751527494908,0.4519427402862985,0.4047109207708779,0.3568464730290456,0.2556701030927835,1,
Marcus Allen,0.5587392550143266,0.7046070460704607,0.9143576826196472,0.8933333333333333,0.8836633663366337,0.8985024958402662,0.7093333333333334,0.5958549222797928,0.4636118598382749,0.5116279069767442,0.6058981233243967,0.6765498652291105,0.7369791666666666,0.6731234866828087,0.6746411483253588,0,0.5766423357664233
Mike Tice,0.0980926430517711,0.1489971346704871,0.1924119241192411,0.3123425692695214,0.2426666666666666,0.4975247524752475,0.6222961730449251,0.5146666666666667,0.3575129533678756,0.1590296495956873,0.2583979328165374,0.4343163538873995,0.4878706199460916,0.3151041666666667,0.1670702179176755,1,
Pete Metzelaars,0.0601719197707736,0.2547425474254742,0.3879093198992443,0.4186666666666667,0.5470297029702971,0.632279534109817,0.6186666666666667,0.5803108808290155,0.6765498652291105,0.5968992248062015,0.6836461126005362,0.7978436657681941,0.8567708333333334,0.8087167070217918,0.7464114832535885,0,0.5961070559610706
Randy Moss,0.7788461538461539,0.9498861047835992,1.0,0.9976580796252928,0.9955849889624724,0.9958677685950412,0.9979633401221996,0.9979550102249488,0.9528907922912204,0.9875518672199172,0.9855670103092784,0.9958677685950412,0.950207468879668,0.8174603174603174,0.6634799235181644,1,
Ricky Proehl,0.5579514824797843,0.8578811369509044,0.8873994638069705,0.9029649595687332,0.8671875,0.8523002421307506,0.7583732057416268,0.7834549878345499,0.8798076923076923,0.876993166287016,0.8808411214953271,0.8618266978922716,0.8940397350993378,0.8884297520661157,0.8594704684317719,0,0.8650306748466258
Steve Smith,0.3231850117096019,0.7593818984547461,0.9297520661157024,0.9124236252545824,0.9652351738241308,0.9807280513918628,1.0,0.9979381443298968,0.9834710743801652,0.9522821576763484,0.9325396825396826,0.9349904397705544,0.9644268774703556,0.9561752988047808,0.9411764705882352,0,0.9388145315487572
Terrell Owens,0.4019138755980861,0.7907542579075426,0.9447115384615384,0.9635535307517084,0.969626168224299,0.9882903981264636,0.9977924944812362,0.9979338842975206,0.9959266802443992,0.9897750511247444,0.9892933618843684,0.995850622406639,1.0,0.987603305785124,0.983402489626556,1,
Tim Brown 3,0.4826666666666667,0.6347150259067358,0.8274932614555256,0.8449612403100775,0.8981233243967829,0.9703504043126684,0.9817708333333334,0.9951573849878934,0.992822966507177,0.9951338199513382,0.966346153846154,0.9840546697038725,0.9813084112149532,0.9953161592505856,0.9845474613686536,0,0.9607438016528924
Tony Gonzalez,0.3503649635036496,0.5913461538461539,0.8291571753986332,0.9135514018691588,0.9718969555035128,0.9713024282560706,0.9710743801652892,0.9837067209775968,0.98159509202454,0.9700214132762311,0.9647302904564315,0.981443298969072,0.9793388429752066,0.9688796680497924,0.9563492063492064,0,0.9617590822179732
Tony Richardson,0.2296650717703349,0.4233576642335766,0.4735576923076923,0.4373576309794988,0.4252336448598131,0.629976580796253,0.6467991169977925,0.6177685950413223,0.5336048879837068,0.4969325153374233,0.556745182012848,0.5954356846473029,0.4432989690721649,0.262396694214876,0.2240663900414937,1,
Wesley Walls,0.0569948186528497,0.1239892183288409,0.3126614987080103,0.225201072386059,0.1347708894878706,0.4114583333333333,0.7167070217917676,0.9066985645933014,0.9221411192214112,0.9206730769230768,0.9271070615034168,0.8995327102803738,0.8852459016393442,0.8366445916114791,0.78099173553719,1,
