Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
A J Green,0.621031746031746,0.9120458891013384,0.9940711462450592,0.9880478087649402,0.9941176470588236,0,0.9789674952198852
Aaron Cox,0.512,0.7487046632124352,0.8409703504043127,0.6950904392764858,0.6300268096514745,0,0.6495956873315364
Aaron Craver,0.0671834625322997,0.0428954423592493,0.059299191374663,0.1640625,0.5084745762711864,0,0.7057416267942583
Aaron Moorehead,0.1838842975206611,0.3584521384928716,0.5173824130879345,0.5481798715203426,0.5726141078838174,1,
Aaron Pierce,0.1401617250673854,0.4765625,0.6828087167070218,0.7368421052631579,0.559610705596107,0,0.3269230769230769
Aaron Shea,0.1775700934579439,0.3770491803278688,0.4878587196467991,0.3533057851239669,0.470468431771894,0,0.5725971370143149
Aaron Stecker,0.058411214953271,0.3583138173302108,0.4900662251655629,0.518595041322314,0.5112016293279023,0,0.6319018404907976
Aaron Walker,0.3471074380165289,0.4663951120162933,0.4642126789366053,0.4175588865096359,0.3941908713692946,1,
Adam Humphries,0.296078431372549,0.6921606118546845,0.8563106796116505,0.9325842696629212,0.9042357274401474,0,0.872072072072072
Adam Shaheen,0.2563106796116505,0.4662921348314606,0.6224677716390423,0.6324324324324324,0.5899280575539568,1,
Adger Armstrong,0.1989100817438692,0.318051575931232,0.5474254742547425,0.5919395465994962,0.5733333333333334,1,
Adrian Cooper,0.3385012919896641,0.5067024128686327,0.6091644204851752,0.5078125,0.5714285714285714,0,0.3995215311004784
Adrian Murrell,0.0377358490566037,0.2578125,0.5399515738498789,0.5574162679425837,0.4841849148418491,0,0.4206730769230769
Adrian Peterson,0.3755186721991701,0.5402061855670103,0.7665289256198347,0.7572614107883817,0.7678571428571429,0,0.6826003824091779
Adrian Peterson 2,0.1346578366445916,0.2665289256198347,0.4358452138492871,0.32719836400818,0.4089935760171306,0,0.5414937759336099
Ahmad Bradshaw,0.1265560165975103,0.3010309278350515,0.5723140495867769,0.7053941908713693,0.7321428571428571,0,0.7361376673040153
Ahmad Rashad,0.514018691588785,0.7617021276595745,0.9176029962546816,0.7762237762237763,0.846875,0,0.8616352201257862
Ahman Green,0.0192307692307692,0.0113895216400911,0.3738317757009345,0.702576112412178,0.8300220750551877,0,0.8533057851239669
Ahmard Hall,0.1370449678800856,0.3236514522821577,0.5752577319587628,0.512396694214876,0.5145228215767634,0,0.3908730158730158
Al Chandler,0.0636704119850187,0.0524475524475524,0.284375,0.3773584905660377,0.5727002967359051,0,0.5667574931880109
Al Dixon,0.1823899371069182,0.5252225519287834,0.6103542234332425,0.6094182825484764,0.5994550408719346,0,0.7507163323782235
Al Toon,0.5066666666666667,0.8316831683168316,0.9800332778702164,0.9733333333333334,0.9689119170984456,0,0.9380053908355797
Albert Bentley,0.0853333333333333,0.4108910891089108,0.7753743760399334,0.7013333333333334,0.772020725388601,0,0.8086253369272237
Albert Connell,0.3211678832116788,0.7067307692307693,0.8838268792710706,0.9439252336448598,0.918032786885246,1,
Albert Wilson,0.3286852589641434,0.6549019607843137,0.8164435946462715,0.8485436893203884,0.8689138576779026,0,0.8913443830570903
Aldrick Robinson,0.3996175908221797,0.6976284584980237,0.7131474103585658,0.4078431372549019,0.4130019120458891,0,0.6077669902912621
Alex Armah,0.0711610486891385,0.1197053406998158,0.2378378378378378,0.3399280575539568,0.263653483992467,0,0.3098039215686274
Alex Bannister,0.2060889929742388,0.1721854304635761,0.4876033057851239,0.3482688391038696,0.3026584867075664,1,
Alex Collins,0.1988527724665392,0.316504854368932,0.5093632958801498,0.3406998158379374,0.2288288288288288,0,0.1510791366906475
Alex Erickson,0.1682600382409178,0.4155339805825243,0.5936329588014981,0.7108655616942909,0.7063063063063063,0,0.7050359712230215
Alex Smith 2,0.3394683026584867,0.5610278372591007,0.7863070539419087,0.7731958762886598,0.743801652892562,0,0.533195020746888
Alex Van Dyke,0.138755980861244,0.4428223844282238,0.5480769230769231,0.4191343963553531,0.3341121495327103,1,
Alexander Wright,0.1805929919137466,0.4961240310077519,0.67828418230563,0.8005390835579514,0.828125,0,0.8595641646489104
Alfred Anderson,0.0579345088161209,0.3066666666666666,0.5618811881188119,0.6855241264559068,0.3546666666666667,0,0.3471502590673575
Alfred Blue,0.2011952191235059,0.3705882352941176,0.4894837476099426,0.4621359223300971,0.4644194756554307,1,
Alfred Jackson 2,0.4807121661721068,0.6485013623978202,0.817174515235457,0.8528610354223434,0.8997134670487106,0,0.8970189701897019
Alfred Jenkins,0.6713286713286714,0.903125,0.9716981132075472,0.8961424332344213,0.8937329700272479,0,0.889196675900277
Alfred Morris,0.1395793499043977,0.3063241106719367,0.5239043824701195,0.496078431372549,0.4187380497131931,0,0.283495145631068
Alfred Pupunu,0.2075471698113207,0.5,0.6682808716707022,0.6555023923444976,0.4306569343065693,0,0.2259615384615384
Alfredo Roberts,0.1093333333333333,0.310880829015544,0.490566037735849,0.5684754521963824,0.5656836461126006,1,
Alge Crumpler,0.3021077283372365,0.6909492273730684,0.8553719008264463,0.8961303462321792,0.918200408997955,0,0.9379014989293362
Allen Hurns,0.5,0.8176470588235294,0.9216061185468452,0.9048543689320389,0.8146067415730337,0,0.8066298342541437
Allen Pinkett,0.1138613861386138,0.2662229617304492,0.3706666666666666,0.4766839378238341,0.5983827493261455,0,0.6304909560723514
Allen Rice,0.1536523929471032,0.28,0.6311881188118812,0.7970049916805324,0.736,0,0.572538860103627
Alonzo Highsmith 2,0.3078202995008319,0.1573333333333333,0.4611398963730569,0.4501347708894879,0.4418604651162791,0,0.1742627345844504
Alshon Jeffery,0.401529636711281,0.7885375494071146,0.9601593625498008,0.976470588235294,0.9674952198852772,0,0.9592233009708738
Alvin Garrett,0.1606648199445983,0.0871934604904632,0.2636103151862464,0.4742547425474255,0.5239294710327456,1,
Alvin Harper,0.4031007751937984,0.7050938337801609,0.8975741239892183,0.9453125,0.946731234866828,0,0.8779904306220095
Alvin Reed,0.88125,0.8947368421052632,0.897196261682243,0.7319148936170212,0.5917602996254682,0,0.43006993006993
Alvis Whitted,0.25,0.3006833712984054,0.4929906542056075,0.351288056206089,0.2737306843267108,0,0.371900826446281
Amani Toomer,0.2177033492822966,0.5474452554744526,0.7908653846153846,0.8997722095671982,0.9532710280373832,0,0.981264637002342
Amos Zereoue,0.1093394077448747,0.1238317757009345,0.4449648711943794,0.5938189845474614,0.7603305785123967,0,0.7515274949083504
Amp Lee,0.1367292225201072,0.3665768194070081,0.6458333333333334,0.738498789346247,0.7416267942583732,0,0.8248175182481752
Andre Caldwell,0.1257731958762886,0.4793388429752066,0.7282157676348547,0.7896825396825397,0.751434034416826,0,0.7233201581027668
Andre Davis 2,0.5187637969094923,0.7913223140495868,0.9042769857433808,0.8936605316973415,0.7516059957173448,0,0.7157676348547718
