Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
A J Green,0.621031746031746,0.9120458891013384,0.9940711462450592,0.9880478087649402,0.9941176470588236,0.9789674952198852,0.9864077669902912,0.947565543071161,0.8268876611418048,0,0.7081081081081081
Aaron Craver,0.0671834625322997,0.0428954423592493,0.059299191374663,0.1640625,0.5084745762711864,0.7057416267942583,0.6374695863746959,0.6274038461538461,0.5421412300683371,1,
Aaron Stecker,0.058411214953271,0.3583138173302108,0.4900662251655629,0.518595041322314,0.5112016293279023,0.6319018404907976,0.6937901498929336,0.7282157676348547,0.6618556701030928,0,0.5392561983471075
Adrian Murrell,0.0377358490566037,0.2578125,0.5399515738498789,0.5574162679425837,0.4841849148418491,0.4206730769230769,0.4806378132118451,0.4696261682242991,0.1920374707259953,0,0.086092715231788
Adrian Peterson,0.3755186721991701,0.5402061855670103,0.7665289256198347,0.7572614107883817,0.7678571428571429,0.6826003824091779,0.5395256916996047,0.4621513944223107,0.4549019607843137,0,0.4168260038240918
Ahmad Bradshaw,0.1265560165975103,0.3010309278350515,0.5723140495867769,0.7053941908713693,0.7321428571428571,0.7361376673040153,0.6600790513833992,0.7270916334661355,0.6431372549019608,1,
Ahmad Rashad,0.514018691588785,0.7617021276595745,0.9176029962546816,0.7762237762237763,0.846875,0.8616352201257862,0.9673590504451038,0.9918256130790192,0.994459833795014,0,0.989100817438692
Ahman Green,0.0192307692307692,0.0113895216400911,0.3738317757009345,0.702576112412178,0.8300220750551877,0.8533057851239669,0.8024439918533605,0.7934560327198364,0.6702355460385439,0,0.6514522821576764
Alex Smith 2,0.3394683026584867,0.5610278372591007,0.7863070539419087,0.7731958762886598,0.743801652892562,0.533195020746888,0.4563492063492063,0.4646271510516252,0.4110671936758893,0,0.1513944223107569
Alfred Jenkins,0.6713286713286714,0.903125,0.9716981132075472,0.8961424332344213,0.8937329700272479,0.889196675900277,0.9754768392370572,0.9570200573065902,0.934959349593496,1,
Alfred Morris,0.1395793499043977,0.3063241106719367,0.5239043824701195,0.496078431372549,0.4187380497131931,0.283495145631068,0.3670411985018726,0.3204419889502762,0.3513513513513513,1,
Alge Crumpler,0.3021077283372365,0.6909492273730684,0.8553719008264463,0.8961303462321792,0.918200408997955,0.9379014989293362,0.933609958506224,0.8639175257731959,0.7252066115702479,0,0.5684647302904564
Alshon Jeffery,0.401529636711281,0.7885375494071146,0.9601593625498008,0.976470588235294,0.9674952198852772,0.9592233009708738,0.9606741573033708,0.9465930018416208,0.8882882882882883,1,
Alvis Whitted,0.25,0.3006833712984054,0.4929906542056075,0.351288056206089,0.2737306843267108,0.371900826446281,0.5478615071283096,0.7239263803680982,0.7366167023554604,1,
Amani Toomer,0.2177033492822966,0.5474452554744526,0.7908653846153846,0.8997722095671982,0.9532710280373832,0.981264637002342,0.9867549668874172,0.9896694214876032,0.979633401221996,0,0.9468302658486708
Amp Lee,0.1367292225201072,0.3665768194070081,0.6458333333333334,0.738498789346247,0.7416267942583732,0.8248175182481752,0.8269230769230769,0.8018223234624146,0.6728971962616822,1,
Andre Johnson,0.6921487603305785,0.8940936863543788,0.9693251533742332,0.9635974304068522,0.95850622406639,0.9917525773195875,1.0,1.0,0.988095238095238,0,0.9904397705544932
Andre Reed,0.4533333333333333,0.8217821782178217,0.966722129783694,0.9573333333333334,0.9637305699481864,0.9514824797843666,0.9870801033591732,0.9597855227882036,0.967654986522911,0,0.9479166666666666
Andre Rison,0.4844559585492228,0.8733153638814016,0.979328165374677,0.9919571045576407,0.9892183288409704,0.9895833333333334,0.9782082324455206,0.937799043062201,0.924574209245742,0,0.90625
Andre Roberts,0.2821576763485477,0.6051587301587301,0.8451242829827916,0.8754940711462451,0.8585657370517928,0.7607843137254902,0.7533460803059273,0.6155339805825243,0.6067415730337079,0,0.4640883977900552
Andrew Glover,0.2351421188630491,0.4396782841823056,0.5929919137466307,0.6744791666666666,0.7215496368038741,0.7177033492822966,0.7128953771289538,0.7980769230769231,0.8314350797266514,0,0.7990654205607477
Anquan Boldin,0.7417355371900827,0.8472505091649695,0.9754601226993864,0.9657387580299786,0.9813278008298756,0.9711340206185568,0.9380165289256198,0.946058091286307,0.9384920634920636,0,0.948374760994264
Anthony Becht,0.25,0.6768149882903981,0.8101545253863135,0.8471074380165289,0.7413441955193483,0.6625766871165644,0.45610278372591,0.4190871369294606,0.3731958762886598,0,0.3698347107438016
Anthony Carter,0.5573333333333333,0.8415841584158416,0.9850249584026622,0.992,0.9948186528497408,0.9946091644204852,0.9767441860465116,0.9544235924932976,0.9326145552560648,0,0.8802083333333334
Anthony Edwards,0.3031088082901554,0.3288409703504043,0.3255813953488372,0.2949061662198391,0.660377358490566,0.6770833333333334,0.7360774818401937,0.5933014354066986,0.7274939172749392,1,
Anthony Fasano,0.15203426124197,0.4066390041493776,0.7319587628865979,0.7582644628099173,0.8236514522821576,0.8134920634920635,0.8604206500956023,0.8063241106719368,0.7569721115537849,0,0.7313725490196078
Anthony Johnson 3,0.0970350404312668,0.3462532299741602,0.6380697050938338,0.7466307277628033,0.6640625,0.5641646489104116,0.5095693779904307,0.5206812652068127,0.5120192307692307,0,0.4578587699316628
Anthony Miller 3,0.4453333333333333,0.8886010362694301,0.9703504043126684,0.9844961240310076,0.9812332439678284,0.9865229110512128,0.9921875,0.9927360774818402,0.9736842105263158,0,0.929440389294404
Anthony Sherman,0.1666666666666666,0.3326959847036329,0.4960474308300395,0.4780876494023904,0.4784313725490196,0.3862332695984704,0.3475728155339805,0.4625468164794007,0.6169429097605893,0,0.618018018018018
Antonio Brown,0.2738589211618257,0.7757936507936508,0.9101338432122372,0.9802371541501976,0.99402390438247,1.0,1.0,1.0,1.0,0,0.9797421731123388
Antonio Freeman,0.3220338983050847,0.6985645933014354,0.9148418491484184,0.9927884615384616,1.0,0.985981308411215,0.9672131147540984,0.955849889624724,0.8863636363636364,1,
Antonio Gates,0.402892561983471,0.824847250509165,0.9631901840490796,0.9914346895074948,0.9854771784232366,0.9670103092783504,0.96900826446281,0.970954356846473,0.9761904761904762,0,0.9407265774378584
Antowain Smith,0.1313868613138686,0.1899038461538461,0.4920273348519362,0.4275700934579439,0.6182669789227166,0.6445916114790287,0.6466942148760331,0.6435845213849287,0.4846625766871165,1,
Antwaan Randle El,0.4216335540838852,0.6818181818181818,0.7718940936863544,0.7955010224948875,0.7644539614561028,0.8236514522821576,0.8556701030927835,0.8884297520661157,0.8298755186721992,1,
Arnaz Battle,0.0495867768595041,0.2892057026476578,0.5603271983640081,0.8115631691648822,0.8319502074688797,0.8412371134020619,0.756198347107438,0.483402489626556,0.2023809523809523,1,
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0.976,0.9826732673267328,0.9717138103161398,0.9653333333333334,0,0.966321243523316
Arthur Cox,0.086720867208672,0.3526448362720403,0.672,0.7599009900990099,0.7953410981697171,0.4693333333333333,0.4870466321243523,0.5956873315363881,0.6098191214470284,1,
Aubrey Matthews,0.3217821782178218,0.7603993344425957,0.8106666666666666,0.7590673575129534,0.6981132075471698,0.6020671834625323,0.6085790884718498,0.6145552560646901,0.734375,0,0.6876513317191283
