Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
Aaron Stecker,0.1483870967741935,0.3013698630136986,0.5894039735099338,0.6012658227848101,0.6586826347305389,0.6493506493506493,0.6601307189542484,0.6556291390728477,0.5870967741935483,0.5286624203821656,1,
Adrian Murrell,0.1865671641791045,0.4214285714285714,0.8235294117647058,0.9154929577464788,0.92,0.8552631578947368,0.782608695652174,0.6387096774193548,0.3287671232876712,0.086092715231788,0,0.1645569620253164
Adrian Peterson,0.6622516556291391,0.8903225806451613,0.9808917197452228,0.9805194805194806,0.9727891156462584,1.0,1.0,0.9824561403508772,0.9162011173184358,0.7204301075268817,0,0.6338797814207651
Ahman Green,0.1907894736842105,0.4347826086956521,0.8516129032258064,0.958904109589041,0.9867549668874172,0.9746835443037974,0.9700598802395208,0.9155844155844156,0.8366013071895425,0.7947019867549668,0,0.7935483870967742
Anthony Johnson 3,0.1917808219178082,0.4117647058823529,0.5223880597014925,0.4285714285714285,0.4117647058823529,0.6549295774647887,0.6933333333333334,0.743421052631579,0.5403726708074534,0.5741935483870968,1,
Barry Sanders,0.3961038961038961,0.868421052631579,0.9931506849315068,0.9926470588235294,0.9925373134328358,0.9928571428571428,1.0,1.0,1.0,1.0,1,
Blaine Gabbert,0.0,0.0,0.0059523809523809,0.2456140350877192,0.3128491620111732,0.3817204301075269,0.2896174863387978,0.2127659574468085,0.0360824742268041,0.1069767441860465,0,0.0275229357798165
Bob Christian,0.1119402985074626,0.3571428571428571,0.5620915032679739,0.4014084507042254,0.2866666666666667,0.4078947368421052,0.7888198757763976,0.8193548387096774,0.8767123287671232,0.7748344370860927,1,
Brad Hoover,0.1870967741935484,0.3424657534246575,0.6158940397350994,0.620253164556962,0.7005988023952096,0.6038961038961039,0.6013071895424836,0.5165562913907285,0.4774193548387097,0.4585987261146497,1,
Brandon Bolden,0.2515723270440251,0.5952380952380952,0.6842105263157895,0.6703910614525139,0.4623655913978494,0.5081967213114754,0.5851063829787234,0.7216494845360825,0.5906976744186047,0.5275229357798165,0,0.446078431372549
Brian Hoyer,0.0828025477707006,0.0714285714285714,0.0816326530612244,0.2830188679245283,0.3928571428571428,0.3450292397660818,0.217877094972067,0.0268817204301075,0.0218579234972677,0.0053191489361702,0,0.0103092783505154
Brian Mitchell 2,0.131578947368421,0.3219178082191781,0.6323529411764706,0.7014925373134329,0.8928571428571429,0.8888888888888888,0.8873239436619719,0.8466666666666667,0.8157894736842105,0.8385093167701864,0,0.864516129032258
Charlie Garner,0.1928571428571428,0.5555555555555556,0.8028169014084507,0.86,0.8092105263157895,0.937888198757764,0.9612903225806452,0.9726027397260274,0.9735099337748344,0.9556962025316456,0,0.9101796407185628
Chester Taylor,0.1920529801324503,0.4367088607594936,0.7305389221556886,0.8051948051948052,0.8888888888888888,0.8874172185430463,0.864516129032258,0.7707006369426752,0.6558441558441559,0.5714285714285714,1,
Chris Johnson,0.5419354838709678,0.9681528662420382,1.0,0.9931972789115646,0.9622641509433962,0.9285714285714286,0.9298245614035088,0.905027932960894,0.8010752688172043,0.6174863387978142,1,
