Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Retire,NextPercentile
Adrian Peterson,0.6622516556291391,0.8903225806451613,0.9808917197452228,0.9805194805194806,0.9727891156462584,1.0,1.0,0.9824561403508772,0.9162011173184358,0.7204301075268817,0.6338797814207651,0.5797872340425532,0.7783505154639175,0.9023255813953488,0.6743119266055045,1,
Brian Hoyer,0.0828025477707006,0.0714285714285714,0.0816326530612244,0.2830188679245283,0.3928571428571428,0.3450292397660818,0.217877094972067,0.0268817204301075,0.0218579234972677,0.0053191489361702,0.0103092783505154,0.2883720930232558,0.2752293577981651,0.2647058823529412,0.0225988700564971,1,
Darren Sproles,0.1883116883116883,0.130718954248366,0.3377483443708609,0.567741935483871,0.8407643312101911,0.922077922077922,0.9523809523809524,0.9748427672955976,0.9821428571428572,0.953216374269006,0.8435754189944135,0.8924731182795699,0.819672131147541,0.7819148936170213,0.5721649484536082,1,
Emmitt Smith,0.4013157894736842,0.9178082191780822,0.9852941176470588,1.0,1.0,0.9934640522875816,0.9929577464788732,0.9933333333333332,0.9671052631578948,0.968944099378882,0.9548387096774194,0.9246575342465754,0.8543046357615894,0.759493670886076,0.6287425149700598,1,
Frank Gore,0.3311688311688311,0.8823529411764706,0.9735099337748344,0.9612903225806452,0.929936305732484,0.9285714285714286,0.9319727891156464,0.9182389937106918,0.9166666666666666,0.9239766081871345,0.8770949720670391,0.9032258064516128,0.8142076502732241,0.8085106382978723,0.7835051546391752,0,0.813953488372093
Fred Mcafee,0.2260273972602739,0.4044117647058823,0.4925373134328358,0.4428571428571428,0.4705882352941176,0.3873239436619718,0.38,0.4144736842105263,0.3726708074534161,0.6838709677419355,0.4931506849315068,0.7880794701986755,0.7848101265822784,0.9221556886227544,0.8311688311688312,0,0.6405228758169934
John Riggins,0.5617977528089888,0.7870370370370371,0.8842975206611571,0.9280575539568344,0.9285714285714286,0.9411764705882352,0.910828025477707,0.8414634146341463,0.9127906976744186,0.7906976744186046,0.7650602409638554,0.6363636363636364,0.879746835443038,0.8827160493827161,0.9032258064516128,1,
Lorenzo Neal,0.2462686567164179,0.3785714285714285,0.5228758169934641,0.4436619718309859,0.46,0.5131578947368421,0.5217391304347826,0.4709677419354838,0.273972602739726,0.390728476821192,0.5253164556962026,0.5808383233532934,0.6883116883116883,0.8169934640522876,0.7748344370860927,0,0.6516129032258065
Marcus Allen,0.8484848484848485,0.8860759493670886,1.0,0.9870967741935484,0.9941520467836256,0.9818181818181818,0.922077922077922,0.8831168831168831,0.8289473684210527,0.7328767123287672,0.7720588235294118,0.8880597014925373,0.9071428571428573,0.934640522875817,0.9295774647887324,0,0.8733333333333333
Tony Richardson,0.1176470588235294,0.323943661971831,0.56,0.7039473684210527,0.7391304347826086,0.8580645161290322,0.8835616438356164,0.8145695364238411,0.6329113924050633,0.5029940119760479,0.512987012987013,0.5424836601307189,0.5298013245033113,0.5225806451612903,0.5668789808917197,0,0.564935064935065
