Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
A B Brown,0.1298701298701298,0.3947368421052631,0.5,0.4191176470588235,1,
A J Dillon,0.2511627906976744,0.6376146788990825,0.8676470588235294,0.903954802259887,1,
Aaron Craver,0.136986301369863,0.1911764705882352,0.208955223880597,0.35,0,0.6013071895424836
Aaron Stecker,0.1483870967741935,0.3013698630136986,0.5894039735099338,0.6012658227848101,0,0.6586826347305389
Abdul Karim Al Jabbar,0.2887323943661972,0.66,0.8881578947368421,0.8757763975155279,0,0.6
Adger Armstrong,0.1506024096385542,0.3272727272727272,0.5189873417721519,0.5617283950617284,0,0.6064516129032258
Adimchinobe Echemandu,0.0718562874251497,0.0584415584415584,0.0849673202614379,0.0463576158940397,1,
Adrian Murrell,0.1865671641791045,0.4214285714285714,0.8235294117647058,0.9154929577464788,0,0.92
Adrian Peterson,0.6622516556291391,0.8903225806451613,0.9808917197452228,0.9805194805194806,0,0.9727891156462584
Adrian Peterson 2,0.152317880794702,0.3037974683544304,0.4610778443113772,0.525974025974026,0,0.7320261437908496
Ahmad Bradshaw,0.271523178807947,0.5032258064516129,0.7388535031847133,0.7727272727272727,0,0.8843537414965986
Ahman Green,0.1907894736842105,0.4347826086956521,0.8516129032258064,0.958904109589041,0,0.9867549668874172
Ahmard Hall,0.1503267973856209,0.5496688741721855,0.7096774193548387,0.6050955414012739,0,0.474025974025974
Aj Mccarron,0.0558659217877094,0.064516129032258,0.0655737704918032,0.0212765957446808,0,0.1546391752577319
Al Hunter,0.2292993630573248,0.4268292682926829,0.5930232558139535,0.5116279069767442,1,
Albert Bentley,0.2516129032258064,0.6257309941520468,0.9527272727272728,0.9155844155844156,0,0.9285714285714286
Alex Armah,0.0957446808510638,0.2783505154639175,0.4232558139534884,0.4678899082568807,1,
Alex Collins,0.0967741935483871,0.4590163934426229,0.574468085106383,0.5103092783505154,0,0.2558139534883721
Alex Erickson,0.2076502732240437,0.4734042553191489,0.7268041237113402,0.6186046511627907,1,
Alfonso Smith,0.2108843537414966,0.1761006289308176,0.2619047619047619,0.1637426900584795,1,
Alfred Anderson,0.228395061728395,0.4451612903225806,0.6900584795321637,0.8363636363636363,0,0.7792207792207793
Alfred Blue,0.3508771929824561,0.6368715083798883,0.7526881720430108,0.639344262295082,0,0.6117021276595744
Alfred Morris,0.4654088050314465,0.6845238095238095,0.8830409356725146,0.8379888268156425,0,0.8387096774193549
Allen Pinkett,0.2923976608187134,0.6654545454545454,0.7012987012987013,0.8311688311688312,0,0.7960526315789473
Allen Rice,0.1728395061728395,0.4064516129032258,0.672514619883041,0.7890909090909091,0,0.6558441558441559
Alonzo Highsmith 2,0.44,0.422077922077922,0.6298701298701299,0.5263157894736842,0,0.3150684931506849
Alvin Maxson,0.5179856115107914,0.6785714285714286,0.7647058823529411,0.5605095541401274,0,0.3353658536585366
Alvin Moore,0.1329113924050632,0.2716049382716049,0.3806451612903225,0.4502923976608187,0,0.6690909090909091
Amari Cooper,0.3072625698324022,0.6344086021505376,0.9344262295081968,0.9840425531914894,0,0.963917525773196
Amos Zereoue,0.1118012422360248,0.2064516129032258,0.4794520547945205,0.6821192052980133,0,0.8227848101265823
Amp Lee,0.2720588235294117,0.5149253731343284,0.8642857142857143,0.8758169934640523,0,0.852112676056338
Andra Franklin,0.1144578313253012,0.5333333333333333,0.6455696202531646,0.5864197530864198,1,
Andre Brown,0.0129870129870129,0.0136054421768707,0.3584905660377358,0.4880952380952381,1,
Andre Ellington,0.5059523809523809,0.7309941520467836,0.888268156424581,0.7903225806451613,0,0.6885245901639344
Andre Hardy 2,0.1111111111111111,0.1290322580645161,0.1578947368421052,0.4545454545454545,1,
Andre Williams,0.3976608187134502,0.547486033519553,0.7096774193548387,0.4098360655737705,1,
Andrew Beck,0.3505154639175257,0.3209302325581395,0.3302752293577982,0.0539215686274509,0,0.2542372881355932
Andrew Pinnock,0.0479041916167664,0.3636363636363636,0.5228758169934641,0.4304635761589404,1,
Andy Isabella,0.2577319587628865,0.2651162790697674,0.2706422018348624,0.0931372549019607,1,
Andy Janovich,0.3010752688172043,0.4644808743169399,0.7712765957446809,0.7319587628865979,0,0.7023255813953488
Andy Johnson,0.0287769784172661,0.5,0.9084967320261438,0.8662420382165605,0,0.8170731707317073
Anthony Dixon,0.1298701298701298,0.3265306122448979,0.4528301886792453,0.4226190476190476,0,0.5321637426900585
Anthony Johnson 3,0.1917808219178082,0.4117647058823529,0.5223880597014925,0.4285714285714285,0,0.4117647058823529
Anthony Lynn,0.065359477124183,0.352112676056338,0.3466666666666667,0.3092105263157895,0,0.0124223602484472
Anthony Sherman,0.2321428571428571,0.5029239766081871,0.5139664804469274,0.3172043010752688,0,0.2240437158469945
Anthony Thomas,0.5136986301369864,0.609271523178808,0.8670886075949367,0.7365269461077845,0,0.6948051948051948
Anthony Toney,0.4093567251461988,0.7636363636363637,0.8116883116883117,0.7792207792207793,0,0.7828947368421053
Antone Smith,0.0064935064935064,0.0068027210884353,0.0062893081761006,0.7083333333333334,0,0.8947368421052632
Antowain Smith,0.3666666666666666,0.5526315789473685,0.8012422360248447,0.6967741935483871,0,0.8287671232876712
Archie Griffin,0.3333333333333333,0.6114649681528662,0.8475609756097561,0.8953488372093024,0,0.8546511627906976
Arian Foster,0.2611464968152866,0.8701298701298701,0.9659863945578232,0.9874213836477987,0,0.9642857142857144
Arlen Harris,0.2088607594936709,0.3712574850299401,0.4545454545454545,0.4705882352941176,1,
Arnold Morgado,0.1146496815286624,0.3658536585365853,0.5174418604651163,0.563953488372093,1,
Art Malone,0.3536585365853658,0.7528089887640449,0.8981481481481481,0.950413223140496,0,0.8776978417266187
Art Whittington,0.2682926829268293,0.5,0.7558139534883721,0.6626506024096386,0,0.4484848484848485
Artose Pinner,0.1012658227848101,0.3233532934131736,0.5324675324675324,0.5686274509803921,0,0.6754966887417219
Autry Denson,0.1739130434782608,0.3741935483870968,0.4246575342465753,0.2251655629139073,1,
Aveion Cason,0.0547945205479452,0.423841059602649,0.6392405063291139,0.5748502994011976,0,0.487012987012987
B J Askew,0.2025316455696202,0.3293413173652694,0.4805194805194805,0.3856209150326797,0,0.2251655629139073
Bam Morris,0.3285714285714285,0.5294117647058824,0.8450704225352113,0.7933333333333333,0,0.7763157894736842
Barry Foster,0.1776315789473684,0.4657534246575342,0.8161764705882353,0.9328358208955224,0,0.95
Barry Redden,0.1151515151515151,0.4113924050632911,0.654320987654321,0.6903225806451613,0,0.7953216374269005
Barry Sanders,0.3961038961038961,0.868421052631579,0.9931506849315068,0.9926470588235294,0,0.9925373134328358
Barry Word,0.4690909090909091,0.1493506493506493,0.1753246753246753,0.3486842105263157,0,0.6575342465753424
Barty Smith,0.0071942446043165,0.3142857142857143,0.5490196078431373,0.7707006369426752,0,0.7926829268292683
Beanie Wells,0.2229299363057325,0.4285714285714285,0.6870748299319728,0.6981132075471698,1,
Ben Tate,0.3333333333333333,0.5534591194968553,0.6726190476190477,0.6023391812865497,1,
Benjarvus Green Ellis,0.1612903225806451,0.3821656050955414,0.7142857142857143,0.8435374149659864,0,0.9056603773584906
Benny Cunningham,0.2023809523809523,0.5380116959064327,0.7206703910614525,0.6827956989247311,0,0.5628415300546448
Benny Malone,0.3453237410071942,0.5785714285714286,0.7843137254901961,0.8407643312101911,0,0.7682926829268293
Benny Snell,0.2061855670103092,0.3488372093023256,0.4449541284403669,0.4411764705882353,1,
Bernard Pierce,0.3459119496855345,0.5773809523809523,0.7134502923976608,0.4916201117318435,1,
Bernard Scott,0.2420382165605095,0.435064935064935,0.6258503401360545,0.6037735849056604,0,0.4702380952380952
Bernie Parmalee,0.1323529411764706,0.3358208955223881,0.6857142857142857,0.8823529411764706,0,0.8591549295774648
Bilal Powell,0.0204081632653061,0.3144654088050314,0.6190476190476191,0.7368421052631579,0,0.7877094972067039
Bill Olds,0.1239669421487603,0.5107913669064749,0.6714285714285714,0.6797385620915033,1,
Bill Ring,0.1204819277108433,0.3696969696969697,0.569620253164557,0.6296296296296297,0,0.5548387096774193
Billy Campfield,0.1585365853658536,0.4127906976744186,0.627906976744186,0.6746987951807228,0,0.6424242424242425
Billy Jackson,0.2590361445783132,0.5454545454545454,0.7088607594936709,0.6481481481481481,1,
Billy Sims,0.6511627906976745,0.9457831325301204,0.9818181818181818,0.9620253164556962,0,0.9320987654320988
Billy Taylor,0.1219512195121951,0.5581395348837209,0.8255813953488372,0.7590361445783133,0,0.4
Blaine Gabbert,0.0,0.0,0.0059523809523809,0.2456140350877192,0,0.3128491620111732
Blair Thomas,0.3618421052631579,0.7123287671232876,0.7867647058823529,0.6492537313432836,0,0.4857142857142857
Bo Jackson,0.730909090909091,0.6883116883116883,0.961038961038961,0.9539473684210528,1,
