Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Aaron Craver,0.136986301369863,0.1911764705882352,0.208955223880597,0.35,0.6013071895424836,0.795774647887324,0,0.6666666666666666
Aaron Stecker,0.1483870967741935,0.3013698630136986,0.5894039735099338,0.6012658227848101,0.6586826347305389,0.6493506493506493,0,0.6601307189542484
Adrian Murrell,0.1865671641791045,0.4214285714285714,0.8235294117647058,0.9154929577464788,0.92,0.8552631578947368,0,0.782608695652174
Adrian Peterson,0.6622516556291391,0.8903225806451613,0.9808917197452228,0.9805194805194806,0.9727891156462584,1.0,0,1.0
Adrian Peterson 2,0.152317880794702,0.3037974683544304,0.4610778443113772,0.525974025974026,0.7320261437908496,0.7483443708609272,0,0.6774193548387096
Ahmad Bradshaw,0.271523178807947,0.5032258064516129,0.7388535031847133,0.7727272727272727,0.8843537414965986,0.89937106918239,0,0.8571428571428571
Ahman Green,0.1907894736842105,0.4347826086956521,0.8516129032258064,0.958904109589041,0.9867549668874172,0.9746835443037974,0,0.9700598802395208
Ahmard Hall,0.1503267973856209,0.5496688741721855,0.7096774193548387,0.6050955414012739,0.474025974025974,0.4693877551020408,1,
Albert Bentley,0.2516129032258064,0.6257309941520468,0.9527272727272728,0.9155844155844156,0.9285714285714286,0.9013157894736842,1,
Alex Collins,0.0967741935483871,0.4590163934426229,0.574468085106383,0.5103092783505154,0.2558139534883721,0.4541284403669725,1,
Alfred Anderson,0.228395061728395,0.4451612903225806,0.6900584795321637,0.8363636363636363,0.7792207792207793,0.7922077922077922,0,0.7171052631578947
Alfred Morris,0.4654088050314465,0.6845238095238095,0.8830409356725146,0.8379888268156425,0.8387096774193549,0.7923497267759563,0,0.7074468085106383
Allen Pinkett,0.2923976608187134,0.6654545454545454,0.7012987012987013,0.8311688311688312,0.7960526315789473,0.8356164383561644,1,
Allen Rice,0.1728395061728395,0.4064516129032258,0.672514619883041,0.7890909090909091,0.6558441558441559,0.5974025974025974,0,0.5394736842105263
Alonzo Highsmith 2,0.44,0.422077922077922,0.6298701298701299,0.5263157894736842,0.3150684931506849,0.2426470588235294,1,
Amari Cooper,0.3072625698324022,0.6344086021505376,0.9344262295081968,0.9840425531914894,0.963917525773196,0.944186046511628,1,
Amos Zereoue,0.1118012422360248,0.2064516129032258,0.4794520547945205,0.6821192052980133,0.8227848101265823,0.8383233532934131,0,0.6753246753246753
Amp Lee,0.2720588235294117,0.5149253731343284,0.8642857142857143,0.8758169934640523,0.852112676056338,0.88,0,0.868421052631579
