Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Aaron Craver,0.136986301369863,0.1911764705882352,0.208955223880597,0.35,0.6013071895424836,0.795774647887324,0.6666666666666666,0.6776315789473685,0.5279503105590062,1,
Aaron Stecker,0.1483870967741935,0.3013698630136986,0.5894039735099338,0.6012658227848101,0.6586826347305389,0.6493506493506493,0.6601307189542484,0.6556291390728477,0.5870967741935483,0,0.5286624203821656
Adrian Murrell,0.1865671641791045,0.4214285714285714,0.8235294117647058,0.9154929577464788,0.92,0.8552631578947368,0.782608695652174,0.6387096774193548,0.3287671232876712,0,0.086092715231788
Adrian Peterson,0.6622516556291391,0.8903225806451613,0.9808917197452228,0.9805194805194806,0.9727891156462584,1.0,1.0,0.9824561403508772,0.9162011173184358,0,0.7204301075268817
Ahmad Bradshaw,0.271523178807947,0.5032258064516129,0.7388535031847133,0.7727272727272727,0.8843537414965986,0.89937106918239,0.8571428571428571,0.7894736842105263,0.6759776536312849,1,
Ahman Green,0.1907894736842105,0.4347826086956521,0.8516129032258064,0.958904109589041,0.9867549668874172,0.9746835443037974,0.9700598802395208,0.9155844155844156,0.8366013071895425,0,0.7947019867549668
Alfred Morris,0.4654088050314465,0.6845238095238095,0.8830409356725146,0.8379888268156425,0.8387096774193549,0.7923497267759563,0.7074468085106383,0.7474226804123711,0.641860465116279,1,
Amp Lee,0.2720588235294117,0.5149253731343284,0.8642857142857143,0.8758169934640523,0.852112676056338,0.88,0.868421052631579,0.7950310559006211,0.5806451612903226,1,
Anthony Johnson 3,0.1917808219178082,0.4117647058823529,0.5223880597014925,0.4285714285714285,0.4117647058823529,0.6549295774647887,0.6933333333333334,0.743421052631579,0.5403726708074534,0,0.5741935483870968
Antowain Smith,0.3666666666666666,0.5526315789473685,0.8012422360248447,0.6967741935483871,0.8287671232876712,0.8807947019867549,0.8987341772151899,0.8323353293413174,0.7337662337662337,1,
Barry Redden,0.1151515151515151,0.4113924050632911,0.654320987654321,0.6903225806451613,0.7953216374269005,0.8036363636363636,0.6103896103896104,0.448051948051948,0.3223684210526316,1,
Barry Sanders,0.3961038961038961,0.868421052631579,0.9931506849315068,0.9926470588235294,0.9925373134328358,0.9928571428571428,1.0,1.0,1.0,0,1.0
Bernie Parmalee,0.1323529411764706,0.3358208955223881,0.6857142857142857,0.8823529411764706,0.8591549295774648,0.72,0.5789473684210527,0.639751552795031,0.6645161290322581,1,
Bilal Powell,0.0204081632653061,0.3144654088050314,0.6190476190476191,0.7368421052631579,0.7877094972067039,0.8817204301075269,0.9672131147540984,0.9148936170212766,0.8041237113402062,1,
Blaine Gabbert,0.0,0.0,0.0059523809523809,0.2456140350877192,0.3128491620111732,0.3817204301075269,0.2896174863387978,0.2127659574468085,0.0360824742268041,0,0.1069767441860465
Bob Christian,0.1119402985074626,0.3571428571428571,0.5620915032679739,0.4014084507042254,0.2866666666666667,0.4078947368421052,0.7888198757763976,0.8193548387096774,0.8767123287671232,0,0.7748344370860927
Brad Hoover,0.1870967741935484,0.3424657534246575,0.6158940397350994,0.620253164556962,0.7005988023952096,0.6038961038961039,0.6013071895424836,0.5165562913907285,0.4774193548387097,0,0.4585987261146497
Brandon Bolden,0.2515723270440251,0.5952380952380952,0.6842105263157895,0.6703910614525139,0.4623655913978494,0.5081967213114754,0.5851063829787234,0.7216494845360825,0.5906976744186047,0,0.5275229357798165
Brandon Jacobs,0.1753246753246753,0.477124183006536,0.7682119205298014,0.8516129032258064,0.89171974522293,0.9090909090909092,0.8095238095238095,0.6855345911949685,0.5476190476190477,1,
Brian Hoyer,0.0828025477707006,0.0714285714285714,0.0816326530612244,0.2830188679245283,0.3928571428571428,0.3450292397660818,0.217877094972067,0.0268817204301075,0.0218579234972677,0,0.0053191489361702
Brian Mitchell 2,0.131578947368421,0.3219178082191781,0.6323529411764706,0.7014925373134329,0.8928571428571429,0.8888888888888888,0.8873239436619719,0.8466666666666667,0.8157894736842105,0,0.8385093167701864
Brian Westbrook,0.1324503311258278,0.689873417721519,0.940119760479042,0.9935064935064936,0.9869281045751634,0.9933774834437086,0.9935483870967742,0.9872611464968152,0.9025974025974026,1,
Buford Mcgee,0.2962962962962963,0.4516129032258064,0.6549707602339181,0.6945454545454546,0.487012987012987,0.6103896103896104,0.75,0.7465753424657534,0.5661764705882353,1,
Charles White,0.1860465116279069,0.4277108433734939,0.7878787878787878,0.5316455696202531,0.4382716049382716,0.2967741935483871,0.543859649122807,0.88,0.7142857142857143,1,
Charlie Garner,0.1928571428571428,0.5555555555555556,0.8028169014084507,0.86,0.8092105263157895,0.937888198757764,0.9612903225806452,0.9726027397260274,0.9735099337748344,0,0.9556962025316456
Chester Taylor,0.1920529801324503,0.4367088607594936,0.7305389221556886,0.8051948051948052,0.8888888888888888,0.8874172185430463,0.864516129032258,0.7707006369426752,0.6558441558441559,0,0.5714285714285714
Chris Ivory,0.2727272727272727,0.4625850340136054,0.7295597484276729,0.7857142857142857,0.8187134502923976,0.8938547486033519,0.8118279569892473,0.6502732240437158,0.4414893617021276,1,
Chris Johnson,0.5419354838709678,0.9681528662420382,1.0,0.9931972789115646,0.9622641509433962,0.9285714285714286,0.9298245614035088,0.905027932960894,0.8010752688172043,0,0.6174863387978142
Chris Warren 2,0.1710526315789473,0.2808219178082192,0.6470588235294118,0.7686567164179104,0.9785714285714284,0.9869281045751634,0.9859154929577464,0.94,0.9013157894736842,0,0.8074534161490683
Chuck Muncie,0.3529411764705882,0.7070063694267515,0.902439024390244,0.9476744186046512,0.9418604651162792,0.9578313253012049,0.9757575757575756,0.9556962025316456,0.8703703703703703,1,
Cleo Miller,0.2949640287769784,0.3642857142857142,0.5882352941176471,0.7261146496815286,0.8292682926829268,0.8023255813953488,0.6104651162790697,0.6024096385542169,0.4666666666666667,1,
Clinton Portis,0.5960264900662252,0.9493670886075948,0.9820359281437124,0.974025974025974,0.9215686274509804,0.913907284768212,0.8774193548387097,0.8343949044585988,0.7402597402597403,1,
Corey Dillon,0.5466666666666666,0.875,0.9751552795031057,0.9741935483870968,0.9794520547945206,0.9536423841059604,0.8860759493670886,0.8802395209580839,0.8701298701298701,0,0.9281045751633988
Correll Buckhalter,0.2328767123287671,0.2781456953642384,0.5822784810126582,0.3413173652694611,0.2987012987012987,0.2026143790849673,0.5364238410596026,0.8193548387096774,0.7898089171974523,0,0.7077922077922078
Cory Schlesinger,0.0065359477124183,0.0140845070422535,0.1133333333333333,0.2894736842105263,0.391304347826087,0.6064516129032258,0.7602739726027398,0.7284768211920529,0.7341772151898734,0,0.6107784431137725
