Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Retire,NextPercentile
James Farrior,0.3936348408710218,0.3957654723127036,0.5491419656786272,0.7323529411764705,0.9296246648793566,0.9323548181238036,0.9567367119901112,0.975609756097561,0.987303506650544,0.9927579963789982,0.9809410363311496,0,0.9831730769230768
Michael Bennett,0.1233243967828418,0.1991065730695596,0.2058096415327565,0.1115853658536585,0.0326481257557436,0.0941460470730235,0.1399642644431209,0.1550480769230769,0.2117224880382775,0.2446172248803828,0.4240282685512367,0,0.4534746760895171
Anthony Becht,0.3235294117647059,0.363941018766756,0.4154435226547543,0.3967861557478368,0.3536585365853658,0.1644498186215235,0.2715751357875678,0.1310303752233472,0.1502403846153846,0.1919856459330143,0.1996466431095406,0,0.2905569007263922
LaDainian Tomlinson,0.1233243967828418,0.0887045309508615,0.145859085290482,0.1310975609756097,0.1958887545344619,0.1508750754375377,0.1882072662298987,0.2073317307692307,0.2362440191387559,0.1065959952885747,0.1035108958837772,1,
Mark Lee,0.5429447852760736,0.7178899082568807,0.801980198019802,0.6698841698841699,0.7504621072088724,0.8639705882352942,0.8526785714285714,0.8169811320754717,0.6116322701688556,0.5984990619136961,0.3358348968105065,1,
Kelly Gregg,0.4892761394101876,0.6419910657306956,0.7657601977750309,0.8341463414634146,0.8548972188633616,0.8817139408569704,0.8904109589041096,0.8299278846153846,0.7822966507177034,0.715547703180212,0.7572639225181598,1,
Mario Addison,0.397094430992736,0.5742753623188406,0.7261833433193529,0.8491353607632678,0.8753709198813057,0.9325513196480938,0.9503504672897196,0.972189349112426,0.9695885509838998,0.9324009324009324,0.933870040253019,0,0.8478520286396182
Flozell Adams,0.2588235294117647,0.131367292225201,0.0899808551372048,0.0797280593325092,0.4432926829268293,0.4516324062877871,0.4544357272178636,0.0446694460988683,0.180889423076923,0.208133971291866,0.2797408716136631,1,
John Anderson,0.4926470588235294,0.445993031358885,0.4884488448844885,0.5705521472392638,0.9059633027522936,0.9762376237623762,0.9787644787644788,0.9463955637707948,0.7261029411764706,0.8125,0.6283018867924528,0,0.6885553470919324
Tony Casillas,0.2389705882352941,0.5863095238095238,0.6679245283018868,0.7485928705440901,0.6416510318949343,0.6303939962476548,0.5241635687732342,0.6204933586337761,0.5500945179584121,0.5307167235494881,0.3511187607573149,0,0.3802345058626465
Nate Burleson,0.0797280593325092,0.2402439024390243,0.3355501813784764,0.3651176825588413,0.357355568790947,0.2950721153846153,0.3086124401913875,0.2597173144876325,0.3613801452784503,0.3448067632850241,0.3618933493109647,1,
Brandon Moore,0.4601148691767709,0.5018541409147095,0.5042682926829268,0.4408536585365853,0.3633615477629988,0.3385731559854897,0.3156306578153289,0.3186481593240796,0.6021441334127456,0.6021634615384616,0.6016746411483254,0,0.1012956419316843
Terry Cousin,0.3827361563517915,0.5834633385335414,0.8080882352941177,0.8257372654155496,0.818761965539247,0.8553770086526576,0.7932926829268293,0.7950423216444982,0.8020519010259505,0.8290649195949971,0.7644230769230769,1,
Anquan Boldin,0.1915945611866502,0.275,0.3742442563482466,0.40012070006035,0.372840976771888,0.3816105769230769,0.3618421052631579,0.411660777385159,0.3728813559322034,0.3647342995169082,0.3265428400239664,0,0.3136553369111509
Derrick Thomas,0.525328330206379,0.8574108818011257,0.9906191369606004,0.9981412639405204,1.0,0.994328922495274,0.9744027303754266,0.9896729776247848,0.9547738693467336,0.977198697068404,0.9563182527301092,1,
Mario Williams,0.6928183464091732,0.9213817748659916,0.9849759615384616,0.9904306220095692,0.9740871613663132,0.9164648910411622,0.913647342995169,0.9376872378669864,0.9821109123434704,0.9554896142433236,0.8838709677419355,1,
James Jones,0.2720450281425891,0.3438661710037174,0.4174573055028463,0.3156899810964083,0.2883959044368601,0.1841652323580034,0.2747068676716918,0.3876221498371335,0.5273010920436817,0.7580882352941176,0.7171581769436998,0,0.6190172303765157
Donald Penn,0.1042287075640262,0.1905048076923076,0.2673444976076555,0.2208480565371024,0.259685230024213,0.25,0.2540443379269023,0.1806797853309481,0.2362017804154302,0.2346041055718475,0.1664719626168224,0,0.129585798816568
Too Tall Jones,0.0672645739910313,0.0788381742738589,0.0984251968503937,0.0183823529411764,0.0278745644599303,0.0462046204620462,0.0552147239263803,0.5825688073394495,0.7643564356435644,0.9247104247104247,0.8946395563770795,0,0.9044117647058824
Kevin Greene,0.1580882352941176,0.5699404761904762,0.7396226415094339,0.8442776735459663,0.8667917448405253,0.7166979362101313,0.5631970260223048,0.5047438330170778,0.6748582230623819,0.7320819112627986,0.7917383820998278,0,0.7185929648241206
Darrell Green,0.4673267326732673,0.7181467181467182,0.7985212569316081,0.8235294117647058,0.8541666666666666,0.8113207547169812,0.6566604127579737,0.6041275797373359,0.7485928705440901,0.7769516728624535,0.7817836812144212,0,0.7561436672967864
Tim McDonald,0.1849056603773584,0.6322701688555347,0.8480300187617261,0.8818011257035647,0.7286245353159851,0.5597722960151803,0.5614366729678639,0.7508532423208191,0.7401032702237521,0.6515912897822446,0.5814332247557004,0,0.5959438377535101
Jon Kitna,0.3102941176470588,0.306970509383378,0.3005743458838545,0.2558714462299135,0.1823170731707317,0.1469165659008464,0.296318648159324,0.3204288266825491,0.3389423076923077,0.2362440191387559,0.163133097762073,1,
Grady Jackson,0.3403908794788273,0.5522620904836193,0.9058823529411764,0.9182305630026808,0.9298021697511168,0.907292954264524,0.8554878048780488,0.8198307134220073,0.7296318648159325,0.7409172126265634,0.7037259615384616,0,0.7135167464114832
Reggie White,0.2587800369685767,0.5422794117647058,0.8601190476190477,0.8773584905660378,0.8574108818011257,0.8686679174484052,0.8555347091932458,0.7732342007434945,0.4776951672862453,0.3377609108159393,0.3648393194706994,0,0.3931947069943289
