Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Clarence Scott,0.2727272727272727,0.6715328467153284,0.5747126436781609,0.864321608040201,0.8627450980392157,0.8923766816143498,0.7883817427385892,0.8503937007874016,0.8566176470588235,0.8536585365853658,0.7095709570957096,0.8159509202453987,0,0.9013761467889908
Ronnie Lott,0.9079754601226994,0.993119266055046,0.996039603960396,0.9633204633204632,0.9371534195933456,0.9852941176470588,0.9910714285714286,0.9962264150943396,0.9662288930581614,0.924953095684803,0.8949343339587242,0.9089219330855018,0,0.967741935483871
Ray Crockett,0.1819887429643527,0.5328330206378987,0.9118198874296436,0.9721189591078068,0.9563567362428842,0.8431001890359168,0.8071672354948806,0.8347676419965576,0.8760469011725294,0.8876221498371335,0.8658346333853354,0.9426470588235294,0,0.8947721179624665
Reggie Williams1,0.2116182572614107,0.6850393700787402,0.7389705882352942,0.7003484320557491,0.5181518151815182,0.50920245398773,0.6903669724770642,0.6198019801980198,0.5926640926640927,0.4621072088724584,0.4227941176470588,0.4375,0,0.3075471698113207
Matt Hasselbeck,0.1890080428954423,0.204211869814933,0.3090234857849196,0.3018292682926829,0.3162031438935913,0.2703681351840676,0.1155449672424061,0.0865384615384615,0.1919856459330143,0.2597173144876325,0.2808716707021791,0.2077294685990338,1,
Keith Brooking,0.3355048859934853,0.5475819032761311,0.8382352941176471,0.9162198391420912,0.9585194639438416,0.969715698393078,0.9695121951219512,0.9727932285368804,0.975859987929994,0.9541393686718284,0.9068509615384616,0.8971291866028708,0,0.904004711425206
Quentin Jammer,0.582003828972559,0.7428924598269468,0.8091463414634147,0.8536880290205562,0.8672299336149668,0.8814770696843359,0.9308894230769232,0.917464114832536,0.9257950530035336,0.8450363196125908,0.9160628019323672,0.889754343918514,1,
Matt Blair,0.0784313725490196,0.2914798206278027,0.5311203319502075,0.547244094488189,0.6507352941176471,0.6515679442508711,0.7491749174917491,0.8190184049079755,0.9311926605504588,0.9564356435643564,0.9073359073359072,0.6968576709796673,1,
Tony McDaniel,0.5165962582981292,0.5348421679571174,0.5991586538461539,0.6166267942583732,0.6914016489988222,0.700363196125908,0.6896135265700483,0.7285799880167765,0.7012522361359571,0.715727002967359,0.7008797653958945,0.6617990654205608,1,
Lorenzo Alexander,0.3496128648004765,0.5847355769230769,0.7093301435406698,0.8368669022379269,0.8123486682808717,0.8121980676328503,0.6794487717195926,0.6702444841979726,0.5305637982195845,0.8997067448680351,0.9608644859813084,0.993491124260355,0,0.9582587954680978
Orlando Scandrick,0.5631009615384616,0.7356459330143541,0.850412249705536,0.8734866828087167,0.8097826086956522,0.8124625524266027,0.855098389982111,0.8445103857566766,0.8621700879765396,0.7867990654205608,0.8479289940828403,0.8187239117471675,1,
Stephen Gostkowski,0.2287266143633071,0.3793924955330554,0.4212740384615384,0.5083732057416268,0.4876325088339223,0.4842615012106537,0.4027777777777778,0.4319952067106051,0.3488372093023256,0.2189910979228486,0.1196480938416422,0.0420560747663551,0,0.0343195266272189
Thomas Jones,0.3102941176470588,0.2607238605898123,0.2641991065730695,0.2058096415327565,0.1115853658536585,0.1789600967351874,0.2389861194930597,0.2757593805836807,0.2782451923076923,0.2673444976076555,0.2208480565371024,0.137409200968523,1,
Carl Banks,0.2258687258687258,0.354898336414048,0.71875,0.9553571428571428,0.958490566037736,0.9587242026266416,0.8311444652908068,0.8480300187617261,0.6672862453531598,0.6603415559772297,0.5595463137996219,0.5784982935153583,1,
Josh Brown,0.292336217552534,0.3817073170731707,0.4268440145102781,0.4091732045866023,0.3960690887432996,0.3846153846153846,0.4037081339712918,0.3875147232037691,0.3105326876513317,0.1968599033816425,0.1180347513481126,0.1806797853309481,0,0.2362017804154302
Seth Joyner,0.21875,0.7723214285714286,0.9358490566037736,0.9681050656660412,0.9343339587242028,0.9849906191369606,0.9962825278810408,0.9981024667931688,0.9848771266540642,0.9146757679180888,0.9380378657487092,0.7788944723618091,1,
Shayne Graham,0.3217158176943699,0.2807913209955329,0.4184177997527812,0.4073170731707317,0.4824667472793228,0.4689197344598672,0.4443120905300774,0.2674278846153846,0.3145933014354067,0.3150765606595995,0.1186440677966101,0.1630434782608695,1,
Pepper Johnson,0.1654411764705882,0.6815476190476191,0.8886792452830189,0.9606003752345216,0.9324577861163228,0.8761726078799249,0.9070631970260224,0.8709677419354839,0.8355387523629489,0.8395904436860068,0.7848537005163512,0.6599664991624791,0,0.4690553745928338
Justin Houston,0.7161016949152542,0.8882850241545893,0.962852007189934,0.9958258795468098,0.9952522255192878,0.9894428152492668,0.9509345794392524,0.9769230769230768,0.9910554561717352,0.9912587412587412,0.9654974123059228,0.9391408114558472,0,0.8473618090452262
Clyde Simmons,0.0496323529411764,0.5654761904761905,0.7339622641509433,0.9624765478424016,0.9681050656660412,0.9887429643527204,0.9684014869888476,0.9601518026565464,0.8771266540642723,0.9453924914675768,0.9518072289156626,0.9698492462311558,0,0.8306188925081434
Domata Peko,0.6288473144236573,0.7248362120309708,0.7944711538461539,0.7559808612440191,0.7538280329799765,0.7530266343825666,0.8031400966183575,0.8322348711803476,0.7984496124031008,0.7940652818991097,0.7777126099706745,0.7751168224299065,0,0.7059171597633136
Jerry Ball,0.2693452380952381,0.3415094339622641,0.6529080675422139,0.6679174484052532,0.6941838649155723,0.5687732342007435,0.7077798861480076,0.7069943289224953,0.689419795221843,0.7022375215146299,0.5628140703517588,0.4250814332247557,0,0.1544461778471139
Cornelius Bennett,0.7648809523809523,0.9716981132075472,0.9906191369606004,0.99812382739212,0.9962476547842402,0.9925650557620818,0.9487666034155596,0.9017013232514176,0.9505119453924916,0.9311531841652324,0.9396984924623116,0.8599348534201955,0,0.9282371294851794
