Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Retire,NextPercentile
Dexter Davis,0.1728624535315985,0.1707779886148007,0.1776937618147448,0.0784982935153583,0.0774526678141136,0.0770519262981574,0.0684039087947882,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.0153158902361199,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.0327575938058368,0.0372596153846153,0,0.0370813397129186
Anthony Davis,0.1689419795221843,0.3734939759036144,0.4522613065326633,0.5488599348534202,0.4118564742589704,0.6691176470588235,0.4450402144772118,0.4460753031269943,0.0210135970333745,0.0274390243902439,0.0918984280532043,0.1188895594447797,0.1155449672424061,0.0865384615384615,0.0370813397129186,0.1012956419316843,0.059322033898305,0,0.1998792270531401
Junior Seau,0.0562851782363977,0.4090056285178236,0.8122676579925651,0.9165085388994308,0.9565217391304348,0.9795221843003412,0.9931153184165232,0.9949748743718592,0.972312703583062,0.921996879875195,0.9463235294117648,0.9403485254691688,0.9329929802169752,0.9110012360939432,0.874390243902439,0.8168077388149939,0.7929993964996982,0,0.8564621798689697
Tom Brady,0.2446380697050938,0.2520740268028079,0.2583436341161928,0.1926829268292683,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.1630434782608695,0.1252246854403834,0.1991651759093619,0.2456973293768546,0.2545454545454545,0.1921728971962616,0,0.1159763313609467
Ray Lewis,0.3803786574870912,0.7286432160804021,0.9071661237785016,0.9719188767550702,0.9816176470588236,0.9959785522788204,0.9783024888321634,0.9962917181705808,0.9859756097560975,0.9788391777509068,0.9462884731442366,0.9624776652769506,0.9951923076923076,0.9946172248803828,0.9952885747938752,0.988498789346247,0.969806763285024,1,
Mike Adams,0.5493902439024391,0.8246674727932285,0.859987929993965,0.8665872543180465,0.7566105769230769,0.791267942583732,0.8392226148409894,0.8910411622276029,0.8810386473429952,0.8671497584541062,0.7465548232474536,0.6860395446375075,0.6893261776982708,0.7734048896839595,0.9602373887240356,0.9882697947214076,0.9970794392523364,0,0.981656804733728
Shane Lechler,0.1890080428954423,0.2782386726228462,0.3300370828182942,0.2536585365853658,0.1082224909310761,0.20036210018105,0.2495533055390113,0.2854567307692308,0.1722488038277512,0.163133097762073,0.137409200968523,0.2077294685990338,0.2792091072498502,0.1926058437686344,0.1394658753709199,0.2510263929618768,0.3475467289719626,1,
Jimmy Smith,0.3102941176470588,0.1963806970509383,0.1550733886407147,0.1915945611866502,0.3048780487804878,0.3760580411124546,0.3246831623415812,0.1667659321024419,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.6404358353510896,0.6884057971014492,0.7878969442780108,0.7686344663088849,0.8646884272997033,0.8310850439882698,0,0.8942757009345794
James Jones,0.2720450281425891,0.3438661710037174,0.4174573055028463,0.3156899810964083,0.2883959044368601,0.1841652323580034,0.2747068676716918,0.3876221498371335,0.5273010920436817,0.7580882352941176,0.7171581769436998,0.6190172303765157,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.1042287075640262,0,0.1033653846153846
Jason Witten,0.2428924598269468,0.3939024390243902,0.4347037484885127,0.4345202172601086,0.3722453841572364,0.2878605769230769,0.3038277511961722,0.2703180212014134,0.3220338983050847,0.2747584541062802,0.3307369682444577,0.3220035778175313,0.3566765578635015,0.3865102639296188,0.304322429906542,0.2023668639053254,0.1067382230172927,1,
Darrell Green,0.4673267326732673,0.7181467181467182,0.7985212569316081,0.8235294117647058,0.8541666666666666,0.8113207547169812,0.6566604127579737,0.6041275797373359,0.7485928705440901,0.7769516728624535,0.7817836812144212,0.7561436672967864,0.8242320819112628,0.8812392426850258,0.8894472361809045,0.8697068403908795,0.7722308892355694,0,0.8823529411764706
Bruce Smith,0.4140480591497227,0.7775735294117647,0.988095238095238,0.9886792452830188,0.9774859287054408,1.0,0.9943714821763602,0.9944237918215614,0.9411764705882352,0.9924385633270322,0.9948805460750854,0.9982788296041308,0.981574539363484,0.978827361563518,0.93603744149766,0.9889705882352942,0.9785522788203752,0,0.98085513720485
