Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Larry Whigham,0.2362948960302457,0.2559726962457337,0.2547332185886403,0.4807370184254606,0,0.5700325732899023
Haloti Ngata,0.6729028364514182,0.7939249553305538,0.8641826923076923,0.8702153110047847,0,0.8722025912838633
Derreck Robinson,0.2212817412333736,0.5395292697646349,0.5598570577724836,0.5588942307692307,0,0.3564593301435406
Andra Davis,0.559029993618379,0.7824474660074165,0.8804878048780488,0.9534461910519952,0,0.9432709716354858
Chris Cooley,0.5225609756097561,0.533857315598549,0.5365117682558841,0.2757593805836807,0,0.2518028846153846
Darryl Grant,0.2224770642201834,0.5207920792079208,0.6853281853281853,0.7190388170055453,0,0.6488970588235294
Reyna Thompson,0.1013133208255159,0.0863039399624765,0.4962825278810409,0.5464895635673624,1,
Kenny Holmes,0.3953098827470687,0.5195439739413681,0.672386895475819,0.9073529411764706,0,0.953083109919571
Donte Whitner,0.6982498491249246,0.8260869565217391,0.8804086538461539,0.9066985645933014,0,0.941696113074205
Matt Dickerson,0.2994082840236686,0.3625521765056649,0.4545454545454545,0.4232317423806785,0,0.4582338902147971
Pat Terrell,0.1144465290806754,0.2420262664165103,0.2267657992565055,0.3206831119544592,0,0.2117202268431001
Daniel Graham,0.2399489470325462,0.3757725587144623,0.5451219512195122,0.5465538089480049,0,0.5377187688593844
Eugene Monroe,0.1630434782608695,0.1977231875374475,0.1890280262373285,0.1643916913946587,1,
Kellen Winslow,0.28002414001207,0.3299583085169744,0.3485576923076923,0.3325358851674641,0,0.2703180212014134
Garett Bolles,0.2476635514018691,0.2887573964497041,0.3494335122242099,0.3473193473193473,1,
Ryan McNeil,0.1726755218216318,0.2476370510396975,0.3856655290102389,0.4492254733218588,0,0.7621440536013401
Akeem Jordan,0.4687313877307921,0.6616586538461539,0.7763157894736842,0.7885747938751473,0,0.7415254237288136
James Washington~,0.0660377358490566,0.0712945590994371,0.3208255159474671,0.3864915572232645,0,0.5055762081784386
Vince Young,0.1436330718165359,0.1995235259082787,0.2103365384615384,0.2117224880382775,1,
Tyronne Drakeford,0.1323251417769376,0.5716723549488054,0.7280550774526678,0.8140703517587939,0,0.8061889250814332
Nick Foles,0.1068840579710145,0.1378070701018574,0.2128801431127012,0.1489614243323442,0,0.1196480938416422
Mark Campbell,0.175,0.0509383378016085,0.1001914486279515,0.0797280593325092,0,0.1310975609756097
Justin Zimmer,0.3709004174120453,0.6078088578088578,0.6474985623921794,0.6318615751789977,1,
Roderick Coleman,0.6323529411764706,0.7567024128686327,0.8723675813656668,0.88442521631644,0,0.948170731707317
Dontae Johnson,0.6601073345259392,0.6890207715133532,0.7278592375366569,0.7832943925233645,0,0.7568047337278107
Tim Bowens,0.4234404536862003,0.6467576791808873,0.7796901893287436,0.7855946398659966,0,0.6530944625407166
Corbin Bryant,0.5314559616536848,0.6440071556350626,0.6997032640949555,0.7085043988269795,1,
Marcus Johnson,0.0941460470730235,0.0589636688505062,0.0865384615384615,0.0370813397129186,0,0.0400471142520612
Anthony Hitchens,0.655933214072749,0.7780415430267063,0.86158357771261,0.8843457943925234,0,0.9029585798816568
Brandon Hughes,0.2979976442873969,0.4667070217917675,0.5531400966183575,0.5590173756740563,1,
Matt Jones,0.1390568319226118,0.1804465902232951,0.1715306730196545,0.134014423076923,0,0.104066985645933
Devin Hester,0.3789981894990947,0.391304347826087,0.4056490384615384,0.2200956937799043,0,0.2208480565371024
Alvin Pearman,0.492744860943168,0.5063367531683766,0.5253126861226921,0.3840144230769231,0,0.4144736842105263
Dave Puzzuoli,0.198019801980198,0.3841698841698842,0.3863216266173752,0.4393382352941176,0,0.5491071428571429
Alfred Morris,0.2192028985507246,0.2564409826243259,0.3398926654740608,0.2789317507418398,0,0.2797653958944281
Jason Worilds,0.5942285041224971,0.7167070217917676,0.7928743961352657,0.8849610545236669,0,0.94335122242099
Nick Moody,0.3151587777112043,0.4997018485390578,0.4824925816023739,0.4879765395894428,1,
DeAngelo Hall,0.7018292682926829,0.880894800483676,0.9535304767652384,0.969029184038118,0,0.958533653846154
Tony Fisher,0.4543714103382259,0.5080346106304079,0.5402439024390244,0.5096735187424426,0,0.4743512371756186
Darius Holland,0.1399317406143344,0.1308089500860585,0.1306532663316583,0.0684039087947882,0,0.2886115444617784
Eric Hill,0.0262664165103189,0.1069418386491557,0.1350844277673546,0.0947955390334572,0,0.0929791271347248
Matt Bryant,0.0727504786215698,0.2707045735475896,0.2963414634146341,0.307738814993954,0,0.3065781532890766
Tim Jennings,0.3452021726010863,0.5836807623585467,0.7854567307692307,0.8690191387559809,0,0.9151943462897526
Ramon Foster,0.1035108958837772,0.1739130434782608,0.231276213301378,0.2128801431127012,0,0.2902077151335311
L.J. Shelton,0.3235294117647059,0.2459785522788203,0.2080408423739629,0.0210135970333745,0,0.0274390243902439
Shareece Wright,0.2560532687651332,0.5464975845410628,0.7165967645296585,0.7531305903398927,0,0.7454005934718101
Isaiah Mack,0.5557543231961837,0.5635198135198135,0.5951696377228292,0.4534606205250596,1,
Jeremy Ross,0.1068840579710145,0.3445176752546435,0.407871198568873,0.4053412462908012,1,
Nolan Cromwell,0.2610294117647059,0.686411149825784,0.9702970297029704,0.9877300613496932,0,0.9908256880733946
Tyoka Jackson,0.2160804020100502,0.4348534201954397,0.485179407176287,0.6919117647058823,0,0.7084450402144772
Zach Brown,0.8888888888888888,0.957459556620731,0.9612403100775194,0.8729970326409495,0,0.9219941348973608
Bruce Taylor,0.8787878787878788,0.8978102189781022,0.8793103448275862,0.8793969849246231,0,0.7303921568627451
Ryan Stewart,0.2185886402753872,0.202680067001675,0.2084690553745928,0.0904836193447738,1,
Sam Koch,0.1436330718165359,0.2525312686122692,0.3131009615384615,0.2793062200956938,0,0.2208480565371024
Ron Bolton,0.6834170854271356,0.8970588235294118,0.9641255605381166,0.950207468879668,0,0.9212598425196852
Jovan Belcher,0.5418660287081339,0.7461719670200235,0.8062953995157385,0.8067632850241546,1,
Kevin Walter,0.399876390605686,0.4573170731707317,0.5308343409915357,0.5268557634278818,0,0.6247766527695057
Matt Feiler,0.1699463327370304,0.3146853146853147,0.3283496262219667,0.2547732696897374,0,0.1507537688442211
Demar Dotson,0.1068840579710145,0.1378070701018574,0.2128801431127012,0.1489614243323442,0,0.1196480938416422
Spencer Larsen,0.4735576923076923,0.5011961722488039,0.5141342756183745,0.4424939467312349,0,0.4064009661835748
Paul Kruger,0.5980861244019139,0.6213191990577149,0.7421307506053268,0.8448067632850241,0,0.9089275014979028
Dan Buenning,0.2212817412333736,0.2317441158720579,0.2197736748064324,0.0757211538461538,1,
Eric Foster,0.5228365384615384,0.7051435406698564,0.8080094228504122,0.788135593220339,1,
Mason Crosby,0.2930315664085765,0.3713942307692308,0.4252392344497607,0.3957597173144876,0,0.4836561743341404
Austin Calitro,0.5911242603550296,0.6601073345259392,0.6555944055944056,0.5842438182863715,0,0.4218377088305489
Brad Meester,0.175,0.0509383378016085,0.0197830248883216,0.1915945611866502,0,0.2298780487804878
Harry Carson,0.5,0.6306620209059234,0.6798679867986799,0.2699386503067484,0,0.4747706422018348
Ibraheim Campbell,0.4516320474777448,0.6082111436950146,0.6536214953271028,0.6982248520710059,0,0.6905187835420393
Denard Robinson,0.2121030557219892,0.3464519976147883,0.4213649851632047,0.5043988269794721,1,
Jerheme Urban,0.2115853658536585,0.2249093107617896,0.2329511164755582,0.2686122692078618,0,0.4266826923076923
Robert Royal,0.0274390243902439,0.0326481257557436,0.5485817742908872,0.5658129839189994,0,0.5679086538461539
Stacy Andrews,0.0941460470730235,0.1399642644431209,0.1550480769230769,0.1160287081339712,0,0.1012956419316843
Alfred Oglesby,0.5159474671669794,0.5834896810506567,0.5427509293680297,0.064516129032258,0,0.2041587901701323
C.J. Spiller,0.1472320376914016,0.1186440677966101,0.1225845410628019,0.0437387657279808,0,0.0429338103756708
Sam Shields,0.6030624263839811,0.8184019370460048,0.8822463768115942,0.9215098861593768,0,0.9016100178890876
Ryan Grant,0.3097081596188207,0.3088942307692308,0.3349282296650718,0.0400471142520612,0,0.0405569007263922
Brandon Manumaleuna,0.1890080428954423,0.204211869814933,0.2818294190358467,0.2298780487804878,0,0.281136638452237
Chris Spielman,0.4971857410881801,0.6923076923076923,0.9136960600375236,0.9052044609665428,0,0.9430740037950665
Alfred Williams,0.3076923076923077,0.7342007434944238,0.7722960151802657,0.833648393194707,0,0.7440273037542662
Manti Te'o,0.6123427201917315,0.7251043530113298,0.8094955489614243,0.7976539589442815,0,0.7774532710280374
Jyles Tucker,0.7159023228111971,0.8173076923076923,0.8229665071770335,0.7202591283863369,1,
Adalius Thomas,0.7285522788203753,0.8832163369495852,0.9289245982694684,0.9689024390243902,0,0.9921402660217654
Rocky Bernard,0.6738991703892788,0.7169344870210136,0.801219512195122,0.8367593712212817,0,0.8901629450814725
George Teague,0.2789373814041745,0.504725897920605,0.7457337883959044,0.8003442340791739,0,0.8023450586264657
Thomas Smith,0.0964083175803402,0.2354948805460751,0.2874354561101549,0.2110552763819095,0,0.1270358306188925
Delano Hill,0.3773364485981308,0.5284023668639053,0.5873583780560525,0.5909090909090909,1,
Dez White,0.2588235294117647,0.2158176943699732,0.3280153158902361,0.3288009888751545,0,0.3213414634146341
Travis Taylor,0.175,0.3150134048257372,0.3120612635609445,0.3739184177997527,0,0.2554878048780488
Blake Bortles,0.1806797853309481,0.2955489614243323,0.3319648093841642,0.2745327102803738,0,0.2189349112426035
Michael Jenkins,0.3835365853658536,0.4062877871825877,0.4103802051901026,0.2644431209053007,0,0.2319711538461538
Patrick Allen,0.0772200772200772,0.0720887245841035,0.3511029411764705,0.5714285714285714,0,0.5943396226415094
John Phillips,0.1429425837320574,0.1472320376914016,0.5411622276029056,0.591183574879227,0,0.6177351707609346
Leonard Weaver,0.3446191051995163,0.3464091732045866,0.5217391304347826,0.5060096153846154,0,0.5299043062200957
Nicholas Williams,0.4267062314540059,0.4674486803519062,0.477803738317757,0.4248520710059171,0,0.6791890280262374
Mychal Kendricks,0.6268115942028986,0.895745955662073,0.9666070363744782,0.9821958456973294,0,0.9085043988269794
Dan Benish,0.0198019801980198,0.0675675675675675,0.2680221811460259,0.2261029411764706,0,0.4166666666666667
Keary Colbert,0.1506097560975609,0.2563482466747279,0.2957151478575739,0.3156640857653365,1,
Jim Carter,0.218978102189781,0.2758620689655172,0.7236180904522613,0.6715686274509803,1,
Vincent Brown1,0.0412757973733583,0.1669793621013133,0.2270168855534709,0.4014869888475836,0,0.4421252371916508
William Perry,0.310536044362292,0.5257352941176471,0.7068452380952381,0.4452830188679245,0,0.474671669793621
Lawrence Taylor,0.6042944785276073,0.9472477064220184,0.986138613861386,0.9942084942084942,0,0.988909426987061
Isaiah Ekejiuba,0.3821039903264812,0.4260712130356065,0.4764740917212626,0.5649038461538461,0,0.5915071770334929
Antwaun Molden,0.4603365384615384,0.4712918660287081,0.4958775029446408,0.6700968523002422,0,0.6847826086956522
Jason Hunter,0.3977066988533494,0.5735556879094699,0.6935096153846154,0.8044258373205742,0,0.9075382803297998
Brian Hill,0.2476635514018691,0.2473372781065088,0.4806201550387597,0.4796037296037296,0,0.4761357101782634
Al Smith,0.1013133208255159,0.701688555347092,0.9014869888475836,0.8349146110056926,0,0.7410207939508506
Matt Schaub,0.0941460470730235,0.1399642644431209,0.1550480769230769,0.1668660287081339,0,0.1472320376914016
Eric Brown,0.3478939157566302,0.8169117647058823,0.913538873994638,0.9202297383535418,0,0.9332509270704572
Mark Wheeler,0.3011152416356877,0.349146110056926,0.4631379962192816,0.4129692832764505,0,0.4853700516351119
Bradie James,0.5679851668726823,0.6359756097560976,0.7478839177750907,0.8865419432709717,0,0.949374627754616
Robert Thomas,0.3419117647058823,0.2513404825737265,0.2916400765794512,0.2348436502871729,0,0.6372064276885043
Donte' Curry,0.3411528150134048,0.6528398213146139,0.6687268232385661,0.6853658536585366,0,0.6033857315598549
Visanthe Shiancoe,0.0975609756097561,0.1045949214026602,0.2154496077248038,0.1995235259082787,0,0.3287259615384615
Chris Crocker,0.522867737948084,0.7317073170731707,0.8960096735187424,0.9179239589619796,0,0.9285288862418106
Ike Hilliard,0.175,0.2794906166219839,0.2495213784301212,0.2126081582200247,0,0.0274390243902439
