Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Chad Brown,0.1062618595825427,0.440453686200378,0.5870307167235495,0.7831325301204819,0.6767169179229481,0.7166123778501629,0,0.5538221528861155
DeVante Parker,0.1329376854599406,0.2205278592375366,0.2634345794392523,0.2088757396449704,0.2403100775193798,0.1491841491841491,0,0.2518688901667625
Casey Wiegmann,0.175,0.1595174262734584,0.177409061901723,0.2058096415327565,0.2359756097560975,0.2073760580411124,0,0.2208811104405552
Jarrad Page,0.6946288473144236,0.8457415128052412,0.9501201923076924,0.9186602870813396,0.8621908127208481,0.6779661016949152,1,
Jaquiski Tartt,0.7264094955489614,0.8005865102639296,0.8825934579439252,0.8272189349112427,0.8473464519976148,0.8344988344988346,0,0.8050603795284647
Ethan Westbrooks,0.3899821109123434,0.6308605341246291,0.7519061583577713,0.8054906542056075,0.7585798816568048,0.6434108527131783,0,0.4685314685314685
Darryl Williams,0.6635687732342007,0.9297912713472486,0.9829867674858224,0.9829351535836176,0.9604130808950088,0.9882747068676716,0,0.996742671009772
Bill Currier,0.1850393700787401,0.3014705882352941,0.289198606271777,0.1815181518151815,0.4723926380368098,0.6628440366972477,0,0.7564356435643564
Tom Johnson,0.5744552058111381,0.6727053140096618,0.7273816656680647,0.7906976744186046,0.8219584569732937,0.8504398826979472,0,0.8078271028037384
Charlie Hall,0.1379310344827586,0.1809045226130653,0.4068627450980392,0.5245098039215687,0.6860986547085202,0.6182572614107884,0,0.4921259842519685
Artie Ulmer,0.5889705882352941,0.6246648793565683,0.6439055520102106,0.5778739184177998,0.5530487804878049,0.5241837968561064,1,
Kendall Gammon,0.175,0.1595174262734584,0.177409061901723,0.145859085290482,0.2060975609756097,0.1698911729141475,0,0.3512371756185878
Aaron Rodgers,0.125,0.2033492822966507,0.2208480565371024,0.059322033898305,0.0440821256038647,0.0437387657279808,0,0.1282051282051282
LaDainian Tomlinson,0.1233243967828418,0.0887045309508615,0.145859085290482,0.1310975609756097,0.1958887545344619,0.1508750754375377,0,0.1882072662298987
Darren Waller,0.2635014836795252,0.3976539589442815,0.3960280373831775,0.3674556213017751,0.1502683363148479,0.2779720279720279,0,0.2633697527314548
Fredd Young,0.1583011583011583,0.4417744916820702,0.7628676470588235,0.9955357142857144,0.981132075471698,0.9849906191369606,1,
Michael Bankston,0.1654275092936803,0.5692599620493358,0.7882797731568998,0.8771331058020477,0.8485370051635112,0.7973199329983249,0,0.7768729641693811
Dan Klecko,0.5871446229913473,0.5969512195121951,0.6233373639661427,0.5051297525648762,0.5640262060750447,0.5931490384615384,1,
Kevin Vickerson,0.3311494937462775,0.5955528846153846,0.6399521531100478,0.7656065959952886,0.7009685230024213,0.7632850241545893,0,0.6944278010784901
Stacy McGee,0.5260635110844817,0.5205724508050089,0.5863501483679525,0.6340175953079179,0.6904205607476636,0.6840236686390533,0,0.627906976744186
Eric Warfield,0.2839313572542902,0.6544117647058824,0.8753351206434317,0.9125717932354818,0.9641532756489494,0.947560975609756,0,0.9516324062877872
Billy Miller,0.3985294117647059,0.3592493297587131,0.4677728142948308,0.46168108776267,0.448780487804878,0.2146311970979443,0,0.0325890162945081
Brady Poppinga,0.5767835550181378,0.7604103802051901,0.8046456223942823,0.8197115384615384,0.7302631578947368,0.7073027090694936,0,0.7372881355932204
Shawn Springs,0.2445561139028475,0.8110749185667753,0.9344773790951638,0.9786764705882351,0.8780160857908847,0.828334396936822,0,0.7793572311495673
Nate Washington,0.20036210018105,0.5116140559857058,0.5174278846153846,0.5113636363636364,0.3292108362779741,0.3093220338983051,0,0.3345410628019323
Jake Delhomme,0.0797280593325092,0.1310975609756097,0.2430471584038694,0.188292094146047,0.1113758189398451,0.0372596153846153,0,0.0873205741626794
Teddy Bridgewater,0.1282051282051282,0.0694362017804154,0.1196480938416422,0.0420560747663551,0.0343195266272189,0.0363744782349433,0,0.1165501165501165
Jason Craft,0.5117647058823529,0.6662198391420912,0.8149329929802169,0.8380716934487021,0.8146341463414634,0.8349455864570737,0,0.8334339167169583
Kendrell Bell,0.774798927613941,0.8487555839183153,0.946229913473424,0.8536585365853658,0.8409915356711004,0.6970428485214243,0,0.7016081000595593
T.J. McDonald,0.7231875374475734,0.8354203935599285,0.8813056379821959,0.873900293255132,0.834696261682243,0.8899408284023669,1,
Christian Jones,0.6660703637447823,0.7608308605341246,0.795307917888563,0.8417056074766355,0.842603550295858,0.8789505068574835,0,0.8222610722610723
Sam Cowart,0.4820846905537459,0.6926677067082684,0.9588235294117649,0.9088471849865952,0.9036375239310784,0.8566131025957973,0,0.8835365853658537
Ben Hamilton,0.1289087428206764,0.1915945611866502,0.275,0.2515114873035066,0.2981291490645745,0.1804645622394282,0,0.1941105769230769
Mike Wright,0.4449818621523579,0.6692818346409173,0.6920786182251341,0.7758413461538461,0.8211722488038278,0.8633686690223793,0,0.7923728813559322
Lorenzo Alexander,0.3496128648004765,0.5847355769230769,0.7093301435406698,0.8368669022379269,0.8123486682808717,0.8121980676328503,0,0.6794487717195926
Cedric Brown,0.3385826771653543,0.7757352941176471,0.9337979094076656,0.8844884488448845,0.9662576687116564,0.970183486238532,0,0.9722772277227724
Justin Evans,0.731892523364486,0.8313609467455622,0.8294573643410853,0.6946386946386947,0.02242668200115,0.5769689737470167,0,0.6639447236180904
Terry McDaniel,0.1857410881801125,0.4540337711069418,0.5121951219512195,0.6133828996282528,0.683111954459203,0.8714555765595463,0,0.8976109215017065
Keith Millard,0.4011090573012939,0.6893382352941176,0.8392857142857143,0.8301886792452831,0.9230769230769232,0.926829268292683,0,0.7898686679174484
Jason Avant,0.2564876282438141,0.4621798689696247,0.4741586538461538,0.5592105263157895,0.5259128386336867,0.5127118644067796,0,0.4438405797101449
Steven Means,0.3768723786698622,0.3959451401311866,0.3916913946587537,0.575366568914956,0.5957943925233645,0.6437869822485207,0,0.5533691115086464
Greg Hardy,0.6896348645465253,0.7990314769975787,0.9208937198067632,0.9616536848412224,0.9457364341085271,0.9216617210682492,1,
Corey Webster,0.6178960096735188,0.7579963789981895,0.8266825491363907,0.9020432692307692,0.8755980861244019,0.8975265017667845,0,0.8952784503631961
Matt Bowen,0.4897058823529411,0.5,0.6796426292278238,0.8541409147095179,0.8951219512195122,0.843409915356711,0,0.6336753168376584
Brent Grimes,0.4252531268612269,0.6274038461538461,0.812799043062201,0.9199057714958776,0.9340193704600483,0.856280193236715,0,0.8813660874775314
Joe Schobert,0.5290322580645161,0.8814252336448598,0.9698224852071006,0.9970184853905784,0.9982517482517482,0.9971247843588268,0,0.9719570405727924
Chris Hogan,0.445176752546435,0.4329159212880143,0.5608308605341247,0.5419354838709678,0.548481308411215,0.3130177514792899,0,0.3375074537865236
Kendall Wright,0.1068840579710145,0.2043139604553625,0.3691115086463923,0.3798219584569733,0.3741935483870968,0.2745327102803738,1,
Vic Beasley,0.7234421364985163,0.967741935483871,0.9824766355140186,0.9822485207100592,0.9177101967799642,0.8828671328671329,1,
Jamarca Sanford,0.590311004784689,0.6554770318021201,0.8547215496368039,0.9033816425120772,0.9406830437387658,0.851520572450805,0,0.7519287833827893
Sterling Shepard,0.1612903225806451,0.2663551401869158,0.3449704142011834,0.3476446034585569,0.3455710955710955,0.3530764807360552,0,0.3072792362768496
Drayton Florence,0.453646477132262,0.7073170731707317,0.7678355501813785,0.852142426071213,0.8379988088147707,0.8311298076923077,0,0.8074162679425837
