Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Retire,NextPercentile
Bryan Bulaga,0.1472320376914016,0.1186440677966101,0.1225845410628019,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1612903225806451,0,0.1308411214953271
Billy Miller,0.3985294117647059,0.3592493297587131,0.4677728142948308,0.46168108776267,0.448780487804878,0.2146311970979443,0.0325890162945081,0,0.1042287075640262
Stephen Cooper,0.6013597033374537,0.6652439024390244,0.7249093107617895,0.7761013880506941,0.9017272185824896,0.9543269230769232,0.9748803827751196,0,0.9493521790341578
Lorenzo Bromell,0.4283387622149837,0.5616224648985959,0.8073529411764706,0.8384718498659517,0.8410976388002552,0.8405438813349815,0.6823170731707318,1,
Carson Palmer,0.0975609756097561,0.1590084643288996,0.2933011466505733,0.2817153067301965,0.2854567307692308,0.263755980861244,0.3292108362779741,0,0.3093220338983051
Jerome Henderson,0.2195121951219512,0.587360594795539,0.5332068311195446,0.4196597353497164,0.0631399317406143,0.1514629948364888,0.4472361809045226,0,0.6319218241042345
Mike Haynes,0.7136929460580913,0.889763779527559,0.9852941176470588,0.9651567944250872,0.9207920792079208,0.558282208588957,0.7155963302752294,0,0.5900990099009901
Santana Dotson,0.6096654275092936,0.7400379506641366,0.7637051039697542,0.6604095563139932,0.6402753872633391,0.8073701842546064,0.8078175895765473,0,0.7597503900156006
Igor Olshansky,0.5932926829268292,0.6801692865779927,0.7471333735666867,0.8397855866587254,0.8263221153846154,0.8277511961722488,0.7385159010600707,0,0.7046004842615012
Alshermond Singleton,0.1918876755070203,0.6205882352941177,0.6621983914209115,0.7294192724952138,0.8201483312731768,0.848170731707317,0.8010882708585247,0,0.7308388654194327
Keena Turner,0.3036303630363036,0.5306748466257669,0.7958715596330275,0.8554455445544554,0.861003861003861,0.8927911275415896,0.8860294117647058,0,0.9002976190476191
Travis Daniels,0.6487303506650545,0.7694628847314424,0.820726622989875,0.7506009615384616,0.6566985645933014,0.5901060070671378,0.6876513317191283,0,0.6908212560386473
LaVar Arrington,0.6198529411764706,0.8404825737265416,0.9368219527760052,0.9629171817058096,0.8823170731707317,0.7617896009673518,0.6372963186481593,1,
Ryan Griffin,0.3499101258238466,0.3798449612403101,0.373887240356083,0.2668621700879765,0.1308411214953271,0.1331360946745562,0.3619558735837805,0,0.4224941724941725
Kyle Brady,0.3102941176470588,0.3867292225201072,0.3975749840459476,0.4023485784919653,0.2676829268292683,0.2394195888754534,0.208207604103802,1,
