Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Retire,NextPercentile
Taiwan Jones,0.4824455205811138,0.5295893719806763,0.6381066506890354,0.5831842576028623,0.5792284866468843,0.4967741935483871,0.5589442815249267,0.5473130841121495,0,0.5029585798816568
Bobby Hamilton,0.3752151462994836,0.4438860971524288,0.4511400651465798,0.1372854914196568,0.6654411764705882,0.8130026809651475,0.8768347160178686,0.8244746600741656,0,0.7774390243902439
Duane Starks,0.4869706840390879,0.7207488299531981,0.9492647058823528,0.9624664879356568,0.9406509253350352,0.8473423980222496,0.8268292682926829,0.7938331318016929,0,0.8032589016294508
Vaughn Booker,0.2747440273037542,0.4457831325301205,0.5527638190954773,0.5781758957654723,0.5912636505460218,0.7507352941176471,0.7660857908847185,0.6483726866624122,1,
Kevin Walter,0.399876390605686,0.4573170731707317,0.5308343409915357,0.5268557634278818,0.6247766527695057,0.6003605769230769,0.5897129186602871,0.3510011778563015,0,0.2905569007263922
Jason Hatcher,0.5691007845503923,0.7391304347826086,0.7572115384615384,0.7589712918660287,0.6855123674911661,0.7911622276029056,0.8544685990338164,0.932893948472139,0,0.928443649373882
Joe Jurevicius,0.2588235294117647,0.2158176943699732,0.1646458200382897,0.2058096415327565,0.1115853658536585,0.2291414752116082,0.2389861194930597,0.2757593805836807,1,
Devon Kennard,0.7298747763864043,0.7869436201780415,0.8785923753665689,0.860981308411215,0.8875739644970414,0.928443649373882,0.907925407925408,0.8504887866589994,0,0.6563245823389021
Captain Munnerlyn,0.6267942583732058,0.7897526501766784,0.8619854721549637,0.927536231884058,0.9718394248052726,0.9743589743589745,0.9727002967359052,0.9126099706744868,0,0.889018691588785
Mat McBriar,0.1506097560975609,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.1429425837320574,0.1472320376914016,0.1937046004842615,1,
Ben Leber,0.7364390555201021,0.8133498145859085,0.8664634146341463,0.7920193470374849,0.8750754375377188,0.935080405002978,0.9729567307692308,0.9425837320574164,0,0.9287396937573617
Steve Tovar,0.3358633776091081,0.775047258979206,0.9044368600682594,0.9500860585197934,0.7319932998324958,0.5846905537459284,0.1700468018720748,0.586764705882353,1,
Edward Jasper,0.0787269681742043,0.0863192182410423,0.0873634945397816,0.6044117647058823,0.6950402144772118,0.7428206764518187,0.7292954264524104,0.7329268292682927,0,0.7237001209189843
Eddie Kennison,0.5294117647058824,0.6032171581769437,0.6043395022335674,0.5377008652657602,0.3298780487804878,0.3621523579201934,0.3928786964393482,0.3126861226920786,1,
Greg Lewis,0.3640296662546353,0.4414634146341463,0.4510278113663845,0.4514182257091128,0.3817748659916617,0.3798076923076923,0.3738038277511962,0.3739693757361602,1,
Tim Newton,0.4362292051756007,0.6875,0.7514880952380952,0.4358490566037736,0.1031894934333958,0.2157598499061913,0.3883677298311445,0.3587360594795539,0,0.4212523719165085
Jeff Bryant,0.4013761467889908,0.7108910891089109,0.9015444015444016,0.955637707948244,0.9007352941176472,0.8690476190476191,0.7735849056603774,0.8536585365853658,0,0.7823639774859287
Paul Posluszny,0.5247170935080405,0.7512019230769231,0.9114832535885168,0.9628975265017669,0.976997578692494,0.9758454106280192,0.9928100659077292,0.9833035181872392,0,0.9762611275964392
Kris Brown,0.3102941176470588,0.2607238605898123,0.2195277600510529,0.276885043263288,0.3274390243902439,0.3561064087061669,0.2739891369945685,0.1274568195354377,0,0.1442307692307692
Hardy Nickerson1,0.1415094339622641,0.1388367729831144,0.2607879924953096,0.1463414634146341,0.1412639405204461,0.1821631878557874,0.3062381852551984,0.3191126279863481,0,0.4096385542168674
Matt Overton,0.3985507246376811,0.4535650089874176,0.4454382826475849,0.4243323442136498,0.4187683284457478,0.3726635514018692,0.3029585798816568,0.1926058437686344,0,0.1858974358974359
Kenny Wright,0.3494539781591264,0.6926470588235294,0.7701072386058981,0.7370772176132737,0.8263288009888752,0.8054878048780488,0.814993954050786,0.7260108630054315,0,0.7164979154258487
Kirk Morrison,0.6977025392986699,0.8811104405552203,0.9696247766527696,0.9837740384615384,0.9796650717703348,0.939929328621908,0.8504842615012107,0.6708937198067633,1,
Tim Krumrie,0.2118811881188118,0.3918918918918919,0.5508317929759704,0.5735294117647058,0.6770833333333334,0.7660377358490567,0.8086303939962477,0.7786116322701688,0,0.6341463414634146
Eric Allen,0.4169811320754717,0.7185741088180112,0.8930581613508443,0.8649155722326454,0.8420074349442379,0.952561669829222,0.9527410207939508,0.9488054607508531,0,0.7074010327022375
Jerramy Stevens,0.1279357231149567,0.3067073170731707,0.3603385731559855,0.3675316837658419,0.3138773079213818,0.2878605769230769,0.2362440191387559,0.163133097762073,1,
Kim Bokamper,0.0808823529411764,0.1986062717770035,0.3663366336633663,0.1901840490797546,0.5252293577981652,0.7346534653465346,0.7297297297297297,0.6266173752310537,1,
Reggie Hayward,0.5817694369973191,0.5966815571155073,0.796044499381953,0.9323170731707318,0.9709794437726724,0.9221484610742304,0.8100059559261465,0.7788461538461539,0,0.8014354066985646
Pisa Tinoisamoa,0.8485784919653894,0.9140243902439024,0.9631197097944376,0.8581774290887145,0.8558665872543181,0.8629807692307693,0.8504784688995215,0.826266195524146,1,
Correll Buckhalter,0.4798927613941018,0.4805360561582642,0.4956736711990111,0.2182926829268292,0.2267230955259976,0.1436330718165359,0.1310303752233472,0.1941105769230769,0,0.1537081339712918
Jason Taylor,0.474036850921273,0.7654723127035831,0.8736349453978159,0.9875,0.9979892761394102,1.0,1.0,0.999390243902439,0,0.9969770253929868
Joshua Cribbs,0.4474002418379685,0.4990947495473747,0.56223942823109,0.5787259615384616,0.5717703349282297,0.5147232037691402,0.4884987893462469,0.5084541062801933,0,0.5380467345715998
Beau Brinkley,0.4021739130434782,0.4619532654284002,0.4645199761478831,0.4528189910979228,0.4521994134897361,0.4193925233644859,0.408284023668639,0.4281454979129397,1,
Shawntae Spencer,0.6018292682926829,0.8204353083434099,0.9082679541339772,0.90946992257296,0.7626201923076923,0.6842105263157895,0.7850412249705536,0.7820823244552058,0,0.714975845410628
Reed Doughty,0.4502112251056125,0.6390708755211435,0.6634615384615384,0.7942583732057417,0.8445229681978799,0.9158595641646488,0.8834541062801933,0.8819652486518874,1,
Rex Hadnot,0.0918984280532043,0.2770066385033192,0.2596783799880881,0.21875,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.1068840579710145,1,
Rich Miano,0.2735674676524954,0.2720588235294117,0.6755952380952381,0.6792452830188679,0.6866791744840526,0.4671669793621013,0.2889305816135084,0.5297397769516728,0,0.7666034155597723
Derek Smith,0.1038525963149078,0.1205211726384364,0.1965678627145085,0.6698529411764705,0.8156836461126006,0.8736439055520102,0.9004944375772559,0.8890243902439025,0,0.9008464328899636
David Bowens,0.095163806552262,0.6477941176470589,0.7124664879356568,0.7389917038927888,0.6644004944375772,0.8158536585365853,0.8633615477629988,0.9088714544357273,0,0.8183442525312686
Larry Whigham,0.2362948960302457,0.2559726962457337,0.2547332185886403,0.4807370184254606,0.5700325732899023,0.6458658346333853,0.7073529411764706,0.6843163538873994,0,0.6445437141033823
Ephraim Salaam,0.175,0.1595174262734584,0.177409061901723,0.145859085290482,0.1310975609756097,0.1045949214026602,0.156306578153289,0.1399642644431209,1,
Karl Mecklenburg,0.0732673267326732,0.5212355212355212,0.8650646950092421,0.9650735294117648,0.9776785714285714,0.9,0.9043151969981238,0.8348968105065666,0,0.900562851782364
Ron Bolton,0.6834170854271356,0.8970588235294118,0.9641255605381166,0.950207468879668,0.9212598425196852,0.7977941176470589,0.5993031358885017,0.7293729372937293,0,0.8006134969325154
Zach Brown,0.8888888888888888,0.957459556620731,0.9612403100775194,0.8729970326409495,0.9219941348973608,0.9690420560747663,0.9692307692307692,0.8765652951699463,1,
Marcus Coleman,0.2891566265060241,0.4221105527638191,0.4267100977198697,0.7098283931357254,0.8838235294117647,0.9510723860589811,0.90427568602425,0.9474660074165636,0,0.9585365853658536
Carson Tinker,0.2696225284601558,0.4150268336314848,0.4397626112759644,0.4486803519061583,0.401285046728972,0.2319526627218935,0.0363744782349433,0.0256410256410256,0,0.1207590569292696
John Phillips,0.1429425837320574,0.1472320376914016,0.5411622276029056,0.591183574879227,0.6177351707609346,0.5241502683363148,0.4635014836795252,0.4551319648093841,0,0.3703271028037383
Daniel Stubbs,0.160377358490566,0.2439024390243902,0.4465290806754221,0.425891181988743,0.4628252788104089,0.3927893738140417,0.3043478260869565,0.3003412969283277,0,0.4079173838209983
Romeo Okwara,0.5595307917888563,0.5695093457943925,0.7668639053254438,0.7901013714967203,0.93997668997669,0.8907418056354227,0.8633651551312649,0.6589195979899497,1,
Reuben Davis,0.3245283018867924,0.6060037523452158,0.7129455909943715,0.6866791744840526,0.3680297397769517,0.4990512333965844,0.4480151228733459,0.5546075085324232,0,0.4939759036144578
Vince Newsome,0.2471042471042471,0.4787430683918669,0.7941176470588235,0.7470238095238095,0.6320754716981132,0.6735459662288931,0.8649155722326454,0.9343339587242028,0,0.9312267657992565
Jason Hanson,0.3522058823529412,0.3760053619302949,0.372048500319081,0.3504326328800989,0.325,0.3591293833131802,0.3494266747133374,0.3138773079213818,0,0.3768028846153846
Charles Tillman,0.7669962917181706,0.8164634146341463,0.9740024183796856,0.976463488231744,0.9940440738534844,0.9855769230769232,0.9898325358851676,0.9958775029446408,0,0.9987893462469734
