Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
Stephen Hauschka,0.073170731707317,0.1860465116279069,0.2954545454545454,0.2368421052631578,0.4444444444444444,0.7142857142857143,0.9166666666666666,0.9487179487179488,1.0,0.9545454545454546,0,0.7619047619047619
Mason Crosby,0.125,0.2439024390243902,0.8604651162790697,0.9545454545454546,0.868421052631579,0.7222222222222222,0.6,0.5277777777777778,0.6923076923076923,0.4444444444444444,0,0.5227272727272727
John Smith,0.25,0.5217391304347826,0.7777777777777778,0.8387096774193549,0.875,0.7837837837837838,0.7352941176470589,0.7272727272727273,0.5263157894736842,0.4857142857142857,1,
Ryan Succop,0.1627906976744186,0.25,0.3947368421052631,0.3888888888888889,0.4,0.5833333333333334,0.4615384615384615,0.3888888888888889,0.5681818181818182,0.6666666666666666,0,0.3809523809523809
Shaun Suisham,0.1111111111111111,0.1578947368421052,0.325,0.6097560975609756,0.5581395348837209,0.6818181818181818,0.7368421052631579,0.9444444444444444,0.5714285714285714,0.8611111111111112,1,
Robbie Gould,0.2444444444444444,0.2631578947368421,0.5,0.6341463414634146,0.7209302325581395,0.7045454545454546,0.7894736842105263,0.6666666666666666,0.6571428571428571,0.4166666666666667,0,0.5897435897435898
Jeff Jaeger,0.3833333333333333,0.1794871794871795,0.3333333333333333,0.21875,0.9090909090909092,0.6875,0.7,0.7272727272727273,0.6111111111111112,0.5151515151515151,0,0.5142857142857142
Pete Stoyanovich,0.1388888888888889,0.28125,1.0,1.0,0.9666666666666668,0.8484848484848485,0.8888888888888888,0.6363636363636364,0.7428571428571429,0.8918918918918919,0,1.0
Martin Gramatica,0.1538461538461538,0.4285714285714285,0.926829268292683,0.9111111111111112,0.5714285714285714,0.5,0.3111111111111111,0.1842105263157894,0.275,0.3658536585365853,1,
Jay Feely,0.1951219512195122,0.4,0.8571428571428571,0.7380952380952381,0.9111111111111112,0.8947368421052632,0.975,0.8536585365853658,0.7441860465116279,0.7272727272727273,0,0.631578947368421
Nick Novak,0.1555555555555555,0.131578947368421,0.2,0.2195121951219512,0.0930232558139534,0.0909090909090909,0.131578947368421,0.25,0.8857142857142857,0.5555555555555556,0,0.6153846153846154
Fuad Reveiz,0.282051282051282,0.3846153846153846,0.75,0.4871794871794871,0.2777777777777778,0.15625,0.2121212121212121,0.59375,0.6333333333333333,0.7878787878787878,0,0.6944444444444444
Randy Bullock,0.0571428571428571,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.5,0.5,0.8809523809523809,0.9591836734693876,0.96,0.8260869565217391,0,0.627906976744186
Nick Mike-Mayer,0.2727272727272727,0.5416666666666666,0.7391304347826086,0.5925925925925926,0.4516129032258064,0.46875,0.6486486486486487,0.5,0.4848484848484848,0.4473684210526316,1,
Jan Stenerud,0.9230769230769232,0.9444444444444444,0.9444444444444444,0.9090909090909092,1.0,1.0,1.0,0.8709677419354839,0.6875,0.6216216216216216,0,0.5294117647058824
