Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
Jeff Wilkins,0.0833333333333333,0.2121212121212121,0.5428571428571428,0.6486486486486487,0.6153846153846154,0,0.6190476190476191
Josh Scobee,0.1666666666666666,0.4,0.5526315789473685,0.475,0.5609756097560976,0,0.4418604651162791
Rian Lindell,0.1904761904761904,0.3170731707317073,0.5555555555555556,0.4523809523809524,0.5238095238095238,0,0.6888888888888889
Kevin Butler,0.2564102564102564,0.4102564102564102,0.8166666666666667,0.6923076923076923,0.5833333333333334,0,0.71875
Matt Stover,0.1515151515151515,0.25,0.5,0.5454545454545454,0.4444444444444444,0,0.7272727272727273
Uwe Von Schamann,0.2972972972972973,0.3823529411764705,0.8181818181818182,0.7894736842105263,0.7428571428571429,0,0.4285714285714285
Benny Ricardo,0.1481481481481481,0.1935483870967742,0.3125,0.4324324324324324,0.5882352941176471,0,0.3939393939393939
Jim Turner,0.5384615384615384,0.8333333333333334,0.8888888888888888,0.9545454545454546,0.7916666666666666,0,0.8695652173913043
Doug Brien,0.0909090909090909,0.2222222222222222,0.5454545454545454,0.7714285714285715,0.972972972972973,0,0.9743589743589745
Adam Vinatieri,0.1212121212121212,0.2857142857142857,1.0,0.9487179487179488,0.6666666666666666,0,0.6097560975609756
Nick Novak,0.1555555555555555,0.131578947368421,0.2,0.2195121951219512,0.0930232558139534,0,0.0909090909090909
Mike Nugent,0.2222222222222222,0.3157894736842105,0.575,0.2926829268292683,0.2790697674418604,0,0.2045454545454545
Paul Edinger,0.238095238095238,0.3902439024390244,0.9333333333333332,0.7857142857142857,0.6428571428571429,0,0.5333333333333333
Billy Cundiff,0.1555555555555555,0.2857142857142857,0.5714285714285714,0.4888888888888889,0.2105263157894736,0,0.1
Rafael Septien,0.2903225806451613,0.34375,0.8108108108108109,0.7647058823529411,0.8787878787878788,0,0.868421052631579
Rick Danmeier,0.1875,0.4054054054054054,0.5588235294117647,0.5151515151515151,0.6052631578947368,1,
Jan Stenerud,0.9230769230769232,0.9444444444444444,0.9444444444444444,0.9090909090909092,1.0,0,1.0
Aldrick Rosas,0.1590909090909091,0.3571428571428571,0.6666666666666666,0.7346938775510204,0.48,1,
Ryan Succop,0.1627906976744186,0.25,0.3947368421052631,0.3888888888888889,0.4,0,0.5833333333333334
John Hall,0.1142857142857142,0.2432432432432432,0.5128205128205128,0.5476190476190477,0.4878048780487805,0,0.6222222222222222
Jeff Jaeger,0.3833333333333333,0.1794871794871795,0.3333333333333333,0.21875,0.9090909090909092,0,0.6875
Michael Husted,0.0666666666666666,0.2424242424242424,0.5833333333333334,0.6666666666666666,0.6571428571428571,0,0.5675675675675675
Steve Cox,0.0,0.0,0.2285714285714285,0.2571428571428571,0.358974358974359,0,0.2051282051282051
Josh Brown,0.1666666666666666,0.2619047619047619,0.6444444444444445,0.631578947368421,0.7,0,0.6829268292682927
Kris Brown,0.1794871794871795,0.3809523809523809,0.7804878048780488,0.6,0.6190476190476191,0,0.4285714285714285
Wade Richey,0.1621621621621621,0.2564102564102564,0.5952380952380952,0.6829268292682927,0.3333333333333333,0,0.1904761904761904
Dean Biasucci,0.1142857142857142,0.1794871794871795,0.3076923076923077,0.5833333333333334,0.8461538461538461,0,0.9444444444444444
