Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Retire,NextPercentile
Josh Scobee,0.1666666666666666,0.4,0.5526315789473685,0.475,0.5609756097560976,0.4418604651162791,0.5681818181818182,0,0.3421052631578947
Horst Muhlmann,1.0,1.0,1.0,1.0,0.9583333333333334,0.9565217391304348,0.9629629629629628,0,0.9032258064516128
Todd Peterson,0.0303030303030303,0.1666666666666666,0.3333333333333333,0.8285714285714286,0.7837837837837838,0.6923076923076923,0.7619047619047619,0,0.8780487804878049
Michael Husted,0.0666666666666666,0.2424242424242424,0.5833333333333334,0.6666666666666666,0.6571428571428571,0.5675675675675675,0.4102564102564102,0,0.4523809523809524
Rolf Benirschke,0.2258064516129032,0.375,0.8378378378378378,0.9411764705882352,0.9696969696969696,0.9473684210526316,0.8571428571428571,0,0.6857142857142857
Mike Cofer,0.3666666666666666,0.358974358974359,0.5555555555555556,0.78125,0.5151515151515151,0.375,0.2666666666666666,0,0.1515151515151515
Fuad Reveiz,0.282051282051282,0.3846153846153846,0.75,0.4871794871794871,0.2777777777777778,0.15625,0.2121212121212121,0,0.59375
David Trout,0.1212121212121212,0.1578947368421052,0.1428571428571428,0.0285714285714285,0.0256410256410256,0.0256410256410256,0.0,1,
Phil Dawson,0.1025641025641025,0.3095238095238095,0.4634146341463415,0.6888888888888889,0.8333333333333334,0.8571428571428571,0.8222222222222222,0,0.8421052631578947
Matt Bryant,0.1777777777777777,0.238095238095238,0.4523809523809524,0.4444444444444444,0.4210526315789473,0.55,0.5853658536585366,0,0.4186046511627907
Dave Rayner,0.0222222222222222,0.0526315789473684,0.25,0.3414634146341463,0.2325581395348837,0.2272727272727272,0.1578947368421052,1,
Mike Hollis,0.1388888888888889,0.2727272727272727,0.9142857142857144,0.7297297297297297,0.7948717948717948,0.8333333333333334,0.8048780487804879,0,0.7111111111111111
John Kasay,0.1818181818181818,0.21875,0.5333333333333333,0.4848484848484848,0.8333333333333334,0.9696969696969696,0.9714285714285714,0,0.8378378378378378
Bob Thomas,0.2608695652173913,0.4444444444444444,0.7741935483870968,0.8125,0.7567567567567568,0.7058823529411765,0.4545454545454545,0,0.5789473684210527
Jason Hanson,0.15625,0.2333333333333333,0.6060606060606061,0.7222222222222222,0.6060606060606061,0.8571428571428571,0.5945945945945946,0,0.8974358974358975
Wes Welker,0.0238095238095238,0.1777777777777777,0.0263157894736842,0.0,0.0,0.0,0.0454545454545454,1,
Stephen Gostkowski,0.0789473684210526,0.3,0.7560975609756098,0.8372093023255814,0.5454545454545454,0.6052631578947368,0.5,0,0.9428571428571428
Cary Blanchard,0.09375,0.2,0.1818181818181818,0.25,0.303030303030303,1.0,0.7027027027027027,0,0.4615384615384615
Rob Bironas,0.2,0.2368421052631578,0.425,0.4634146341463415,0.7674418604651163,0.9772727272727272,1.0,0,1.0
Greg Davis,0.4,0.3333333333333333,0.6388888888888888,0.84375,0.9393939393939394,0.46875,0.4333333333333333,0,0.5151515151515151
Josh Lambo,0.1538461538461538,0.1666666666666666,0.7272727272727273,0.7380952380952381,0.9285714285714286,0.979591836734694,0.5,0,0.1956521739130435
Olindo Mare,0.0857142857142857,0.2162162162162162,0.5897435897435898,0.8095238095238095,0.902439024390244,0.8,0.6904761904761905,0,0.5952380952380952
