Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Greg Davis,0.4,0.3333333333333333,0.6388888888888888,0.84375,0.9393939393939394,0.46875,0.4333333333333333,0.5151515151515151,0.75,0,0.3939393939393939
Bob Thomas,0.2608695652173913,0.4444444444444444,0.7741935483870968,0.8125,0.7567567567567568,0.7058823529411765,0.4545454545454545,0.5789473684210527,0.5428571428571428,0,0.6285714285714286
Tony Franklin,0.3243243243243243,0.4117647058823529,0.9090909090909092,0.7368421052631579,0.6857142857142857,0.4857142857142857,0.6666666666666666,0.7692307692307693,0.9,0,0.4358974358974359
Rian Lindell,0.1904761904761904,0.3170731707317073,0.5555555555555556,0.4523809523809524,0.5238095238095238,0.6888888888888889,0.7894736842105263,0.625,0.6585365853658537,0,0.9302325581395348
Jason Hanson,0.15625,0.2333333333333333,0.6060606060606061,0.7222222222222222,0.6060606060606061,0.8571428571428571,0.5945945945945946,0.8974358974358975,0.7857142857142857,0,0.7073170731707317
Matt Stover,0.1515151515151515,0.25,0.5,0.5454545454545454,0.4444444444444444,0.7272727272727273,0.5714285714285714,0.4864864864864865,0.5384615384615384,0,0.6904761904761905
Joe Danelo,0.0869565217391304,0.3333333333333333,0.6451612903225806,0.90625,0.8918918918918919,0.9117647058823528,0.7878787878787878,0.8157894736842105,0.5714285714285714,0,0.3714285714285714
Connor Barth,0.1219512195121951,0.2093023255813953,0.3409090909090909,0.5789473684210527,0.9166666666666666,0.2285714285714285,0.1944444444444444,0.282051282051282,0.3055555555555556,0,0.4090909090909091
Chris Jacke,0.1666666666666666,0.25,0.9696969696969696,0.84375,0.8333333333333334,0.7575757575757576,0.5277777777777778,0.5757575757575758,0.3142857142857143,0,0.3243243243243243
Raul Allegre,0.2,0.3428571428571428,0.6923076923076923,0.5641025641025641,0.6833333333333333,0.7435897435897436,0.7777777777777778,0.65625,0.3939393939393939,1,
Ryan Succop,0.1627906976744186,0.25,0.3947368421052631,0.3888888888888889,0.4,0.5833333333333334,0.4615384615384615,0.3888888888888889,0.5681818181818182,0,0.6666666666666666
Josh Scobee,0.1666666666666666,0.4,0.5526315789473685,0.475,0.5609756097560976,0.4418604651162791,0.5681818181818182,0.3421052631578947,0.5833333333333334,0,0.4285714285714285
Mason Crosby,0.125,0.2439024390243902,0.8604651162790697,0.9545454545454546,0.868421052631579,0.7222222222222222,0.6,0.5277777777777778,0.6923076923076923,0,0.4444444444444444
Dan Bailey,0.0789473684210526,0.2222222222222222,0.9142857142857144,0.9444444444444444,0.8717948717948718,0.8611111111111112,0.6590909090909091,0.6428571428571429,0.5238095238095238,0,0.6326530612244898
Todd Peterson,0.0303030303030303,0.1666666666666666,0.3333333333333333,0.8285714285714286,0.7837837837837838,0.6923076923076923,0.7619047619047619,0.8780487804878049,0.6444444444444445,0,0.5476190476190477
Morten Andersen,0.1052631578947368,0.3714285714285714,0.6,1.0,1.0,1.0,0.9743589743589745,0.8055555555555556,0.875,0,0.8484848484848485
Shayne Graham,0.0975609756097561,0.2666666666666666,0.3333333333333333,0.5476190476190477,0.8888888888888888,0.7631578947368421,0.725,0.7073170731707317,0.7906976744186046,0,0.6363636363636364
Kai Forbath,0.0833333333333333,0.1714285714285714,0.7222222222222222,0.6410256410256411,0.6944444444444444,0.7727272727272727,0.5476190476190477,0.5476190476190477,0.4693877551020408,1,
