Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
Dave Krieg,0.0144927536231884,0.2957746478873239,0.4929577464788732,0.7037037037037037,0.8214285714285714,0.9146341463414634,0.9647058823529412,0.9375,0.8823529411764706,0.7560975609756098,0,0.7341772151898734
Sean Salisbury,0.2109375,0.0352941176470588,0.0609756097560975,0.0253164556962025,0.0131578947368421,0.2125,0.3924050632911392,0.5555555555555556,0.3977272727272727,0.3222222222222222,1,
Chris Redman,0.2111111111111111,0.1463414634146341,0.3734939759036144,0.1686746987951807,0.2588235294117647,0.0689655172413793,0.0112359550561797,0.3085106382978723,0.2888888888888888,0.5542168674698795,0,0.4069767441860465
Billy Volek,0.0121951219512195,0.0240963855421686,0.253012048192771,0.611764705882353,0.8275862068965517,0.651685393258427,0.2765957446808511,0.0555555555555555,0.2048192771084337,0.5813953488372093,1,
Dan Orlovsky,0.1379310344827586,0.146067415730337,0.1063829787234042,0.1666666666666666,0.1686746987951807,0.1744186046511628,0.15,0.3513513513513513,0.3428571428571428,0.1216216216216216,0,0.0821917808219178
Jim Harbaugh,0.3984375,0.3411764705882353,0.7317073170731707,0.759493670886076,0.8552631578947368,0.8875,0.8607594936708861,0.8271604938271605,0.8863636363636364,0.9333333333333332,0,0.8888888888888888
Terry Bradshaw,0.0689655172413793,0.7,0.8205128205128205,0.8461538461538461,0.8461538461538461,0.8653846153846154,0.896551724137931,0.9206349206349206,0.9692307692307692,1.0,0,0.9565217391304348
Donovan Mcnabb,0.0898876404494382,0.5666666666666667,0.8658536585365854,0.9518072289156626,0.927710843373494,0.976470588235294,0.9540229885057472,0.9662921348314608,0.9574468085106383,0.9666666666666668,0,0.9156626506024096
Charlie Whitehurst,0.1011235955056179,0.0425531914893617,0.0333333333333333,0.0120481927710843,0.1511627906976744,0.3125,0.2972972972972973,0.1428571428571428,0.1891891891891892,0.3424657534246575,0,0.6111111111111112
Randall Cunningham,0.1707317073170731,0.3294117647058823,0.765625,0.8235294117647058,0.8536585365853658,0.9240506329113924,0.7631578947368421,0.8375,0.6708860759493671,0.8148148148148148,0,0.75
Rick Mirer,0.1392405063291139,0.3950617283950617,0.6022727272727273,0.6777777777777778,0.5222222222222223,0.3370786516853932,0.2247191011235955,0.3444444444444444,0.3902439024390244,0.2048192771084337,0,0.1204819277108433
Alex Smith,0.0459770114942528,0.3258426966292135,0.4787234042553192,0.4444444444444444,0.5060240963855421,0.6162790697674418,0.85,0.7972972972972973,0.8285714285714286,0.8243243243243243,0,0.8904109589041096
Ken Stabler,0.2068965517241379,0.4333333333333333,0.6923076923076923,0.8205128205128205,0.9807692307692308,0.9615384615384616,0.9655172413793104,0.9047619047619048,0.8923076923076924,0.8461538461538461,0,0.7681159420289855
