Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Retire,NextPercentile
Matt Moore,0.1808510638297872,0.1555555555555555,0.4337349397590361,0.4186046511627907,0.625,0.5675675675675675,0.4285714285714285,0.4459459459459459,0.5753424657534246,0.75,0.7671232876712328,0.4852941176470588,0.5492957746478874,1,
Tommy Maddox,0.1375,0.430379746835443,0.6049382716049383,0.5568181818181818,0.2111111111111111,0.0888888888888888,0.0224719101123595,0.0224719101123595,0.0444444444444444,0.3658536585365853,0.4939759036144578,0.7590361445783133,0.5882352941176471,0,0.4597701149425287
Dave Krieg,0.0144927536231884,0.2957746478873239,0.4929577464788732,0.7037037037037037,0.8214285714285714,0.9146341463414634,0.9647058823529412,0.9375,0.8823529411764706,0.7560975609756098,0.7341772151898734,0.6710526315789473,0.75,0,0.7468354430379747
Jon Kitna,0.2444444444444444,0.3820224719101123,0.550561797752809,0.5777777777777777,0.524390243902439,0.5542168674698795,0.7831325301204819,0.788235294117647,0.7011494252873564,0.5280898876404494,0.6170212765957447,0.6,0.3012048192771084,0,0.4767441860465116
Carson Palmer,0.2823529411764706,0.8160919540229885,0.9550561797752808,0.9680851063829788,0.9333333333333332,0.8192771084337349,0.7441860465116279,0.7875,0.7432432432432432,0.8,0.7297297297297297,0.863013698630137,0.8194444444444444,0,0.7123287671232876
Joe Ferguson,0.2564102564102564,0.6346153846153846,0.9230769230769232,0.9310344827586208,0.9682539682539684,0.9076923076923076,0.9076923076923076,0.8840579710144928,0.9577464788732394,0.9154929577464788,0.8765432098765432,0.6785714285714286,0.5975609756097561,0,0.5529411764705883
John Elway,0.2098765432098765,0.5357142857142857,0.8658536585365854,0.9529411764705882,0.9921875,0.976470588235294,0.951219512195122,0.8734177215189873,0.881578947368421,0.85,0.8987341772151899,0.9382716049382716,0.9659090909090908,0,0.9666666666666668
Jim Mcmahon,0.323943661971831,0.6172839506172839,0.9285714285714286,0.951219512195122,0.976470588235294,0.9453125,0.8588235294117647,0.8170731707317073,0.7721518987341772,0.7894736842105263,0.7375,0.7974683544303798,0.5802469135802469,0,0.6363636363636364
Danny White,0.2586206896551724,0.365079365079365,0.6615384615384615,0.5384615384615384,0.7246376811594203,0.7605633802816901,0.9014084507042254,0.9506172839506172,0.9166666666666666,0.902439024390244,0.8588235294117647,0.828125,0.6235294117647059,1,
Warren Moon,0.2857142857142857,0.4390243902439024,0.6941176470588235,0.8671875,0.9058823529411764,0.926829268292683,0.9873417721518988,0.9736842105263158,0.975,0.9240506329113924,0.9135802469135802,0.8409090909090909,0.8222222222222222,0,0.8444444444444444
Steve Grogan,0.3076923076923077,0.7241379310344828,0.9365079365079364,0.9846153846153848,0.9692307692307692,0.9130434782608696,0.8169014084507042,0.8732394366197183,0.9382716049382716,0.8690476190476191,0.7195121951219512,0.7294117647058823,0.8984375,0,0.6705882352941176
Charlie Batch,0.3146067415730337,0.6741573033707865,0.8444444444444444,0.8048780487804879,0.4457831325301205,0.4457831325301205,0.2470588235294117,0.4712643678160919,0.5393258426966292,0.7872340425531915,0.4777777777777778,0.3373493975903614,0.3720930232558139,0,0.6
Chad Henne,0.1222222222222222,0.2891566265060241,0.5465116279069767,0.575,0.5135135135135135,0.4857142857142857,0.5675675675675675,0.3835616438356164,0.1805555555555555,0.0273972602739726,0.3529411764705882,0.323943661971831,0.4225352112676056,0,0.2972972972972973
Mike Vick,0.2317073170731707,0.5662650602409639,0.8313253012048193,0.8235294117647058,0.7931034482758621,0.8202247191011236,0.5531914893617021,0.2777777777777778,0.253012048192771,0.7209302325581395,0.8875,0.8108108108108109,0.7,0,0.6081081081081081
Matt Ryan,0.3222222222222222,0.6867469879518072,0.9186046511627908,0.95,0.9594594594594594,0.9571428571428572,0.918918918918919,0.821917808219178,0.9583333333333334,0.9315068493150684,0.9852941176470588,0.9295774647887324,0.9295774647887324,0,0.8108108108108109
Matt Schaub,0.1764705882352941,0.4827586206896552,0.7191011235955056,0.851063829787234,0.8,0.9036144578313252,0.9418604651162792,0.925,0.9054054054054054,0.7285714285714285,0.5405405405405406,0.4657534246575342,0.4027777777777778,0,0.3150684931506849
