Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Timm Rosenbach,0.0365853658536585,0.4050632911392405,0.3421052631578947,0.4125,1,
Ken Stabler,0.2068965517241379,0.4333333333333333,0.6923076923076923,0.8205128205128205,0,0.9807692307692308
Carson Palmer,0.2823529411764706,0.8160919540229885,0.9550561797752808,0.9680851063829788,0,0.9333333333333332
Doug Pederson,0.1012658227848101,0.074074074074074,0.0795454545454545,0.0555555555555555,0,0.0666666666666666
Quincy Carter,0.1829268292682926,0.3855421686746988,0.6144578313253012,0.6470588235294118,1,
Gary Kubiak,0.2962962962962963,0.5476190476190477,0.8170731707317073,0.7647058823529411,0,0.7421875
Danny Kanell,0.0777777777777777,0.3111111111111111,0.4382022471910112,0.5056179775280899,0,0.4555555555555555
Rob Johnson 2,0.034090909090909,0.0888888888888888,0.4888888888888889,0.5842696629213483,0,0.8876404494382022
Scott Campbell,0.1547619047619047,0.3414634146341463,0.4117647058823529,0.6171875,0,0.2
Jeff Hostetler,0.0823529411764705,0.0546875,0.1176470588235294,0.4268292682926829,0,0.6708860759493671
Shaun King,0.2696629213483146,0.5888888888888889,0.7682926829268293,0.6024096385542169,0,0.4939759036144578
Bob Davis,0.3448275862068966,0.7333333333333333,0.7692307692307693,0.5641025641025641,1,
Matt Leinart 2,0.2808988764044944,0.4468085106382978,0.7222222222222222,0.6265060240963856,0,0.3837209302325581
Jeff Blake,0.075,0.0632911392405063,0.3209876543209876,0.7045454545454546,0,0.9222222222222224
Brian Dowling,0.282051282051282,0.3076923076923077,0.3076923076923077,0.0192307692307692,0,0.0
Craig Penrose,0.1379310344827586,0.3174603174603174,0.4769230769230769,0.3538461538461538,1,
Charlie Batch,0.3146067415730337,0.6741573033707865,0.8444444444444444,0.8048780487804879,0,0.4457831325301205
Jim Zorn,0.2413793103448276,0.6825396825396826,0.8461538461538461,0.953846153846154,0,0.9420289855072465
Wade Wilson,0.0422535211267605,0.0704225352112676,0.2222222222222222,0.2738095238095238,0,0.4512195121951219
Jake Locker,0.2375,0.5405405405405406,0.6857142857142857,0.6351351351351351,1,
Ryan Fitzpatrick,0.1724137931034483,0.1910112359550561,0.1595744680851064,0.1777777777777777,0,0.3132530120481928
Gale Gilbert,0.1463414634146341,0.3764705882352941,0.5703125,0.1647058823529411,0,0.0121951219512195
Guy Benjamin,0.2615384615384615,0.4615384615384615,0.5652173913043478,0.5070422535211268,0,0.5492957746478874
Steve Grogan,0.3076923076923077,0.7241379310344828,0.9365079365079364,0.9846153846153848,0,0.9692307692307692
Jake Delhomme,0.2584269662921348,0.2666666666666666,0.2560975609756097,0.3132530120481928,0,0.5301204819277109
Jay Cutler,0.1797752808988764,0.4680851063829787,0.8444444444444444,0.8674698795180723,0,0.8488372093023255
Shane Matthews,0.3333333333333333,0.3666666666666666,0.2921348314606741,0.2134831460674157,0,0.4333333333333333
Jon Kitna,0.2444444444444444,0.3820224719101123,0.550561797752809,0.5777777777777777,0,0.524390243902439
Cody Carlson,0.0941176470588235,0.2560975609756097,0.5949367088607594,0.6052631578947368,0,0.725
Chuck Long,0.2,0.5625,0.5529411764705883,0.5853658536585366,0,0.4683544303797468
Don Strock,0.0384615384615384,0.2884615384615384,0.5862068965517241,0.7301587301587301,0,0.6923076923076923
Pat Haden,0.3620689655172414,0.8253968253968254,0.953846153846154,0.8923076923076924,0,0.7101449275362319
Cary Conklin,0.3625,0.4683544303797468,0.5061728395061729,0.25,1,
Erik Wilhelm,0.2317073170731707,0.3924050632911392,0.5,0.25,0,0.3037974683544304
Trent Edwards,0.2340425531914893,0.5444444444444444,0.7710843373493976,0.6976744186046512,0,0.3875
Donald Hollas,0.1447368421052631,0.2625,0.2278481012658227,0.0864197530864197,0,0.0
Vinny Testaverde,0.28125,0.2117647058823529,0.5365853658536586,0.5822784810126582,0,0.5394736842105263
Phil Simms,0.1692307692307692,0.4202898550724637,0.5774647887323944,0.3098591549295774,0,0.419753086419753
Case Keenum,0.2857142857142857,0.4594594594594595,0.6301369863013698,0.6805555555555556,0,0.821917808219178
Bill Musgrave,0.2368421052631578,0.2375,0.1772151898734177,0.0123456790123456,0,0.1363636363636363
Bill Kenney,0.2898550724637681,0.5492957746478874,0.7464788732394366,0.9012345679012346,0,0.8928571428571429
Brett Hundley,0.0,0.1232876712328767,0.1176470588235294,0.4084507042253521,1,
Steve Stenstrom,0.2222222222222222,0.3888888888888889,0.5393258426966292,0.4269662921348314,1,
Matt Mcgloin,0.2142857142857142,0.3513513513513513,0.4931506849315068,0.4583333333333333,1,
Tim Hasselbeck,0.108433734939759,0.1294117647058823,0.1839080459770115,0.0449438202247191,0,0.0319148936170212
