Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Kyle Orton,0.0804597701149425,0.1123595505617977,0.2446808510638297,0.4111111111111111,0.7590361445783133,0.872093023255814,0.875,0.8243243243243243,0.7571428571428571,0,0.7837837837837838
Byron Leftwich,0.216867469879518,0.6941176470588235,0.9195402298850576,0.8876404494382022,0.7446808510638298,0.6444444444444445,0.5783132530120482,0.6627906976744186,0.325,0,0.3918918918918919
Mike Livingston,0.6551724137931034,0.6333333333333333,0.717948717948718,0.6923076923076923,0.8269230769230769,0.8076923076923077,0.8620689655172413,0.873015873015873,0.8153846153846154,0,0.6923076923076923
Jim Mcmahon,0.323943661971831,0.6172839506172839,0.9285714285714286,0.951219512195122,0.976470588235294,0.9453125,0.8588235294117647,0.8170731707317073,0.7721518987341772,0,0.7894736842105263
Trent Green,0.0777777777777777,0.3258426966292135,0.348314606741573,0.7444444444444445,0.6341463414634146,0.963855421686747,0.9759036144578314,0.9882352941176472,0.9885057471264368,0,0.8651685393258427
Kelly Holcomb,0.1,0.0561797752808988,0.0561797752808988,0.0444444444444444,0.2439024390243902,0.4819277108433735,0.6506024096385542,0.6352941176470588,0.5402298850574713,0,0.4269662921348314
Chad Pennington,0.2888888888888888,0.4756097560975609,0.8433734939759037,0.7951807228915663,0.8823529411764706,0.735632183908046,0.8314606741573034,0.7553191489361702,0.8777777777777778,0,0.7951807228915663
Steve Bartkowski,0.2307692307692307,0.4137931034482758,0.5873015873015873,0.5692307692307692,0.6461538461538462,0.7971014492753623,0.8028169014084507,0.7887323943661971,0.8888888888888888,0,0.8809523809523809
Vinny Testaverde,0.28125,0.2117647058823529,0.5365853658536586,0.5822784810126582,0.5394736842105263,0.5875,0.759493670886076,0.9506172839506172,0.9545454545454546,0,0.9777777777777776
Jeff George,0.240506329113924,0.4473684210526316,0.6375,0.5822784810126582,0.654320987654321,0.8295454545454546,0.7555555555555555,0.8111111111111111,0.6629213483146067,0,0.8314606741573034
Mark Brunell,0.0617283950617283,0.3522727272727273,0.7333333333333333,0.9444444444444444,0.9438202247191012,0.9775280898876404,0.9111111111111112,0.8536585365853658,0.8313253012048193,0,0.7469879518072289
Donovan Mcnabb,0.0898876404494382,0.5666666666666667,0.8658536585365854,0.9518072289156626,0.927710843373494,0.976470588235294,0.9540229885057472,0.9662921348314608,0.9574468085106383,0,0.9666666666666668
Steve Beuerlein,0.1294117647058823,0.4390243902439024,0.4556962025316455,0.4210526315789473,0.4875,0.810126582278481,0.6666666666666666,0.7272727272727273,0.5888888888888889,0,0.7111111111111111
A J Feeley,0.2926829268292683,0.4216867469879518,0.4216867469879518,0.2705882352941176,0.0919540229885057,0.449438202247191,0.5212765957446809,0.5666666666666667,0.216867469879518,0,0.0232558139534883
Eli Manning,0.1411764705882353,0.5057471264367817,0.7640449438202247,0.8617021276595744,0.8222222222222222,0.8313253012048193,0.8953488372093024,0.9,0.945945945945946,0,0.7857142857142857
Jeff Kemp,0.056338028169014,0.0845070422535211,0.2345679012345679,0.3928571428571428,0.5121951219512195,0.8117647058823529,0.8515625,0.7176470588235294,0.4146341463414634,0,0.0759493670886076
David Humm,0.173076923076923,0.4310344827586206,0.4603174603174603,0.3846153846153846,0.0307692307692307,0.2318840579710145,0.1126760563380281,0.2957746478873239,0.2592592592592592,0,0.3452380952380952
Damon Huard,0.2134831460674157,0.3932584269662921,0.6111111111111112,0.4024390243902439,0.144578313253012,0.0120481927710843,0.0235294117647058,0.0344827586206896,0.3033707865168539,0,0.425531914893617
Billy Volek,0.0121951219512195,0.0240963855421686,0.253012048192771,0.611764705882353,0.8275862068965517,0.651685393258427,0.2765957446808511,0.0555555555555555,0.2048192771084337,0,0.5813953488372093
Dan Orlovsky,0.1379310344827586,0.146067415730337,0.1063829787234042,0.1666666666666666,0.1686746987951807,0.1744186046511628,0.15,0.3513513513513513,0.3428571428571428,0,0.1216216216216216
Frank Reich,0.3658536585365853,0.4705882352941176,0.65625,0.0235294117647058,0.3170731707317073,0.6329113924050633,0.8289473684210527,0.6125,0.4936708860759494,0,0.419753086419753
Bert Jones,0.1025641025641025,0.4807692307692308,0.7884615384615384,0.9827586206896552,1.0,1.0,0.9230769230769232,0.8260869565217391,0.7464788732394366,0,0.7605633802816901
