Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Andre Rison,0.4844559585492228,0.8733153638814016,0.979328165374677,0.9919571045576407,0.9892183288409704,0.9895833333333334,0.9782082324455206,0.937799043062201,0.924574209245742,0.90625,0.8792710706150342,0.8341121495327103,1,
Shawn Jefferson,0.1860465116279069,0.5924932975871313,0.7601078167115903,0.8619791666666666,0.8886198547215496,0.8971291866028708,0.8734793187347932,0.8894230769230769,0.9316628701594531,0.9415887850467288,0.911007025761124,0.8874172185430463,0,0.7830578512396694
Marshall Faulk,0.4427083333333333,0.6658595641646489,0.7799043062200957,0.7445255474452555,0.8509615384615384,0.9339407744874716,0.9672897196261684,0.9578454332552692,0.9227373068432672,0.8636363636363636,0.7739307535641547,0.7811860940695297,1,
Jerome Bettis,0.1428571428571428,0.4583333333333333,0.5883777239709443,0.5215311004784688,0.3698296836982968,0.3581730769230769,0.4396355353075171,0.4205607476635514,0.4379391100702576,0.4635761589403973,0.4235537190082644,0.4480651731160896,0,0.4458077709611452
Dwight Stone,0.4209650582362729,0.4373333333333333,0.5854922279792746,0.6819407008086253,0.8630490956072352,0.906166219839142,0.9299191374663072,0.8229166666666666,0.639225181598063,0.4521531100478468,0.170316301703163,0.3894230769230769,1,
Troy Brown,0.2129380053908355,0.2760416666666667,0.423728813559322,0.416267942583732,0.7566909975669099,0.8293269230769231,0.8633257403189066,0.8621495327102804,0.9297423887587822,0.9602649006622516,0.9483471074380164,0.8553971486761711,0,0.8466257668711656
Terry Glenn 2,0.6004784688995215,0.7785888077858881,0.9158653846153846,0.9202733485193622,0.9579439252336448,0.9086651053864168,0.9161147902869756,0.8842975206611571,0.890020366598778,0.9304703476482618,0.961456102783726,0.9107883817427386,1,
Brian Kinchen,0.0293333333333333,0.2020725388601036,0.2479784366576819,0.2093023255813953,0.0134048257372654,0.3099730458221024,0.4921875,0.6464891041162227,0.7105263157894737,0.6788321167883211,0.6923076923076923,0.5489749430523918,0,0.4766355140186916
Fred Taylor,0.3942307692307692,0.5808656036446469,0.647196261682243,0.4496487119437939,0.5849889624724062,0.7252066115702479,0.8044806517311609,0.7525562372188139,0.6873661670235546,0.553941908713693,0.465979381443299,0.3801652892561983,0,0.3153526970954357
Desean Jackson,0.5443298969072164,0.8636363636363636,0.966804979253112,0.9742063492063492,0.9464627151051626,0.9624505928853756,0.9780876494023903,0.9882352941176472,0.97131931166348,0.945631067961165,0.9625468164794008,0.9134438305709024,0,0.8792792792792793
