Player,Year1,Year2,Year3,Retire,NextPercentile
Earnest Graham,0.0346232179226069,0.0449897750511247,0.0513918629550321,0,0.2946058091286307
Stephen Baker,0.5790349417637272,0.8266666666666667,0.8963730569948186,0,0.9137466307277629
Dee Brown,0.1810154525386313,0.1859504132231405,0.1588594704684317,0,0.1922290388548057
Otis Armstrong,0.2468085106382978,0.6666666666666666,0.6678321678321678,0,0.8
Donte Stallworth,0.6247240618101545,0.8119834710743802,0.9307535641547862,0,0.934560327198364
Alan Ricard,0.1633554083885209,0.378099173553719,0.4521384928716904,0,0.4376278118609407
Randy Jackson,0.116822429906542,0.3021276595744681,0.3820224719101123,1,
Bo Rather,0.5468164794007491,0.8076923076923077,0.83125,0,0.789308176100629
T J Duckett,0.1854304635761589,0.4049586776859504,0.4745417515274949,0,0.5030674846625767
Ashley Lelie,0.5452538631346578,0.8099173553719008,0.945010183299389,0,0.950920245398773
Knowshon Moreno,0.146694214876033,0.508298755186722,0.6587301587301587,0,0.722753346080306
Jalen Guyton,0.0184162062615101,0.4612612612612612,0.7446043165467626,0,0.8606403013182674
Reggie Langhorne,0.1733333333333333,0.6361386138613861,0.8602329450915142,0,0.872
Eric Martin 2,0.4426666666666666,0.7722772277227723,0.9633943427620631,0,0.9546666666666668
Marion Butts,0.0362694300518134,0.1482479784366576,0.3953488372093023,0,0.4718498659517426
Rashard Mendenhall,0.1154639175257732,0.4586776859504132,0.6141078838174274,0,0.6646825396825397
Stanley Pritchett,0.1842105263157894,0.3260340632603406,0.4399038461538461,0,0.5580865603644647
Itula Mili,0.2307692307692307,0.2984054669703872,0.5560747663551402,0,0.5737704918032787
Warren Williams,0.0933333333333333,0.2279792746113989,0.3719676549865229,0,0.4444444444444444
Julius Peppers,0.0468431771894093,0.0408997955010225,0.038543897216274,0,0.0103734439834024
Isaac Bruce,0.3854166666666667,0.847457627118644,0.971291866028708,0,0.9829683698296836
Ovie Mughelli,0.0,0.1820128479657387,0.3112033195020747,0,0.4577319587628866
