Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Amos Zereoue,0.1093394077448747,0.1238317757009345,0.4449648711943794,0.5938189845474614,0,0.7603305785123967
Ovie Mughelli,0.0,0.1820128479657387,0.3112033195020747,0.4577319587628866,0,0.4256198347107438
Dontrelle Inman,0.2270916334661354,0.503921568627451,0.8393881453154876,0.8407766990291262,0,0.8614232209737828
Steve Johnson,0.2618556701030928,0.3987603305785124,0.8132780082987552,0.9166666666666666,0,0.9847036328871892
Tony Stewart,0.2599531615925058,0.3554083885209713,0.5826446280991735,0.4582484725050916,0,0.4744376278118609
Mike Young,0.0586666666666666,0.2326732673267326,0.6239600665557404,0.368,0,0.6373056994818653
Eric Guliford,0.4043126684636118,0.4348958333333333,0.7046004842615012,0.3636363636363636,0,0.6642335766423357
Devin Smith,0.1490196078431372,0.4282982791586998,0.4116504854368932,0.2209737827715356,0,0.292817679558011
David Reed,0.0331950207468879,0.0535714285714285,0.1759082217973231,0.191699604743083,1,
Kenneth Darby,0.0975103734439834,0.356701030927835,0.5206611570247934,0.558091286307054,1,
Stump Mitchell,0.0626702997275204,0.3467048710601719,0.4200542005420054,0.5768261964735516,0,0.6826666666666666
Rashad Jennings,0.1652892561983471,0.4170124481327801,0.4285714285714285,0.4741873804971319,0,0.5079051383399209
Rabih Abdullah,0.0318906605922551,0.1448598130841121,0.4660421545667447,0.3509933774834437,0,0.4152892561983471
Ed Marinaro,0.3785046728971962,0.5957446808510638,0.7378277153558053,0.8006993006993007,0,0.7875
Tre Quan Smith,0.4176029962546816,0.7200736648250461,0.8576576576576577,0.8075539568345323,0,0.7815442561205274
Donald Brown,0.3181818181818182,0.5352697095435685,0.6607142857142857,0.5659655831739961,0,0.6264822134387352
Larry Canada,0.0534124629080118,0.2261580381471389,0.1883656509695291,0.3651226158038147,1,
John Isenbarger,0.6625,0.4526315789473684,0.5186915887850467,0.3744680851063829,1,
Travis Minor,0.2740046838407494,0.2251655629139073,0.384297520661157,0.2606924643584521,0,0.2924335378323108
Dennis Northcutt,0.3691588785046729,0.5433255269320844,0.8322295805739515,0.890495867768595,0,0.9490835030549898
Jon Keyworth,0.2397003745318352,0.5874125874125874,0.69375,0.6446540880503144,0,0.5489614243323442
Vaughn Dunbar,0.1045576407506702,0.1266846361185983,0.1354166666666666,0.0556900726392251,1,
Norm Bulaich,0.36875,0.6157894736842106,0.6401869158878505,0.7702127659574468,0,0.7715355805243446
Chris Carson,0.1436893203883495,0.3932584269662921,0.6151012891344383,0.7045045045045045,0,0.6312949640287769
Tony Paige,0.0806045340050377,0.216,0.4455445544554455,0.4841930116472546,0,0.288
Theo Bell,0.178125,0.160377358490566,0.2908011869436201,0.3487738419618528,0,0.7285318559556787
Randy Vataha,0.8894736842105263,0.911214953271028,0.9659574468085106,0.8876404494382022,0,0.9370629370629372
Scott Greene,0.0765550239234449,0.3673965936739659,0.3798076923076923,0.357630979498861,1,
Steve Maneri,0.0595238095238095,0.2256214149139579,0.1758893280632411,0.1454183266932271,1,
Billy Brooks,0.26875,0.7641509433962265,0.8931750741839762,0.9182561307901907,0,0.6925207756232687
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0,0.7298969072164948
Kevin Johnson 2,0.6469248291571754,0.8177570093457944,0.9437939110070258,0.933774834437086,0,0.9400826446280992
Leslie Shepherd,0.0546875,0.5472154963680388,0.7822966507177034,0.8978102189781022,0,0.9110576923076924
Ryan Francis Griffin,0.3122529644268774,0.4960159362549801,0.711764705882353,0.7131931166347992,0,0.7165048543689321
Cedric Peerman,0.1784232365145228,0.2043650793650793,0.4435946462715105,0.2134387351778656,0,0.3605577689243028
Lex Hilliard,0.2190082644628099,0.2842323651452282,0.4246031746031746,0.361376673040153,1,
Pete Mandley,0.0982367758186398,0.416,0.5891089108910891,0.891846921797005,0,0.88
Tommy Kane,0.0506666666666666,0.3134715025906736,0.7008086253369272,0.875968992248062,0,0.8954423592493298
A J Green,0.621031746031746,0.9120458891013384,0.9940711462450592,0.9880478087649402,0,0.9941176470588236
Joe Caravello,0.2495840266222961,0.2373333333333333,0.4326424870466321,0.4258760107816711,1,
Andre Tillman,0.1468531468531468,0.35,0.559748427672956,0.7240356083086054,1,
Luke Stocker,0.1865079365079365,0.4455066921606118,0.4407114624505929,0.3625498007968127,0,0.2803921568627451
Evan Moore,0.2396694214876033,0.491701244813278,0.746031746031746,0.7017208413001912,1,
Greg Jones,0.1018329938900203,0.2310838445807771,0.2334047109207709,0.412863070539419,0,0.4783505154639175
Lee Bouggess,0.8375,0.8157894736842105,0.719626168224299,0.4042553191489361,1,
Ron Lewis 2,0.0512129380053908,0.0645994832041343,0.3270777479892761,0.4690026954177897,0,0.625
Glen Kozlowski,0.5257903494176372,0.5626666666666666,0.7098445595854922,0.6253369272237197,0,0.5297157622739018
Terrence Wilkins,0.44874715261959,0.7172897196261683,0.819672131147541,0.7130242825607064,1,
Kevin Curtis,0.1301652892561983,0.4154786150712831,0.7730061349693251,0.8715203426124197,0,0.941908713692946
Aaron Shea,0.1775700934579439,0.3770491803278688,0.4878587196467991,0.3533057851239669,0,0.470468431771894
Marcus Coleman,0.4579439252336448,0.477751756440281,0.4083885209713024,0.1074380165289256,1,
Wally Francis,0.534965034965035,0.559375,0.7264150943396226,0.8011869436201781,0,0.9427792915531336
Travis Henry,0.2037470725995316,0.5783664459161147,0.7045454545454546,0.659877800407332,0,0.6053169734151329
Scottie Graham,0.0808625336927223,0.0989583333333333,0.297820823244552,0.2583732057416268,0,0.2335766423357664
Dave Williams 3,0.78125,0.7842105263157895,0.822429906542056,0.7191489361702128,1,
Gloster Richardson,0.75,0.7789473684210526,0.705607476635514,0.6212765957446809,0,0.651685393258427
Jason Wright,0.0346232179226069,0.1390593047034765,0.3447537473233404,0.6390041493775933,0,0.6391752577319587
Byron Walker,0.3638968481375358,0.6395663956639567,0.8513853904282116,0.7893333333333333,1,
Gunner Olszewski,0.143646408839779,0.4036036036036036,0.6115107913669064,0.5649717514124294,0,0.3686274509803922
Clif Groce,0.1124401913875598,0.1046228710462287,0.1225961538461538,0.143507972665148,0,0.2616822429906542
Sean Ryan,0.0578158458244111,0.2800829875518672,0.3443298969072165,0.518595041322314,1,
Hoby Brenner,0.1743869209809264,0.4412607449856733,0.7317073170731707,0.8765743073047859,0,0.9066666666666666
Allen Hurns,0.5,0.8176470588235294,0.9216061185468452,0.9048543689320389,0,0.8146067415730337
Devine Ozigbo,0.0718232044198895,0.2558558558558558,0.4388489208633093,0.4067796610169492,0,0.3607843137254902
Leonard Hankerson,0.248015873015873,0.6367112810707457,0.8221343873517787,0.7250996015936255,0,0.6568627450980392
Jeremy Sprinkle,0.1029126213592233,0.3089887640449438,0.5174953959484346,0.4108108108108108,0,0.4028776978417266
Charles Lee,0.2780373831775701,0.5058548009367682,0.4481236203090508,0.628099173553719,0,0.6089613034623218
Eric Green 2,0.3126684636118598,0.6640826873385013,0.7640750670241286,0.8221024258760108,0,0.8177083333333334
Rod Phillips,0.0489510489510489,0.159375,0.2012578616352201,0.2403560830860534,1,
