Player,Year1,Year2,Year3,Year4,Year5,Retire,NextPercentile
James Washington,0.2790262172284644,0.6961325966850829,0.8666666666666667,0.8597122302158273,0.5988700564971752,1,
Jon Ritchie,0.1009615384615384,0.4738041002277904,0.6401869158878505,0.6744730679156908,0.445916114790287,0,0.4793388429752066
Eric Ebron,0.2529880478087649,0.6686274509803921,0.8795411089866156,0.9145631067961164,0.9382022471910112,0,0.9171270718232044
Terrelle Pryor,0.3097514340344168,0.2766798418972332,0.2649402390438247,0.3058823529411765,0.7820267686424475,0,0.8660194174757282
Keelan Cole,0.4699029126213592,0.6441947565543071,0.8637200736648251,0.8594594594594595,0.8866906474820144,0,0.8436911487758946
Gary Downs,0.1067708333333333,0.1089588377723971,0.0598086124401913,0.0,0.0504807692307692,1,
Kenjon Barner,0.0553359683794466,0.0677290836653386,0.1215686274509803,0.2963671128107074,0.4019417475728155,0,0.3782771535580524
Bam Morris,0.2630208333333333,0.360774818401937,0.5885167464114832,0.5279805352798054,0.5817307692307693,0,0.3097949886104784
Travaris Cadet,0.1701720841300191,0.3320158102766798,0.5438247011952191,0.6196078431372549,0.7609942638623327,0,0.6796116504854369
Dave Meggett,0.3316062176165803,0.5633423180592992,0.7596899224806202,0.6514745308310992,0.6846361185983828,0,0.671875
Chaz Schilens,0.3092783505154639,0.6136363636363636,0.7199170124481328,0.7083333333333334,0.6539196940726577,1,
Curtis Martin,0.2832929782082324,0.5119617224880383,0.6715328467153284,0.7379807692307693,0.6788154897494305,0,0.7266355140186916
Ron Johnson 3,0.272,0.6138613861386139,0.7454242928452579,0.6773333333333333,0.6191709844559585,1,
Tracy Johnson,0.0492227979274611,0.137466307277628,0.2739018087855297,0.1715817694369973,0.2560646900269542,0,0.3880208333333333
George Farmer 2,0.5100286532951289,0.8048780487804879,0.8790931989924433,0.632,0.2128712871287128,0,0.0499168053244592
James Mcdonald,0.1273712737127371,0.3299748110831234,0.504,0.4356435643564356,0.6073211314475874,1,
William Andrews,0.3732970027247956,0.6565096952908587,0.7002724795640327,0.833810888252149,0.8292682926829268,0,0.760705289672544
Jesse James,0.1098039215686274,0.4760994263862332,0.7048543689320388,0.8295880149812734,0.8011049723756906,0,0.7225225225225225
Sony Michel,0.1161048689138576,0.3756906077348066,0.5945945945945946,0.6205035971223022,0.5235404896421846,1,
Shad Meier,0.1124121779859484,0.41280353200883,0.5537190082644629,0.5458248472505092,0.2985685071574642,1,
T J Houshmandzadeh,0.297423887587822,0.6666666666666666,0.6342975206611571,0.8004073319755601,0.8711656441717791,0,0.9828693790149892
Charles Clay,0.3432539682539682,0.5602294455066922,0.857707509881423,0.8804780876494024,0.9137254901960784,0,0.8814531548757171
Joe Washington,0.3742138364779874,0.6172106824925816,0.8746594005449592,0.8975069252077562,0.8991825613079019,0,0.7707736389684814
Josh Gordon,0.5296367112810707,0.91699604743083,0.9621513944223108,0.8705882352941177,0.3307839388145315,0,0.3262135922330097
Darnell Dinkins,0.1487603305785124,0.3462321792260692,0.50920245398773,0.5802997858672377,0.524896265560166,0,0.445360824742268
Isaiah Stanback,0.088659793814433,0.1942148760330578,0.2053941908713693,0.115079365079365,0.0860420650095602,1,
Robert Newhouse,0.0514018691588785,0.2765957446808511,0.4344569288389513,0.6153846153846154,0.59375,0,0.6194968553459119
Deangelo Williams,0.3254817987152034,0.533195020746888,0.688659793814433,0.6673553719008265,0.6078838174273858,0,0.5992063492063492
Mark Campbell,0.3394077448747152,0.4532710280373832,0.4754098360655737,0.4194260485651214,0.5785123966942148,0,0.7026476578411406
Mark Boyer,0.248,0.5272277227722773,0.7337770382695508,0.5733333333333334,0.4792746113989637,0,0.6145552560646901
Rashard Mendenhall,0.1154639175257732,0.4586776859504132,0.6141078838174274,0.6646825396825397,0.5927342256214149,0,0.6304347826086957
David Hill,0.40625,0.7138364779874213,0.887240356083086,0.9155313351498636,0.8781163434903048,0,0.8310626702997275
Heath Sherman,0.0699481865284974,0.2749326145552561,0.3617571059431524,0.5281501340482574,0.3827493261455525,1,
Jermaine Wiggins,0.2570093457943925,0.5831381733021077,0.6026490066225165,0.5578512396694215,0.6802443991853361,0,0.8241308793456033
Steve Johnson,0.2618556701030928,0.3987603305785124,0.8132780082987552,0.9166666666666666,0.9847036328871892,0,0.9407114624505928
Ernie Mills,0.3540051679586563,0.5576407506702413,0.7574123989218329,0.8020833333333334,0.8789346246973365,0,0.8421052631578947
Frank Hawkins,0.1335149863760218,0.2578796561604584,0.3658536585365853,0.4030226700251889,0.4293333333333333,0,0.5495049504950495
Lance Dunbar,0.1128107074569789,0.2430830039525691,0.5278884462151394,0.6176470588235294,0.6462715105162524,0,0.3922330097087378
Felix Jones,0.0783505154639175,0.3037190082644628,0.6307053941908713,0.6805555555555556,0.7284894837476099,0,0.5830039525691699
Jason Dunn,0.4473684210526316,0.5936739659367397,0.6850961538461539,0.3507972665148063,0.2827102803738318,0,0.4637002341920375
Joe Morris,0.0200573065902578,0.070460704607046,0.3047858942065491,0.4826666666666667,0.6608910891089109,0,0.778702163061564
Michael Bates,0.0431266846361186,0.3229166666666667,0.3099273607748184,0.2320574162679425,0.0072992700729927,0,0.0072115384615384
Lawyer Tillman,0.2227979274611398,0.2560646900269542,0.2403100775193798,0.4369973190348525,0.6226415094339622,0,0.6380208333333334
Robin Earl,0.1037735849056603,0.0890207715133531,0.2452316076294278,0.3739612188365651,0.5504087193460491,0,0.6189111747851003
Reno Mahe,0.0888429752066115,0.2505091649694501,0.3701431492842535,0.3661670235546038,0.4564315352697095,1,
Tanner Gentry,0.1378640776699029,0.1573033707865168,0.14548802946593,0.0072072072072072,0.0053956834532374,0,0.0188323917137476
Alge Crumpler,0.3021077283372365,0.6909492273730684,0.8553719008264463,0.8961303462321792,0.918200408997955,0,0.9379014989293362
Lance Moore,0.1798715203426124,0.5311203319502075,0.8494845360824742,0.878099173553719,0.925311203319502,0,0.8928571428571429
Junior Miller,0.5373961218836565,0.7411444141689373,0.830945558739255,0.6341463414634146,0.4987405541561713,1,
Rob Lytle,0.3616352201257861,0.4035608308605341,0.5149863760217984,0.3933518005540166,0.4659400544959128,0,0.3209169054441261
Hunter Goodwin,0.3014354066985646,0.4403892944038929,0.4855769230769231,0.2733485193621868,0.1869158878504672,0,0.2154566744730679
David Martin,0.2412177985948477,0.4150110375275938,0.5764462809917356,0.560081466395112,0.6748466257668712,0,0.702355460385439
Sam Cunningham,0.2808510638297872,0.5842696629213483,0.7342657342657343,0.784375,0.8207547169811321,0,0.798219584569733
Walter White,0.6083916083916084,0.884375,0.9685534591194968,0.9495548961424332,0.8228882833787466,1,
Bobby Engram,0.284688995215311,0.5182481751824818,0.8317307692307693,0.8747152619589977,0.8551401869158879,0,0.7822014051522248
Jerry Levias,0.93125,0.8842105263157894,0.7897196261682243,0.7531914893617021,0.7078651685393258,1,
Bilal Powell,0.1011904761904761,0.3365200764818356,0.5968379446640316,0.6553784860557769,0.703921568627451,0,0.7323135755258127
Michael Bush,0.2206185567010309,0.3326446280991735,0.5933609958506224,0.7043650793650794,0.7552581261950286,0,0.7134387351778656
Jackie Harris,0.1509433962264151,0.4573643410852713,0.7024128686327078,0.8355795148247979,0.8697916666666666,0,0.8498789346246973
Robb Riddick,0.1002710027100271,0.3602015113350126,0.352,0.4727722772277227,0.5806988352745425,0,0.4853333333333333
Johnny Davis,0.0356083086053412,0.2125340599455041,0.2409972299168975,0.1008174386920981,0.0429799426934097,0,0.043360433604336
William Henderson,0.0653753026634382,0.2129186602870813,0.4476885644768856,0.5697115384615384,0.5375854214123007,0,0.5093457943925234
Laurence Maroney,0.2805139186295503,0.6307053941908713,0.6206185567010309,0.4648760330578512,0.3174273858921161,1,
Darrel Young,0.2033195020746888,0.4325396825396825,0.6500956022944551,0.6699604743083004,0.6274900398406374,0,0.4705882352941176
Ken Margerum,0.5340599455040872,0.7191977077363897,0.8509485094850948,0.5994962216624685,0.4933333333333333,0,0.3638613861386138
Justin Gage,0.3946280991735537,0.5498981670061099,0.7689161554192229,0.6595289079229122,0.7946058091286307,0,0.8536082474226804
Najeh Davenport,0.141280353200883,0.3409090909090909,0.4276985743380855,0.3231083844580777,0.4946466809421841,0,0.6182572614107884
Jason Avant,0.1156316916488222,0.470954356846473,0.7195876288659794,0.8305785123966942,0.8589211618257261,0,0.8432539682539683
Miles Austin,0.2344398340248962,0.6020618556701031,0.9173553719008264,0.979253112033195,0.9821428571428572,0,0.9502868068833652
Chester Taylor,0.282560706401766,0.5165289256198347,0.6659877800407332,0.6728016359918201,0.6788008565310493,0,0.7406639004149378
Mike Cox,0.0659793814432989,0.2376033057851239,0.3734439834024896,0.3174603174603174,0.3250478011472275,1,
Sammy White,0.74375,0.940251572327044,1.0,0.9782016348773842,0.9556786703601108,0,0.9482288828337876
Samkon Gado,0.1411042944785276,0.2997858672376873,0.4688796680497925,0.3814432989690721,0.3202479338842975,1,
Tony Reed,0.2232704402515723,0.5905044510385756,0.779291553133515,0.8310249307479224,0.7602179836512262,1,
Ty Hallock,0.261455525606469,0.4505208333333333,0.4769975786924939,0.1626794258373205,0.1605839416058394,0,0.2139423076923076
