Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Retire,NextPercentile
Vonta Leach,0.0756646216768916,0.3062098501070663,0.3921161825726141,0.4742268041237113,0.4338842975206611,0.5103734439834025,0.498015873015873,0,0.5162523900573613
Jeff Graham,0.1317829457364341,0.6487935656836461,0.8328840970350404,0.953125,0.973365617433414,0.9665071770334928,0.94647201946472,0,0.903846153846154
Johnnie Morton,0.2265625,0.6561743341404358,0.8492822966507177,0.9172749391727494,0.9423076923076924,0.9772209567198178,0.9626168224299064,0,0.9648711943793912
Kelvin Martin,0.4875207986688852,0.696,0.883419689119171,0.9191374663072776,0.8940568475452196,0.8605898123324397,0.8544474393530997,0,0.8880208333333334
Herman Moore,0.2196382428940568,0.774798927613941,0.9407008086253368,0.9791666666666666,0.9878934624697336,0.9976076555023924,1.0,0,1.0
Bob Chandler,0.1947368421052631,0.6682242990654206,0.851063829787234,0.8614232209737828,0.902097902097902,0.946875,0.9905660377358492,0,0.9821958456973294
Jamal Anderson,0.1573849878934624,0.4593301435406698,0.6399026763990268,0.75,0.7061503416856492,0.7219626168224299,0.7540983606557377,1,
Dan Kreider,0.116822429906542,0.1428571428571428,0.3377483443708609,0.4504132231404958,0.5234215885947047,0.4683026584867075,0.3875802997858672,0,0.483402489626556
Javon Walker,0.2913907284768212,0.7334710743801653,0.9368635437881874,0.9079754601226994,0.9357601713062098,0.8547717842323651,0.8824742268041237,1,
Rudi Johnson,0.1324503311258278,0.4214876033057851,0.5010183299389002,0.5419222903885481,0.4796573875802998,0.5622406639004149,0.5793814432989691,1,
Ahmad Bradshaw,0.1265560165975103,0.3010309278350515,0.5723140495867769,0.7053941908713693,0.7321428571428571,0.7361376673040153,0.6600790513833992,0,0.7270916334661355
Randy Mcmichael,0.4547461368653421,0.768595041322314,0.8839103869653768,0.8957055214723927,0.8865096359743041,0.8817427385892116,0.822680412371134,0,0.7747933884297521
Dennis Pitta,0.0477178423236514,0.4226190476190476,0.7667304015296367,0.8537549407114624,0.7808764940239044,0.4176470588235294,0.6080305927342257,1,
Tony Richardson,0.2296650717703349,0.4233576642335766,0.4735576923076923,0.4373576309794988,0.4252336448598131,0.629976580796253,0.6467991169977925,0,0.6177685950413223
Plaxico Burress,0.2009345794392523,0.7189695550351288,0.9293598233995584,0.956611570247934,0.9511201629327902,0.9447852760736196,0.9507494646680942,0,0.979253112033195
Louie Giammona,0.25,0.2452830188679245,0.2314540059347181,0.0108991825613079,0.2271468144044321,0.3188010899182561,0.3954154727793696,1,
Jim Mitchell 2,0.9625,0.963157894736842,0.9579439252336448,0.9404255319148936,0.8951310861423221,0.9125874125874126,0.871875,0,0.7610062893081762
John Brown,0.5079681274900398,0.8235294117647058,0.9273422562141492,0.8932038834951457,0.8782771535580525,0.9355432780847146,0.945945945945946,0,0.841726618705036
Steve Johnson,0.2618556701030928,0.3987603305785124,0.8132780082987552,0.9166666666666666,0.9847036328871892,0.9407114624505928,0.902390438247012,0,0.8274509803921568
Michael Turner,0.0631364562118126,0.0572597137014314,0.2483940042826552,0.3506224066390041,0.4969072164948453,0.3884297520661157,0.412863070539419,0,0.5059523809523809
Patrick Hape,0.0778588807785888,0.1057692307692307,0.3280182232346241,0.2406542056074766,0.4894613583138173,0.4679911699779249,0.5413223140495868,0,0.5071283095723014
Gary Clark,0.6,0.9108910891089108,0.9933444259567388,0.9893333333333332,0.9844559585492229,0.9919137466307276,0.9974160206718348,0,0.9973190348525468
Tony Hill 2,0.0911949685534591,0.6468842729970327,0.9291553133514986,0.9916897506925209,0.9863760217983653,0.9770773638968482,0.967479674796748,0,0.9672544080604534
Ron Egloff,0.1415094339622641,0.2462908011869436,0.3869209809264305,0.3822714681440443,0.4604904632152589,0.4899713467048711,0.5962059620596206,0,0.5717884130982368
Charlie Joiner,0.8625,0.9526315789473684,0.9532710280373832,0.9106382978723404,0.8314606741573034,0.8986013986013986,0.975,0,0.981132075471698
Greg Comella,0.0240384615384615,0.1047835990888382,0.3364485981308411,0.4285714285714285,0.3752759381898454,0.1900826446280991,0.3564154786150713,1,
Larry Brown 7,0.80625,0.8052631578947368,0.8925233644859814,0.8978723404255319,0.9400749063670412,0.916083916083916,0.790625,1,
Theo Riddick,0.0731225296442687,0.4561752988047808,0.7823529411764706,0.8910133843212237,0.9009708737864076,0.8520599250936329,0.7071823204419889,0,0.4720720720720721
Andre Reed,0.4533333333333333,0.8217821782178217,0.966722129783694,0.9573333333333334,0.9637305699481864,0.9514824797843666,0.9870801033591732,0,0.9597855227882036
J J Birden,0.353099730458221,0.6847545219638242,0.806970509383378,0.8382749326145552,0.8541666666666666,0.8571428571428571,0.7631578947368421,1,
Orson Charles,0.248565965583174,0.2905138339920948,0.2828685258964143,0.0549019607843137,0.0095602294455066,0.2271844660194174,0.3314606741573033,1,
Alfred Jackson 2,0.4807121661721068,0.6485013623978202,0.817174515235457,0.8528610354223434,0.8997134670487106,0.8970189701897019,0.9042821158690176,1,
Eddie Royal,0.6041237113402061,0.7851239669421488,0.8962655601659751,0.7837301587301587,0.768642447418738,0.8122529644268774,0.8944223107569721,0,0.8980392156862745
Darren Mcfadden,0.3134020618556701,0.5413223140495868,0.7925311203319502,0.7559523809523809,0.7380497131931166,0.6126482213438735,0.5796812749003984,0,0.6215686274509804
Clark Gaines,0.5,0.7515723270440252,0.7833827893175074,0.7220708446866485,0.5734072022160664,0.4495912806539509,0.3237822349570201,1,
Carl Pickens,0.1206434316353887,0.6064690026954178,0.9036458333333334,0.980629539951574,0.9952153110047848,0.9805352798053528,0.9567307692307692,0,0.9043280182232346
Horace King,0.1853146853146853,0.425,0.6257861635220126,0.7685459940652819,0.776566757493188,0.7174515235457064,0.6130790190735694,0,0.6217765042979942
Roger Carr,0.4868913857677903,0.7727272727272727,0.96875,0.949685534591195,0.9554896142433236,0.8419618528610354,0.9113573407202216,0,0.896457765667575
Vernon Davis,0.2591006423982869,0.6265560165975104,0.7546391752577319,0.9028925619834712,0.9481327800829876,0.9662698412698412,0.9292543021032504,0,0.9130434782608696
John Phillips,0.1549586776859504,0.1390041493775933,0.3452380952380952,0.3632887189292543,0.4802371541501976,0.4800796812749004,0.5098039215686274,0,0.5525812619502868
Donte Stallworth,0.6247240618101545,0.8119834710743802,0.9307535641547862,0.934560327198364,0.9571734475374732,0.9605809128630706,0.8948453608247423,0,0.6776859504132231
Errict Rhett,0.1223958333333333,0.3462469733656174,0.3947368421052631,0.2238442822384428,0.1370192307692307,0.3485193621867881,0.4345794392523364,1,
Cris Collinsworth,0.5776566757493188,0.8911174785100286,0.978319783197832,0.9848866498740554,0.9866666666666668,0.9925742574257426,0.9816971713810316,0,0.896
Kenny Watson,0.3664459161147902,0.3615702479338843,0.5173116089613035,0.2208588957055214,0.5182012847965739,0.6244813278008299,0.6453608247422681,1,
Walt Arnold,0.1717451523545706,0.4877384196185286,0.4068767908309456,0.4363143631436314,0.3979848866498741,0.648,0.6955445544554455,0,0.7936772046589018
Brandon Manumaleuna,0.1733021077283372,0.4591611479028697,0.6714876033057852,0.7087576374745418,0.6421267893660532,0.569593147751606,0.5373443983402489,0,0.6247422680412371
Ki Jana Carter,0.1674641148325359,0.2992700729927007,0.3461538461538461,0.3029612756264236,0.1378504672897196,0.2224824355971897,0.1015452538631346,0,0.3553719008264462
Golden Tate,0.2780082987551867,0.5158730158730159,0.8126195028680688,0.8913043478260869,0.9661354581673308,0.9725490196078432,0.982791586998088,0,0.974757281553398
Reggie Bush,0.5845824411134903,0.7987551867219918,0.909278350515464,0.8450413223140496,0.7966804979253111,0.7698412698412699,0.739961759082218,0,0.8300395256916996
James O Shaughnessy,0.2019607843137255,0.3021032504780114,0.5203883495145631,0.49625468164794,0.6813996316758748,0.6738738738738739,0.6726618705035972,1,
Earnest Graham,0.0346232179226069,0.0449897750511247,0.0513918629550321,0.2946058091286307,0.4989690721649484,0.6053719008264463,0.549792531120332,0,0.5595238095238095
Mike Wallace,0.5082644628099173,0.8775933609958506,0.9861111111111112,0.9866156787762906,0.9683794466403162,0.9482071713147412,0.9352941176470588,0,0.9311663479923518
Earnest Byner,0.2090680100755667,0.5146666666666667,0.7128712871287128,0.8635607321131448,0.84,0.8419689119170984,0.7601078167115903,0,0.7338501291989664
Cameron Cleeland,0.5024038461538461,0.6879271070615034,0.6892523364485982,0.4730679156908665,0.4260485651214128,0.621900826446281,0.5784114052953157,0,0.5480572597137015
Antonio Freeman,0.3220338983050847,0.6985645933014354,0.9148418491484184,0.9927884615384616,1.0,0.985981308411215,0.9672131147540984,0,0.955849889624724
Logan Thomas,0.1281553398058252,0.3164794007490636,0.5616942909760589,0.7675675675675676,0.7949640287769785,0.8022598870056498,0.6862745098039216,1,
Marcellus Rivers,0.1569086651053864,0.4061810154525386,0.609504132231405,0.5865580448065173,0.6073619631901841,0.3640256959314775,0.2385892116182572,1,
Stump Mitchell,0.0626702997275204,0.3467048710601719,0.4200542005420054,0.5768261964735516,0.6826666666666666,0.7797029702970297,0.8768718801996672,0,0.6906666666666667
Stephone Paige,0.3929539295392953,0.7884130982367759,0.952,0.9752475247524752,0.9966722129783694,0.968,0.922279792746114,0,0.9056603773584906
Mike Tice,0.0980926430517711,0.1489971346704871,0.1924119241192411,0.3123425692695214,0.2426666666666666,0.4975247524752475,0.6222961730449251,0,0.5146666666666667
Justin Forsett,0.3078512396694214,0.524896265560166,0.6726190476190477,0.5965583173996176,0.5197628458498024,0.5557768924302788,0.5647058823529412,0,0.6003824091778203
Josh Hill,0.1225296442687747,0.4661354581673306,0.615686274509804,0.6692160611854685,0.5067961165048543,0.5299625468164794,0.6298342541436464,0,0.6378378378378379
Tony Paige,0.0806045340050377,0.216,0.4455445544554455,0.4841930116472546,0.288,0.38860103626943,0.628032345013477,0,0.7080103359173127
Qadry Ismail,0.3045822102425876,0.7291666666666666,0.8765133171912833,0.9114832535885168,0.7372262773722628,0.4158653846153846,0.5831435079726651,0,0.822429906542056
Ray Jarvis,0.1448598130841121,0.2680851063829787,0.49812734082397,0.7237762237762237,0.921875,0.9339622641509434,0.827893175074184,0,0.553133514986376
Dez Bryant,0.4564315352697095,0.8095238095238095,0.965583173996176,0.9762845849802372,0.9920318725099602,0.9705882352941176,0.959847036328872,0,0.9223300970873788
Ron Hall,0.4692179700499168,0.6346666666666667,0.8082901554404145,0.8194070080862533,0.7183462532299741,0.7184986595174263,0.7035040431266847,0,0.6822916666666666
Ethan Horton,0.088,0.1237623762376237,0.4958402662229617,0.112,0.4015544041450777,0.5822102425876011,0.8320413436692506,0,0.8337801608579088
