Player,Year1,Year2,Year3,Year4,Retire,NextPercentile
Frank Gore,0.3311688311688311,0.8823529411764706,0.9735099337748344,0.9612903225806452,0,0.929936305732484
Kerry Porter,0.149090909090909,0.0259740259740259,0.2077922077922078,0.4407894736842105,1,
Corey Grant,0.0391061452513966,0.3064516129032258,0.6994535519125683,0.7659574468085106,1,
Rodney Thomas,0.3660130718954248,0.5774647887323944,0.8,0.6842105263157895,0,0.6583850931677019
Vaughn Hebron,0.1194029850746268,0.4142857142857143,0.3986928104575163,0.4718309859154929,0,0.4733333333333333
Steve Davis,0.1296296296296296,0.4214876033057851,0.6258992805755396,0.6642857142857143,0,0.673202614379085
Jamison Crowder,0.2122905027932961,0.6021505376344086,0.8306010928961749,0.8829787234042553,0,0.8247422680412371
Charles Way,0.130718954248366,0.3732394366197183,0.7,0.8289473684210527,0,0.8260869565217391
Najeh Davenport,0.1854304635761589,0.379746835443038,0.6526946107784432,0.564935064935065,0,0.7254901960784313
Mike Cloud,0.1677018633540372,0.2774193548387096,0.5205479452054794,0.5165562913907285,0,0.6645569620253164
Dino Hall,0.2325581395348837,0.4011627906976744,0.3674698795180723,0.4242424242424242,0,0.2911392405063291
Tony Baker 2,0.573170731707317,0.5842696629213483,0.6481481481481481,0.6363636363636364,0,0.6187050359712231
Ed Marinaro,0.324074074074074,0.5867768595041323,0.7050359712230215,0.7857142857142857,0,0.7777777777777778
Dan Herron,0.0251572327044025,0.4821428571428571,0.695906432748538,0.7541899441340782,1,
Darick Holmes,0.2679738562091503,0.4859154929577465,0.7133333333333334,0.7302631578947368,1,
Rock Cartwright,0.4172185430463576,0.6582278481012658,0.6467065868263473,0.5454545454545454,0,0.2549019607843137
Tashard Choice,0.3096774193548387,0.6178343949044586,0.7467532467532467,0.5850340136054422,0,0.4968553459119497
Dontrell Hilliard,0.1855670103092783,0.3441860465116279,0.5825688073394495,0.696078431372549,1,
Le Shai Maston,0.1641791044776119,0.1357142857142857,0.3333333333333333,0.2535211267605634,1,
Stacey Mack,0.1055900621118012,0.1677419354838709,0.6301369863013698,0.7483443708609272,0,0.8291139240506329
Winslow Oliver,0.1408450704225352,0.1933333333333333,0.2171052631578947,0.1490683229813664,1,
Jim Hargrove,0.036144578313253,0.0909090909090909,0.0696202531645569,0.0061728395061728,0,0.0064516129032258
Brian Hill,0.1639344262295081,0.4468085106382978,0.6649484536082474,0.772093023255814,1,
John Settle,0.4472727272727272,0.7207792207792207,0.9415584415584416,0.8947368421052632,1,
Nathan Poole,0.0,0.0,0.0,0.2181818181818181,0,0.3924050632911392
Paul Hofer,0.1895424836601307,0.4267515923566879,0.6219512195121951,0.8255813953488372,0,0.9302325581395348
Chris Hetherington,0.031055900621118,0.2516129032258064,0.410958904109589,0.3774834437086092,0,0.1392405063291139
Joe Dawkins,0.7195121951219512,0.6067415730337079,0.7129629629629629,0.768595041322314,0,0.8920863309352518
John Conner,0.1233766233766233,0.3537414965986394,0.4213836477987421,0.2559523809523809,0,0.1988304093567251
Barry Redden,0.1151515151515151,0.4113924050632911,0.654320987654321,0.6903225806451613,0,0.7953216374269005
Amp Lee,0.2720588235294117,0.5149253731343284,0.8642857142857143,0.8758169934640523,0,0.852112676056338
Bobby Humphrey,0.3701298701298701,0.6710526315789473,0.726027397260274,0.5955882352941176,1,
Correll Buckhalter,0.2328767123287671,0.2781456953642384,0.5822784810126582,0.3413173652694611,0,0.2987012987012987
Neal Anderson,0.3099415204678362,0.7963636363636364,0.9545454545454546,1.0,0,0.993421052631579
Stevan Ridley,0.238095238095238,0.6415094339622641,0.7738095238095238,0.7719298245614035,0,0.5307262569832403
Clarence Williams 4,0.2038216560509554,0.3231707317073171,0.6627906976744186,0.7383720930232558,0,0.6686746987951807
Kenny Bynum,0.0666666666666666,0.1578947368421052,0.4720496894409938,0.535483870967742,1,
Lawrence Mccutcheon,0.5537190082644629,0.8561151079136691,0.9785714285714284,0.9803921568627452,0,0.961783439490446
Ken Brown 4,0.0,0.0,0.0925925925925925,0.6033057851239669,0,0.762589928057554
