Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Greg Hill,0.2142857142857142,0.4444444444444444,0.7535211267605634,0.7666666666666667,0.8223684210526315,0.8322981366459627,1,
Marv Hubbard,0.3292682926829268,0.7078651685393258,0.8240740740740741,0.9008264462809916,0.9136690647482014,0.8357142857142857,0,0.5751633986928104
Zack Crockett,0.0588235294117647,0.2323943661971831,0.4133333333333333,0.3815789473684211,0.4658385093167702,0.5161290322580645,0,0.678082191780822
Vaughn Hebron,0.1194029850746268,0.4142857142857143,0.3986928104575163,0.4718309859154929,0.4733333333333333,0.6578947368421053,1,
Rodney Hampton,0.2763157894736842,0.7397260273972602,0.9779411764705882,0.9701492537313432,0.9714285714285714,0.9281045751633988,0,0.8098591549295775
Robert Holmes,0.6585365853658537,0.6741573033707865,0.7037037037037037,0.7024793388429752,0.5251798561151079,0.4,1,
Todd Mcnair,0.2662337662337662,0.5657894736842105,0.773972602739726,0.8014705882352942,0.746268656716418,0.5285714285714286,0,0.5882352941176471
Boobie Clark,0.5371900826446281,0.7338129496402878,0.9071428571428573,0.9019607843137256,0.7898089171974523,0.676829268292683,0,0.4418604651162791
Ahmard Hall,0.1503267973856209,0.5496688741721855,0.7096774193548387,0.6050955414012739,0.474025974025974,0.4693877551020408,1,
Earl Cooper,0.4825581395348837,0.7168674698795181,0.8727272727272727,0.4936708860759494,0.6049382716049383,0.6193548387096774,1,
Eddie Lee Ivery,0.127906976744186,0.5290697674418605,0.7469879518072289,0.9212121212121211,0.8164556962025317,0.9444444444444444,0,0.9161290322580644
Harry Sydney,0.2363636363636363,0.2467532467532467,0.4935064935064935,0.6644736842105263,0.684931506849315,0.6691176470588235,1,
Ahman Green,0.1907894736842105,0.4347826086956521,0.8516129032258064,0.958904109589041,0.9867549668874172,0.9746835443037974,0,0.9700598802395208
Eric Lane 2,0.0240963855421686,0.0424242424242424,0.0316455696202531,0.3209876543209876,0.4129032258064516,0.5380116959064327,0,0.5818181818181818
Ladell Betts,0.2317880794701986,0.5126582278481012,0.7065868263473054,0.6168831168831169,0.7973856209150327,0.7284768211920529,0,0.7419354838709677
Fred Willis,0.5280898876404494,0.7222222222222222,0.8760330578512396,0.8489208633093526,0.7928571428571428,0.7908496732026143,1,
Adrian Peterson 2,0.152317880794702,0.3037974683544304,0.4610778443113772,0.525974025974026,0.7320261437908496,0.7483443708609272,0,0.6774193548387096
Shane Vereen,0.0884353741496598,0.4779874213836478,0.7619047619047619,0.8713450292397661,0.8715083798882681,0.8494623655913979,0,0.7103825136612022
Herman Heard,0.2901234567901234,0.567741935483871,0.7543859649122807,0.8218181818181818,0.6428571428571429,0.6753246753246753,1,
Tim Biakabutuka,0.0915492957746478,0.26,0.5394736842105263,0.8571428571428571,0.9225806451612903,0.8972602739726028,1,
Norm Bulaich,0.6707317073170732,0.898876404494382,0.8148148148148148,0.8429752066115702,0.7553956834532374,0.8642857142857143,0,0.8431372549019608
Brent Mcclanahan,0.0909090909090909,0.316546762589928,0.5571428571428572,0.6993464052287581,0.7961783439490446,0.6951219512195121,0,0.4825581395348837
Ted Brown,0.313953488372093,0.7732558139534884,0.9518072289156626,0.993939393939394,0.9936708860759492,0.9876543209876544,0,0.935483870967742
Cleveland Franklin,0.0,0.0792682926829268,0.1046511627906976,0.2732558139534883,0.2228915662650602,0.3818181818181818,1,
Sam Gash,0.0514705882352941,0.2388059701492537,0.3714285714285714,0.5424836601307189,0.5492957746478874,0.54,0,0.5855263157894737
Ladainian Tomlinson,0.3698630136986301,0.8874172185430463,0.9936708860759492,1.0,1.0,1.0,0,1.0
Jakeem Grant,0.043010752688172,0.2185792349726776,0.4202127659574468,0.5567010309278351,0.6232558139534884,0.6605504587155964,1,
Jerick Mckinnon,0.3567251461988304,0.6927374301675978,0.8870967741935484,0.8688524590163934,0.6542553191489362,0.3711340206185567,0,0.4093023255813953
Marlon Mack,0.3169398907103825,0.7180851063829787,0.9072164948453608,0.916279069767442,0.8119266055045872,0.5931372549019608,1,
Deuce Mcallister,0.2534246575342466,0.8211920529801324,0.9683544303797468,0.9520958083832336,0.8831168831168831,0.8431372549019608,0,0.7086092715231788
Jim Jensen 2,0.2229299363057325,0.1646341463414634,0.436046511627907,0.5465116279069767,0.6445783132530121,0.5212121212121212,1,
Shawn Bryson,0.3612903225806451,0.6232876712328768,0.6490066225165563,0.6265822784810127,0.6946107784431138,0.8441558441558441,0,0.7843137254901961
Chris Brown,0.120253164556962,0.4011976047904191,0.7272727272727273,0.7450980392156863,0.7417218543046358,0.3935483870967742,0,0.4777070063694267
